Wavelength (nm)	O12 abs e
200.00	18988
201.00	21355
202.00	22986
203.00	24049
204.00	24689
205.00	25009
206.00	24984
207.00	24792
208.00	24422
209.00	23905
210.00	23239
211.00	22359
212.00	21300
213.00	20046
214.00	18700
215.00	17349
216.00	16100
217.00	15050
218.00	14172
219.00	13470
220.00	12885
221.00	12398
222.00	11974
223.00	11599
224.00	11251
225.00	10925
226.00	10604
227.00	10286
228.00	9963.7
229.00	9647.3
230.00	9339.8
231.00	9048.4
232.00	8784.5
233.00	8544.7
234.00	8349.0
235.00	8193.5
236.00	8093.0
237.00	8044.8
238.00	8054.0
239.00	8119.0
240.00	8241.9
241.00	8422.1
242.00	8656.0
243.00	8945.1
244.00	9280.7
245.00	9649.8
246.00	10058
247.00	10491
248.00	10942
249.00	11396
250.00	11864
251.00	12331
252.00	12773
253.00	13186
254.00	13537
255.00	13803
256.00	13961
257.00	14005
258.00	13938
259.00	13781
260.00	13564
261.00	13330
262.00	13098
263.00	12890
264.00	12710
265.00	12540
266.00	12364
267.00	12139
268.00	11825
269.00	11389
270.00	10819
271.00	10124
272.00	9310.0
273.00	8430.0
274.00	7550.8
275.00	6748.8
276.00	6068.1
277.00	5536.2
278.00	5149.7
279.00	4887.9
280.00	4727.8
281.00	4642.8
282.00	4615.0
283.00	4627.4
284.00	4670.1
285.00	4732.0
286.00	4805.5
287.00	4889.1
288.00	4976.7
289.00	5064.6
290.00	5151.0
291.00	5229.3
292.00	5301.5
293.00	5363.6
294.00	5416.3
295.00	5462.0
296.00	5498.4
297.00	5529.6
298.00	5554.9
299.00	5576.7
300.00	5597.4
301.00	5616.9
302.00	5634.2
303.00	5650.3
304.00	5669.6
305.00	5686.5
306.00	5703.1
307.00	5720.9
308.00	5738.1
309.00	5756.2
310.00	5775.9
311.00	5804.3
312.00	5835.3
313.00	5875.0
314.00	5920.4
315.00	5976.7
316.00	6039.2
317.00	6113.2
318.00	6196.4
319.00	6290.0
320.00	6388.7
321.00	6498.5
322.00	6615.2
323.00	6747.3
324.00	6879.4
325.00	7020.0
326.00	7169.7
327.00	7318.8
328.00	7478.0
329.00	7639.5
330.00	7807.1
331.00	7973.9
332.00	8148.0
333.00	8323.3
334.00	8502.3
335.00	8677.4
336.00	8855.2
337.00	9039.3
338.00	9221.2
339.00	9396.6
340.00	9578.8
341.00	9754.5
342.00	9929.8
343.00	10104
344.00	10273
345.00	10438
346.00	10599
347.00	10752
348.00	10895
349.00	11035
350.00	11162
351.00	11279
352.00	11386
353.00	11476
354.00	11562
355.00	11630
356.00	11684
357.00	11722
358.00	11744
359.00	11750
360.00	11743
361.00	11719
362.00	11669
363.00	11605
364.00	11516
365.00	11416
366.00	11292
367.00	11152
368.00	10994
369.00	10817
370.00	10619
371.00	10407
372.00	10182
373.00	9943.9
374.00	9688.6
375.00	9422.9
376.00	9145.1
377.00	8860.4
378.00	8559.3
379.00	8251.3
380.00	7943.2
381.00	7628.5
382.00	7302.6
383.00	6976.2
384.00	6644.7
385.00	6311.4
386.00	5974.4
387.00	5638.5
388.00	5314.6
389.00	4998.1
390.00	4673.9
391.00	4356.7
392.00	4053.2
393.00	3760.5
394.00	3485.6
395.00	3216.0
396.00	2956.1
397.00	2707.7
398.00	2475.7
399.00	2261.8
400.00	2064.0
401.00	1873.4
402.00	1695.7
403.00	1530.8
404.00	1380.6
405.00	1239.2
406.00	1119.1
407.00	1009.3
408.00	903.33
409.00	810.01
410.00	725.35
411.00	655.64
412.00	584.25
413.00	521.87
414.00	471.81
415.00	427.09
416.00	383.72
417.00	347.99
418.00	318.66
419.00	288.28
420.00	265.25
421.00	243.85
422.00	222.74
423.00	207.12
424.00	191.78
425.00	180.19
426.00	171.40
427.00	160.96
428.00	151.49
429.00	148.85
430.00	137.61
431.00	133.23
432.00	130.38
433.00	126.46
434.00	118.73
435.00	117.43
436.00	112.54
437.00	109.91
438.00	107.08
439.00	104.94
440.00	101.02
441.00	98.818
442.00	95.351
443.00	93.689
444.00	88.856
445.00	86.704
446.00	86.665
447.00	82.580
448.00	81.008
449.00	78.314
450.00	76.845
451.00	76.510
452.00	71.729
453.00	70.041
454.00	68.765
455.00	66.317
456.00	65.956
457.00	62.811
458.00	60.698
459.00	62.695
460.00	59.950
461.00	59.203
462.00	57.476
463.00	55.891
464.00	53.674
465.00	53.945
466.00	51.265
467.00	49.679
468.00	48.777
469.00	48.610
470.00	48.107
471.00	48.133
472.00	47.167
473.00	43.416
474.00	43.790
475.00	44.022
476.00	42.424
477.00	43.829
478.00	41.883
479.00	41.818
480.00	44.099
481.00	43.455
482.00	42.025
483.00	40.750
484.00	36.341
485.00	37.449
486.00	39.970
487.00	37.643
488.00	41.226
489.00	35.890
490.00	36.754
491.00	35.542
492.00	34.640
493.00	34.602
494.00	32.527
495.00	33.893
496.00	37.024
497.00	32.514
498.00	34.125
499.00	33.468
500.00	31.470
