Wavelength (nm)	HexaCOOHP I (in 1 N aqHCl).abs
300.00	0.016653
301.00	0.017040
302.00	0.017454
303.00	0.017883
304.00	0.018277
305.00	0.018717
306.00	0.019129
307.00	0.019762
308.00	0.020197
309.00	0.020729
310.00	0.021391
311.00	0.022025
312.00	0.022573
313.00	0.023178
314.00	0.023791
315.00	0.024385
316.00	0.025088
317.00	0.025763
318.00	0.026392
319.00	0.027058
320.00	0.027693
321.00	0.028261
322.00	0.028919
323.00	0.029642
324.00	0.030303
325.00	0.031030
326.00	0.031632
327.00	0.032276
328.00	0.032823
329.00	0.033719
330.00	0.034353
331.00	0.035056
332.00	0.035659
333.00	0.036259
334.00	0.036954
335.00	0.037679
336.00	0.038350
337.00	0.039133
338.00	0.039829
339.00	0.040568
340.00	0.041395
341.00	0.042169
342.00	0.043007
343.00	0.043899
344.00	0.044852
345.00	0.045739
346.00	0.046722
347.00	0.047733
348.00	0.048822
349.00	0.049960
350.00	0.051120
351.00	0.052221
352.00	0.053452
353.00	0.054461
354.00	0.055617
355.00	0.056773
356.00	0.057719
357.00	0.058849
358.00	0.059956
359.00	0.061220
360.00	0.062666
361.00	0.064348
362.00	0.065855
363.00	0.067349
364.00	0.068855
365.00	0.070490
366.00	0.072022
367.00	0.073674
368.00	0.075276
369.00	0.076976
370.00	0.078661
371.00	0.080614
372.00	0.082719
373.00	0.085409
374.00	0.088750
375.00	0.092808
376.00	0.098147
377.00	0.10483
378.00	0.11284
379.00	0.12200
380.00	0.13164
381.00	0.14188
382.00	0.15195
383.00	0.16064
384.00	0.16859
385.00	0.17625
386.00	0.18365
387.00	0.19203
388.00	0.20136
389.00	0.21169
390.00	0.22352
391.00	0.23626
392.00	0.25032
393.00	0.26696
394.00	0.28894
395.00	0.32040
396.00	0.36503
397.00	0.42858
398.00	0.51068
399.00	0.60926
400.00	0.72023
401.00	0.83572
402.00	0.93522
403.00	0.99492
404.00	1.00000
405.00	0.94938
406.00	0.85530
407.00	0.73222
408.00	0.60125
409.00	0.47852
410.00	0.37399
411.00	0.28410
412.00	0.21230
413.00	0.15670
414.00	0.11621
415.00	0.085056
416.00	0.062590
417.00	0.046244
418.00	0.034417
419.00	0.026121
420.00	0.020047
421.00	0.015514
422.00	0.012298
423.00	0.010021
424.00	0.0082183
425.00	0.0068716
426.00	0.0058842
427.00	0.0050278
428.00	0.0044897
429.00	0.0039539
430.00	0.0034989
431.00	0.0033375
432.00	0.0031104
433.00	0.0029672
434.00	0.0026911
435.00	0.0026391
436.00	0.0024391
437.00	0.0022788
438.00	0.0021178
439.00	0.0020142
440.00	0.0020658
441.00	0.0019200
442.00	0.0017025
443.00	0.0017181
444.00	0.0016773
445.00	0.0016290
446.00	0.0017214
447.00	0.0016999
448.00	0.0016238
449.00	0.0016016
450.00	0.0015867
451.00	0.0016045
452.00	0.0016769
453.00	0.0016350
454.00	0.0017623
455.00	0.0016372
456.00	0.0016227
457.00	0.0017845
458.00	0.0016769
459.00	0.0017649
460.00	0.0017882
461.00	0.0018391
462.00	0.0019044
463.00	0.0019972
464.00	0.0020098
465.00	0.0019990
466.00	0.0020361
467.00	0.0020610
468.00	0.0022113
469.00	0.0022714
470.00	0.0023244
471.00	0.0023478
472.00	0.0023868
473.00	0.0022484
474.00	0.0023697
475.00	0.0023916
476.00	0.0024183
477.00	0.0023890
478.00	0.0024257
479.00	0.0024287
480.00	0.0024580
481.00	0.0024829
482.00	0.0025096
483.00	0.0025148
484.00	0.0025604
485.00	0.0026291
486.00	0.0022265
487.00	0.0024465
488.00	0.0028762
489.00	0.0026851
490.00	0.0027668
491.00	0.0026603
492.00	0.0028670
493.00	0.0029464
494.00	0.0029902
495.00	0.0030588
496.00	0.0033189
497.00	0.0034009
498.00	0.0035093
499.00	0.0037212
500.00	0.0039019
501.00	0.0041669
502.00	0.0042893
503.00	0.0045313
504.00	0.0046389
505.00	0.0048968
506.00	0.0050823
507.00	0.0053532
508.00	0.0053988
509.00	0.0054909
510.00	0.0056812
511.00	0.0058645
512.00	0.0060319
513.00	0.0061714
514.00	0.0062174
515.00	0.0062256
516.00	0.0062542
517.00	0.0063889
518.00	0.0065904
519.00	0.0066015
520.00	0.0067410
521.00	0.0068601
522.00	0.0069117
523.00	0.0069377
524.00	0.0070494
525.00	0.0071566
526.00	0.0072617
527.00	0.0073548
528.00	0.0075136
529.00	0.0076628
530.00	0.0079333
531.00	0.0083708
532.00	0.0087289
533.00	0.0093278
534.00	0.010173
535.00	0.011300
536.00	0.012701
537.00	0.014339
538.00	0.016177
539.00	0.018330
540.00	0.020658
541.00	0.023124
542.00	0.025867
543.00	0.028513
544.00	0.030988
545.00	0.033209
546.00	0.034905
547.00	0.036346
548.00	0.037395
549.00	0.038004
550.00	0.038167
551.00	0.037856
552.00	0.037002
553.00	0.035579
554.00	0.033682
555.00	0.031203
556.00	0.028507
557.00	0.025654
558.00	0.022996
559.00	0.020678
560.00	0.018735
561.00	0.017123
562.00	0.015923
563.00	0.015055
564.00	0.014491
565.00	0.013960
566.00	0.013633
567.00	0.013444
568.00	0.013223
569.00	0.013020
570.00	0.012731
571.00	0.012504
572.00	0.012235
573.00	0.011927
574.00	0.011483
575.00	0.011024
576.00	0.010529
577.00	0.010064
578.00	0.0095931
579.00	0.0092985
580.00	0.0089389
581.00	0.0087727
582.00	0.0085044
583.00	0.0085805
584.00	0.0088295
585.00	0.0090402
586.00	0.0095397
587.00	0.010257
588.00	0.010952
589.00	0.011775
590.00	0.012538
591.00	0.013117
592.00	0.013476
593.00	0.013501
594.00	0.013212
595.00	0.012642
596.00	0.011775
597.00	0.010838
598.00	0.0096143
599.00	0.0084083
600.00	0.0073719
601.00	0.0063688
602.00	0.0054471
603.00	0.0046990
604.00	0.0040321
605.00	0.0034670
