Wavelength (nm)	"75, JACS 1998_1274, Cu OEFB"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	0.67171
251.00	0.66118
252.00	0.65065
253.00	0.64011
254.00	0.62958
255.00	0.61905
256.00	0.60803
257.00	0.59581
258.00	0.58360
259.00	0.57138
260.00	0.56205
261.00	0.55303
262.00	0.54402
263.00	0.53607
264.00	0.53297
265.00	0.52988
266.00	0.52678
267.00	0.52368
268.00	0.52107
269.00	0.52335
270.00	0.52564
271.00	0.52793
272.00	0.53021
273.00	0.53346
274.00	0.53848
275.00	0.54351
276.00	0.54853
277.00	0.55799
278.00	0.57017
279.00	0.58281
280.00	0.59550
281.00	0.60819
282.00	0.62088
283.00	0.63428
284.00	0.65098
285.00	0.66767
286.00	0.68436
287.00	0.70106
288.00	0.71780
289.00	0.73504
290.00	0.75228
291.00	0.76952
292.00	0.78676
293.00	0.80405
294.00	0.82561
295.00	0.84717
296.00	0.86873
297.00	0.89029
298.00	0.90653
299.00	0.92243
300.00	0.93833
301.00	0.95279
302.00	0.96217
303.00	0.97155
304.00	0.97949
305.00	0.98044
306.00	0.98138
307.00	0.98233
308.00	0.98327
309.00	0.98153
310.00	0.97979
311.00	0.97806
312.00	0.97627
313.00	0.97283
314.00	0.96939
315.00	0.96596
316.00	0.96163
317.00	0.95523
318.00	0.94883
319.00	0.94244
320.00	0.92885
321.00	0.91456
322.00	0.90027
323.00	0.88369
324.00	0.86510
325.00	0.84650
326.00	0.82791
327.00	0.80931
328.00	0.78994
329.00	0.76957
330.00	0.74920
331.00	0.72883
332.00	0.70846
333.00	0.68809
334.00	0.66956
335.00	0.65190
336.00	0.63424
337.00	0.61657
338.00	0.60022
339.00	0.58743
340.00	0.57463
341.00	0.56184
342.00	0.55537
343.00	0.54977
344.00	0.54417
345.00	0.53856
346.00	0.53387
347.00	0.53017
348.00	0.52647
349.00	0.52277
350.00	0.52059
351.00	0.51893
352.00	0.51727
353.00	0.51561
354.00	0.51398
355.00	0.51626
356.00	0.51855
357.00	0.52083
358.00	0.52311
359.00	0.52608
360.00	0.53100
361.00	0.53592
362.00	0.54083
363.00	0.54575
364.00	0.55260
365.00	0.55979
366.00	0.56698
