Wavelength (nm)	FL145 [12] 33708-72-4, Pachypodol [D]
221.00	21905
222.00	21186
223.00	20552
224.00	19991
225.00	19430
226.00	18919
227.00	18429
228.00	17992
229.00	17616
230.00	17240
231.00	16873
232.00	16512
233.00	16151
234.00	15850
235.00	15565
236.00	15398
237.00	15328
238.00	15337
239.00	15417
240.00	15570
241.00	15774
242.00	16042
243.00	16369
244.00	16695
245.00	17034
246.00	17515
247.00	17997
248.00	18475
249.00	18952
250.00	19428
251.00	19876
252.00	20310
253.00	20625
254.00	20886
255.00	21056
256.00	21159
257.00	21189
258.00	20974
259.00	20432
260.00	19882
261.00	19283
262.00	18828
263.00	18487
264.00	18246
265.00	18076
266.00	17923
267.00	17820
268.00	17798
269.00	17826
270.00	17609
271.00	17047
272.00	16227
273.00	15249
274.00	14202
275.00	13027
276.00	11839
277.00	10555
278.00	9583.1
279.00	8904.4
280.00	8585.2
281.00	8408.5
282.00	8346.1
283.00	8329.0
284.00	8377.5
285.00	8442.9
286.00	8585.5
287.00	8728.5
288.00	8908.3
289.00	9088.1
290.00	9237.1
291.00	9372.3
292.00	9507.3
293.00	9630.6
294.00	9754.0
295.00	9853.8
296.00	9938.7
297.00	10012
298.00	10056
299.00	10100
300.00	10145
301.00	10187
302.00	10228
303.00	10269
304.00	10310
305.00	10357
306.00	10405
307.00	10453
308.00	10501
309.00	10564
310.00	10630
311.00	10696
312.00	10788
313.00	10906
314.00	11025
315.00	11174
316.00	11346
317.00	11518
318.00	11735
319.00	11986
320.00	12238
321.00	12494
322.00	12761
323.00	13028
324.00	13294
325.00	13565
326.00	13848
327.00	14132
328.00	14415
329.00	14698
330.00	14981
331.00	15263
332.00	15544
333.00	15826
334.00	16108
335.00	16389
336.00	16671
337.00	16956
338.00	17241
339.00	17527
340.00	17812
341.00	18087
342.00	18339
343.00	18591
344.00	18843
345.00	19095
346.00	19320
347.00	19546
348.00	19771
349.00	19990
350.00	20188
351.00	20386
352.00	20569
353.00	20737
354.00	20906
355.00	21042
356.00	21155
357.00	21267
358.00	21347
359.00	21373
360.00	21400
361.00	21305
362.00	21211
363.00	21026
364.00	20839
365.00	20596
366.00	20335
367.00	20040
368.00	19679
369.00	19319
370.00	18911
371.00	18480
372.00	18032
373.00	17542
374.00	17051
375.00	16556
376.00	16055
377.00	15555
378.00	14988
379.00	14410
380.00	13829
381.00	13245
382.00	12653
383.00	12040
384.00	11483
385.00	10987
386.00	10534
