Wavelength (nm)	FL060 [10] R279664, 4',7-dimethoxy-2-methylisoflavanone [D]
230.00	21231
231.00	19953
232.00	18581
233.00	17198
234.00	15796
235.00	14336
236.00	12994
237.00	11557
238.00	9996.4
239.00	8335.6
240.00	6677.1
241.00	4905.1
242.00	3390.4
243.00	2615.0
244.00	2284.0
245.00	2163.9
246.00	2124.2
247.00	2124.4
248.00	2198.4
249.00	2372.4
250.00	2716.7
251.00	3095.4
252.00	3669.3
253.00	4257.6
254.00	4867.2
255.00	5476.6
256.00	6085.3
257.00	6694.0
258.00	7324.0
259.00	7994.7
260.00	8799.8
261.00	9588.1
262.00	10373
263.00	11137
264.00	11892
265.00	12665
266.00	13460
267.00	14206
268.00	14960
269.00	15608
270.00	15969
271.00	16183
272.00	16254
273.00	16300
274.00	16253
275.00	16175
276.00	15978
277.00	15620
278.00	15219
279.00	14697
280.00	14110
281.00	13390
282.00	12641
283.00	11896
284.00	11195
285.00	10506
286.00	9686.2
287.00	8895.6
288.00	8189.2
289.00	7519.9
290.00	6887.0
291.00	6457.8
292.00	6127.9
293.00	5933.5
294.00	5837.5
295.00	5781.3
296.00	5762.0
297.00	5803.6
298.00	5845.2
299.00	5931.7
300.00	6043.4
301.00	6170.8
302.00	6310.0
303.00	6449.1
304.00	6594.7
305.00	6746.1
306.00	6895.0
307.00	7040.0
308.00	7181.2
309.00	7285.6
310.00	7388.6
311.00	7429.2
312.00	7464.7
313.00	7495.4
314.00	7438.7
315.00	7368.2
316.00	7264.3
317.00	7106.1
318.00	6903.7
319.00	6629.2
320.00	6349.5
321.00	6065.4
322.00	5781.4
323.00	5448.0
324.00	5095.5
325.00	4770.6
326.00	4460.0
327.00	4134.9
328.00	3796.5
329.00	3458.0
330.00	3139.8
331.00	2833.9
332.00	2528.0
333.00	2226.3
334.00	1925.8
335.00	1621.8
336.00	1308.2
337.00	1052.8
338.00	851.14
339.00	666.44
340.00	541.91
341.00	417.37
342.00	347.30
343.00	286.09
344.00	224.89
345.00	168.55
346.00	112.48
347.00	81.754
348.00	59.941
349.00	44.573
350.00	33.500
351.00	22.428
352.00	19.568
353.00	19.162
354.00	18.756
355.00	18.642
356.00	18.642
357.00	18.642
358.00	18.642
359.00	18.642
360.00	18.642
