Wavelength (nm)	FL110 [12] 529-44-2, Myricetin [C]
210.00	36630
211.00	36152
212.00	35306
213.00	34025
214.00	32288
215.00	30391
216.00	28605
217.00	26973
218.00	25595
219.00	24467
220.00	23630
221.00	22966
222.00	22482
223.00	22097
224.00	21735
225.00	21347
226.00	20929
227.00	20424
228.00	19834
229.00	19153
230.00	18388
231.00	17571
232.00	16713
233.00	15806
234.00	14929
235.00	14110
236.00	13411
237.00	12849
238.00	12494
239.00	12313
240.00	12318
241.00	12476
242.00	12762
243.00	13139
244.00	13582
245.00	14060
246.00	14571
247.00	15099
248.00	15622
249.00	16130
250.00	16592
251.00	16994
252.00	17314
253.00	17531
254.00	17622
255.00	17567
256.00	17380
257.00	17088
258.00	16686
259.00	16233
260.00	15790
261.00	15361
262.00	14969
263.00	14608
264.00	14246
265.00	13910
266.00	13546
267.00	13137
268.00	12705
269.00	12239
270.00	11762
271.00	11244
272.00	10731
273.00	10224
274.00	9712.9
275.00	9200.5
276.00	8682.5
277.00	8168.9
278.00	7681.1
279.00	7225.4
280.00	6822.6
281.00	6483.7
282.00	6207.5
283.00	5994.6
284.00	5840.5
285.00	5743.9
286.00	5691.0
287.00	5679.1
288.00	5703.0
289.00	5754.9
290.00	5823.8
291.00	5900.5
292.00	6004.0
293.00	6089.3
294.00	6182.8
295.00	6269.3
296.00	6350.6
297.00	6437.7
298.00	6515.8
299.00	6571.7
300.00	6636.5
301.00	6694.6
302.00	6719.8
303.00	6733.8
304.00	6729.9
305.00	6707.6
306.00	6681.3
307.00	6647.4
308.00	6602.4
309.00	6565.7
310.00	6533.0
311.00	6516.5
312.00	6517.6
313.00	6542.2
314.00	6573.1
315.00	6618.5
316.00	6683.2
317.00	6766.7
318.00	6848.6
319.00	6943.4
320.00	7038.2
321.00	7139.2
322.00	7242.0
323.00	7359.2
324.00	7479.4
325.00	7586.2
326.00	7704.3
327.00	7834.6
328.00	7958.8
329.00	8080.3
330.00	8216.7
331.00	8350.5
332.00	8505.1
333.00	8642.8
334.00	8797.3
335.00	8953.8
336.00	9126.1
337.00	9308.7
338.00	9518.6
339.00	9726.5
340.00	9954.0
341.00	10207
342.00	10471
343.00	10746
344.00	11044
345.00	11359
346.00	11703
347.00	12049
348.00	12406
349.00	12787
350.00	13164
351.00	13554
352.00	13940
353.00	14347
354.00	14767
355.00	15152
356.00	15585
357.00	16024
358.00	16427
359.00	16891
360.00	17336
361.00	17729
362.00	18153
363.00	18530
364.00	18865
365.00	19142
366.00	19488
367.00	19787
368.00	20043
369.00	20220
370.00	20402
371.00	20508
372.00	20616
373.00	20631
374.00	20710
375.00	20742
376.00	20800
377.00	20741
378.00	20641
379.00	20528
380.00	20439
381.00	20308
382.00	20164
383.00	19961
384.00	19660
385.00	19331
386.00	18954
387.00	18527
388.00	18088
389.00	17599
390.00	17000
391.00	16338
392.00	15604
393.00	14884
394.00	14217
395.00	13445
396.00	12653
397.00	11792
398.00	10952
399.00	10212
400.00	9489.8
401.00	8708.8
402.00	7958.5
403.00	7271.1
404.00	6613.1
405.00	5976.5
406.00	5445.4
407.00	4948.0
408.00	4425.9
409.00	3958.8
410.00	3570.4
411.00	3200.1
412.00	2839.7
413.00	2510.1
414.00	2275.6
415.00	2028.9
416.00	1791.0
417.00	1578.2
418.00	1406.4
419.00	1239.0
420.00	1075.0
421.00	925.03
422.00	826.51
423.00	751.25
424.00	689.97
425.00	583.05
426.00	531.46
427.00	431.64
428.00	376.38
429.00	356.40
430.00	259.39
431.00	284.74
432.00	315.26
433.00	219.93
434.00	150.07
435.00	212.05
436.00	153.70
437.00	152.51
438.00	141.61
439.00	112.78
440.00	138.33
441.00	59.311
442.00	71.834
443.00	104.84
444.00	75.700
445.00	82.651
446.00	79.159
447.00	69.105
448.00	79.760
449.00	69.121
450.00	62.982
451.00	77.697
452.00	82.749
453.00	67.757
454.00	80.816
455.00	63.437
456.00	76.431
457.00	69.008
458.00	44.855
459.00	59.262
460.00	62.072
461.00	59.230
462.00	103.46
463.00	63.388
464.00	56.303
465.00	57.433
466.00	54.909
467.00	109.16
468.00	53.724
469.00	62.608
470.00	98.325
471.00	77.519
472.00	66.977
473.00	33.957
474.00	61.650
475.00	40.242
476.00	57.200
477.00	63.420
478.00	56.322
479.00	55.039
480.00	31.488
481.00	39.869
482.00	33.209
483.00	47.470
484.00	49.872
485.00	42.634
486.00	35.882
487.00	46.364
488.00	37.925
489.00	44.790
490.00	51.775
491.00	52.847
492.00	83.496
493.00	42.127
494.00	78.510
495.00	50.608
496.00	57.589
497.00	51.125
498.00	44.015
499.00	46.788
500.00	53.720
