Wavelength (nm)	"74, JACS 1998_1274, Ni OEFB"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	0.45916
251.00	0.45718
252.00	0.45520
253.00	0.45322
254.00	0.45166
255.00	0.45270
256.00	0.45373
257.00	0.45476
258.00	0.45661
259.00	0.45949
260.00	0.46237
261.00	0.46524
262.00	0.46812
263.00	0.47100
264.00	0.47400
265.00	0.47700
266.00	0.48001
267.00	0.48301
268.00	0.48605
269.00	0.49011
270.00	0.49416
271.00	0.49821
272.00	0.50216
273.00	0.50609
274.00	0.51003
275.00	0.51538
276.00	0.52350
277.00	0.53161
278.00	0.54519
279.00	0.55958
280.00	0.57413
281.00	0.59172
282.00	0.60930
283.00	0.62968
284.00	0.65208
285.00	0.67394
286.00	0.69520
287.00	0.71646
288.00	0.74314
289.00	0.76982
290.00	0.79186
291.00	0.81200
292.00	0.83214
293.00	0.85039
294.00	0.86840
295.00	0.88642
296.00	0.90196
297.00	0.91649
298.00	0.93103
299.00	0.94443
300.00	0.95583
301.00	0.96723
302.00	0.97858
303.00	0.98481
304.00	0.99104
305.00	0.99716
306.00	0.99811
307.00	0.99905
308.00	1.0000
309.00	0.99840
310.00	0.99680
311.00	0.99507
312.00	0.98712
313.00	0.97916
314.00	0.96849
315.00	0.95340
316.00	0.93830
317.00	0.92321
318.00	0.90455
319.00	0.88422
320.00	0.86389
321.00	0.84356
322.00	0.82390
323.00	0.80427
324.00	0.78463
325.00	0.76466
326.00	0.74469
327.00	0.72553
328.00	0.71067
329.00	0.69581
330.00	0.68095
331.00	0.66630
332.00	0.65166
333.00	0.63834
334.00	0.62762
335.00	0.61690
336.00	0.60618
337.00	0.59545
338.00	0.58461
339.00	0.57378
340.00	0.56294
341.00	0.55211
342.00	0.54201
343.00	0.53200
344.00	0.52199
345.00	0.51193
346.00	0.50176
347.00	0.49159
348.00	0.48142
349.00	0.47359
350.00	0.46623
351.00	0.45887
352.00	0.45219
353.00	0.44586
354.00	0.43954
355.00	0.43443
356.00	0.43063
357.00	0.42683
358.00	0.42542
359.00	0.42447
360.00	0.42351
361.00	0.42412
362.00	0.42502
363.00	0.42592
364.00	0.42683
365.00	0.42961
366.00	0.43360
