Wavelength (nm)	FL021 [7] 10499-14-6, JOC 1967_2317, 7b [D]
245.00	10748
246.00	10486
247.00	10194
248.00	9838.6
249.00	9442.8
250.00	9006.2
251.00	8512.0
252.00	7920.8
253.00	7313.7
254.00	6638.0
255.00	6084.5
256.00	5590.4
257.00	5267.1
258.00	5110.0
259.00	5124.1
260.00	5322.1
261.00	5647.7
262.00	6031.6
263.00	6415.5
264.00	6794.6
265.00	7173.8
266.00	7546.2
267.00	7917.8
268.00	8288.7
269.00	8649.1
270.00	9009.4
271.00	9265.0
272.00	9495.9
273.00	9681.2
274.00	9822.4
275.00	9964.9
276.00	10106
277.00	10227
278.00	10303
279.00	10315
280.00	10291
281.00	10226
282.00	10122
283.00	9936.4
284.00	9697.9
285.00	9451.2
286.00	9174.6
287.00	8890.0
288.00	8590.0
289.00	8265.2
290.00	7961.3
291.00	7739.5
292.00	7590.1
293.00	7486.5
294.00	7407.6
295.00	7371.9
296.00	7362.9
297.00	7389.4
298.00	7474.9
299.00	7578.9
300.00	7756.0
301.00	7964.8
302.00	8191.4
303.00	8453.9
304.00	8724.9
305.00	9062.0
306.00	9382.2
307.00	9664.7
308.00	9959.0
309.00	10231
310.00	10398
311.00	10540
312.00	10630
313.00	10674
314.00	10705
315.00	10660
316.00	10578
317.00	10475
318.00	10323
319.00	10085
320.00	9750.5
321.00	9279.3
322.00	8768.3
323.00	8192.4
324.00	7611.7
325.00	7028.0
326.00	6324.3
327.00	5574.5
328.00	4789.8
329.00	4077.9
330.00	3448.0
331.00	2902.7
332.00	2422.0
333.00	2059.2
334.00	1744.1
335.00	1471.7
336.00	1299.5
