Wavelength (nm)	O06 abs e
324.50	23219
324.75	23164
325.00	23587
325.25	23419
325.50	23716
325.75	23758
326.00	23904
326.25	23996
326.50	24181
326.75	24249
327.00	24296
327.25	24257
327.50	24492
327.75	24708
328.00	24909
328.25	24876
328.50	24982
328.75	25138
329.00	25349
329.25	25039
329.50	25363
329.75	25550
330.00	25546
330.25	25634
330.50	25776
330.75	25514
331.00	25764
331.25	25860
331.50	25849
331.75	26025
332.00	25757
332.25	26135
332.50	26309
332.75	26362
333.00	26362
333.25	26681
333.50	26256
333.75	26437
334.00	26546
334.25	26838
334.50	26774
334.75	26859
335.00	26834
335.25	26966
335.50	26716
335.75	26846
336.00	26874
336.25	27109
336.50	27386
336.75	27054
337.00	27120
337.25	27097
337.50	27372
337.75	27320
338.00	27299
338.25	27467
338.50	27577
338.75	27445
339.00	27487
339.25	27651
339.50	27410
339.75	27569
340.00	27344
340.25	27638
340.50	27786
340.75	27519
341.00	27556
341.25	27764
341.50	27721
341.75	27622
342.00	27714
342.25	27664
342.50	27585
342.75	27797
343.00	27648
343.25	27695
343.50	27635
343.75	27759
344.00	27800
344.25	27780
344.50	27492
344.75	27664
345.00	27519
345.25	27548
345.50	27588
345.75	27523
346.00	27413
346.25	27410
346.50	27518
346.75	27559
347.00	27330
347.25	27378
347.50	27503
347.75	27459
348.00	27475
348.25	27104
348.50	27188
348.75	27170
349.00	27343
349.25	27212
349.50	27048
349.75	27219
350.00	26918
350.25	26855
350.50	26782
350.75	26783
351.00	26674
351.25	26477
351.50	26667
351.75	26514
352.00	26283
352.25	26311
352.50	26259
352.75	26203
353.00	26079
353.25	26189
353.50	25990
353.75	25879
354.00	25868
354.25	25853
354.50	25684
354.75	25661
355.00	25424
355.25	25391
355.50	25145
355.75	25083
356.00	24978
356.25	24860
356.50	24857
356.75	24626
357.00	24540
357.25	24401
357.50	24404
357.75	24193
358.00	24222
358.25	23939
358.50	23868
358.75	23801
359.00	23694
359.25	23581
359.50	23411
359.75	23313
360.00	23130
360.25	22980
360.50	22898
360.75	22765
361.00	22657
361.25	22576
361.50	22260
361.75	22148
362.00	22052
362.25	21926
362.50	21787
362.75	21565
363.00	21440
363.25	21438
363.50	21309
363.75	21053
364.00	20890
364.25	20706
364.50	20679
364.75	20466
365.00	20173
365.25	20074
365.50	19875
365.75	19815
366.00	19734
366.25	19480
366.50	19266
366.75	19206
367.00	19009
367.25	18821
367.50	18650
367.75	18471
368.00	18301
368.25	18085
368.50	17996
368.75	17735
369.00	17701
369.25	17442
369.50	17278
369.75	17117
370.00	16827
370.25	16566
370.50	16515
370.75	16244
371.00	16209
371.25	15941
371.50	15689
371.75	15574
372.00	15512
372.25	15194
372.50	15072
372.75	14857
373.00	14813
373.25	14630
373.50	14392
373.75	14186
374.00	14051
374.25	13844
374.50	13817
374.75	13796
375.00	13633
375.25	13475
375.50	13317
375.75	13053
376.00	12841
376.25	12589
376.50	12311
376.75	12151
377.00	11928
377.25	11817
377.50	11565
377.75	11347
378.00	11218
378.25	11010
378.50	10834
378.75	10704
379.00	10431
379.25	10268
379.50	10164
379.75	10019
380.00	9805.2
380.25	9591.7
380.50	9392.6
380.75	9321.5
381.00	9033.1
381.25	8954.6
381.50	8705.0
381.75	8527.5
382.00	8347.4
382.25	8153.5
382.50	8027.9
382.75	7891.8
383.00	7698.3
383.25	7506.9
383.50	7342.2
383.75	7229.4
384.00	7068.1
384.25	6902.4
384.50	6758.7
384.75	6601.3
385.00	6400.5
385.25	6308.5
385.50	6181.0
385.75	6008.8
386.00	5917.3
386.25	5777.1
386.50	5587.9
386.75	5445.1
387.00	5300.8
387.25	5189.2
387.50	5083.3
387.75	4969.1
388.00	4813.8
388.25	4644.6
388.50	4563.8
388.75	4465.8
389.00	4404.3
389.25	4204.1
389.50	4055.0
389.75	3968.5
390.00	3874.8
390.25	3734.8
390.50	3688.1
390.75	3584.9
391.00	3396.6
391.25	3354.0
391.50	3290.9
391.75	3158.0
392.00	3094.2
392.25	2954.5
392.50	2846.5
392.75	2802.9
393.00	2729.2
393.25	2602.3
393.50	2591.7
393.75	2483.1
394.00	2470.4
394.25	2341.9
394.50	2262.4
394.75	2225.8
395.00	2045.4
395.25	2045.4
395.50	1938.2
395.75	1883.4
396.00	1820.9
396.25	1782.3
396.50	1680.5
396.75	1624.3
397.00	1554.3
397.25	1525.8
397.50	1496.8
397.75	1428.7
398.00	1390.9
398.25	1356.2
398.50	1258.8
398.75	1282.0
399.00	1182.6
399.25	1196.3
399.50	1167.0
399.75	1106.8
400.00	1082.5
400.25	1065.1
400.50	953.75
400.75	982.61
401.00	964.13
401.25	916.37
401.50	877.75
401.75	811.51
402.00	818.57
402.25	773.09
402.50	757.93
402.75	705.81
403.00	744.44
403.25	696.88
403.50	618.18
403.75	648.71
404.00	586.00
404.25	644.55
404.50	513.11
404.75	564.40
405.00	470.13
405.25	491.31
405.50	543.22
405.75	511.86
406.00	470.75
406.25	438.98
406.50	419.87
406.75	340.34
407.00	364.64
407.25	349.69
407.50	338.27
407.75	317.92
408.00	328.71
408.25	359.65
408.50	339.93
408.75	303.59
409.00	285.31
409.25	266.42
409.50	293.62
409.75	230.70
410.00	195.19
410.25	217.41
410.50	205.16
410.75	267.25
411.00	171.31
411.25	218.04
411.50	199.97
411.75	239.84
412.00	201.01
412.25	164.25
