Wavelength (nm)	FL146 [12] 33554-60-8, 4'-Hydroxy-3,3',5,7-tetramethoxyflavone [D]
222.00	20862
223.00	20263
224.00	19553
225.00	18831
226.00	18094
227.00	17574
228.00	17304
229.00	17195
230.00	17085
231.00	17023
232.00	16984
233.00	16958
234.00	17042
235.00	17125
236.00	17245
237.00	17408
238.00	17633
239.00	18060
240.00	18522
241.00	18921
242.00	19170
243.00	19310
244.00	19447
245.00	19580
246.00	19738
247.00	19958
248.00	20240
249.00	20606
250.00	20931
251.00	21068
252.00	20826
253.00	20466
254.00	20029
255.00	19375
256.00	18714
257.00	18144
258.00	17685
259.00	17263
260.00	16895
261.00	16612
262.00	16376
263.00	16215
264.00	16348
265.00	16146
266.00	15826
267.00	15422
268.00	14935
269.00	14396
270.00	13775
271.00	13002
272.00	12007
273.00	10909
274.00	9923.4
275.00	9238.1
276.00	8687.6
277.00	8383.6
278.00	8214.7
279.00	8106.5
280.00	8035.6
281.00	7999.5
282.00	8034.0
283.00	8068.6
284.00	8131.7
285.00	8196.0
286.00	8264.1
287.00	8390.4
288.00	8516.6
289.00	8635.7
290.00	8744.5
291.00	8851.1
292.00	8938.2
293.00	9025.3
294.00	9112.5
295.00	9205.8
296.00	9299.0
297.00	9408.5
298.00	9518.6
299.00	9625.4
300.00	9729.0
301.00	9832.6
302.00	9918.8
303.00	9980.9
304.00	10045
305.00	10175
306.00	10305
307.00	10442
308.00	10593
309.00	10745
310.00	10897
311.00	11141
312.00	11398
313.00	11655
314.00	11966
315.00	12322
316.00	12677
317.00	13032
318.00	13388
319.00	13782
320.00	14175
321.00	14569
322.00	14962
323.00	15348
324.00	15735
325.00	16122
326.00	16509
327.00	16950
328.00	17421
329.00	17891
330.00	18351
331.00	18741
332.00	19132
333.00	19522
334.00	19913
335.00	20190
336.00	20462
337.00	20734
338.00	21006
339.00	21204
340.00	21388
341.00	21562
342.00	21697
343.00	21831
344.00	21876
345.00	21900
346.00	21772
347.00	21621
348.00	21446
349.00	21254
350.00	20983
351.00	20689
352.00	20370
353.00	20050
354.00	19501
355.00	19002
356.00	18548
357.00	18093
358.00	17491
359.00	16885
360.00	16281
361.00	15685
362.00	15079
363.00	14381
364.00	13673
365.00	12796
366.00	12004
367.00	11324
368.00	10631
369.00	9940.2
370.00	9329.0
