Wavelength (nm)	C09 ems
435.00	48408
435.50	52308
436.00	53967
436.50	58196
437.00	60817
437.50	65163
438.00	67684
438.50	73244
439.00	78193
439.50	84911
440.00	89905
440.50	98559
441.00	1.0599e+05
441.50	1.1946e+05
442.00	1.2811e+05
442.50	1.4409e+05
443.00	1.5550e+05
443.50	1.8014e+05
444.00	1.9391e+05
444.50	2.2044e+05
445.00	2.3986e+05
445.50	2.7732e+05
446.00	2.9793e+05
446.50	3.3895e+05
447.00	3.6961e+05
447.50	4.2551e+05
448.00	4.5700e+05
448.50	5.1747e+05
449.00	5.6256e+05
449.50	6.4693e+05
450.00	6.9344e+05
450.50	7.8716e+05
451.00	8.5673e+05
451.50	9.8648e+05
452.00	1.0612e+06
452.50	1.2046e+06
453.00	1.3136e+06
453.50	1.5054e+06
454.00	1.5931e+06
454.50	1.8270e+06
455.00	1.9841e+06
455.50	2.2610e+06
456.00	2.4040e+06
456.50	2.6938e+06
457.00	2.9246e+06
457.50	3.2717e+06
458.00	3.4866e+06
458.50	3.8560e+06
459.00	4.1438e+06
459.50	4.5951e+06
460.00	4.8169e+06
460.50	5.2294e+06
461.00	5.5687e+06
461.50	6.0263e+06
462.00	6.2815e+06
462.50	6.6897e+06
463.00	7.0071e+06
463.50	7.4258e+06
464.00	7.6371e+06
464.50	7.9586e+06
465.00	8.1619e+06
465.50	8.4293e+06
466.00	8.5268e+06
466.50	8.6564e+06
467.00	8.7136e+06
467.50	8.7269e+06
468.00	8.7062e+06
468.50	8.6204e+06
469.00	8.5641e+06
469.50	8.4009e+06
470.00	8.3102e+06
470.50	8.1078e+06
471.00	7.9826e+06
471.50	7.7335e+06
472.00	7.6180e+06
472.50	7.3856e+06
473.00	7.2349e+06
473.50	6.9955e+06
474.00	6.8713e+06
474.50	6.6479e+06
475.00	6.5069e+06
475.50	6.2519e+06
476.00	6.1239e+06
476.50	5.9113e+06
477.00	5.7475e+06
477.50	5.4943e+06
478.00	5.3850e+06
478.50	5.1427e+06
479.00	4.9891e+06
479.50	4.7542e+06
480.00	4.6634e+06
480.50	4.4813e+06
481.00	4.3580e+06
481.50	4.2016e+06
482.00	4.1263e+06
482.50	4.0136e+06
483.00	3.9417e+06
483.50	3.8580e+06
484.00	3.8288e+06
484.50	3.7817e+06
485.00	3.7673e+06
485.50	3.7535e+06
486.00	3.7558e+06
486.50	3.7743e+06
487.00	3.8069e+06
487.50	3.8617e+06
488.00	3.9012e+06
488.50	3.9738e+06
489.00	4.0485e+06
489.50	4.1607e+06
490.00	4.2191e+06
490.50	4.3472e+06
491.00	4.4409e+06
491.50	4.5868e+06
492.00	4.6594e+06
492.50	4.7945e+06
493.00	4.8961e+06
493.50	5.0258e+06
494.00	5.0971e+06
494.50	5.2113e+06
495.00	5.2837e+06
495.50	5.3726e+06
496.00	5.4248e+06
496.50	5.4848e+06
497.00	5.5171e+06
497.50	5.5545e+06
498.00	5.5629e+06
498.50	5.5672e+06
499.00	5.5538e+06
499.50	5.5312e+06
500.00	5.5013e+06
500.50	5.4562e+06
501.00	5.4151e+06
501.50	5.3336e+06
502.00	5.2880e+06
502.50	5.1948e+06
503.00	5.1180e+06
503.50	4.9578e+06
504.00	4.8967e+06
504.50	4.7612e+06
505.00	4.6628e+06
505.50	4.5066e+06
506.00	4.4240e+06
506.50	4.2744e+06
507.00	4.1696e+06
507.50	4.0064e+06
508.00	3.9261e+06
508.50	3.8053e+06
509.00	3.6996e+06
509.50	3.5710e+06
510.00	3.5100e+06
510.50	3.4035e+06
511.00	3.3133e+06
511.50	3.2044e+06
512.00	3.1521e+06
512.50	3.0591e+06
513.00	2.9998e+06
513.50	2.9112e+06
514.00	2.8750e+06
514.50	2.8019e+06
515.00	2.7667e+06
515.50	2.6931e+06
516.00	2.6656e+06
516.50	2.6090e+06
517.00	2.5849e+06
517.50	2.5358e+06
518.00	2.5152e+06
518.50	2.4783e+06
519.00	2.4567e+06
519.50	2.4222e+06
520.00	2.4098e+06
520.50	2.3750e+06
521.00	2.3657e+06
521.50	2.3416e+06
522.00	2.3247e+06
522.50	2.2994e+06
523.00	2.2884e+06
523.50	2.2620e+06
524.00	2.2492e+06
524.50	2.2351e+06
525.00	2.2216e+06
525.50	2.2034e+06
526.00	2.1984e+06
526.50	2.1840e+06
527.00	2.1721e+06
527.50	2.1582e+06
528.00	2.1546e+06
528.50	2.1437e+06
529.00	2.1322e+06
529.50	2.1154e+06
530.00	2.1122e+06
530.50	2.0964e+06
531.00	2.0842e+06
531.50	2.0643e+06
532.00	2.0566e+06
532.50	2.0399e+06
533.00	2.0214e+06
533.50	1.9953e+06
534.00	1.9859e+06
534.50	1.9564e+06
535.00	1.9371e+06
535.50	1.9059e+06
536.00	1.8839e+06
536.50	1.8605e+06
537.00	1.8334e+06
537.50	1.7979e+06
538.00	1.7749e+06
538.50	1.7366e+06
539.00	1.7093e+06
539.50	1.6626e+06
540.00	1.6427e+06
540.50	1.6008e+06
541.00	1.5693e+06
541.50	1.5252e+06
542.00	1.4980e+06
542.50	1.4607e+06
543.00	1.4346e+06
543.50	1.3867e+06
544.00	1.3646e+06
544.50	1.3271e+06
545.00	1.2989e+06
545.50	1.2565e+06
546.00	1.2354e+06
546.50	1.2006e+06
547.00	1.1779e+06
547.50	1.1380e+06
