Wavelength (nm)	FL090 [11] R259188, 2',3,4',6'-Tetramethylflavone [D]
210.00	22286
211.00	21866
212.00	21713
213.00	21685
214.00	22057
215.00	22508
216.00	23213
217.00	23928
218.00	24817
219.00	25705
220.00	26557
221.00	27387
222.00	27853
223.00	28318
224.00	28646
225.00	28966
226.00	29113
227.00	29226
228.00	28739
229.00	28252
230.00	26434
231.00	24513
232.00	22690
233.00	20867
234.00	18982
235.00	17057
236.00	15294
237.00	13910
238.00	12526
239.00	11354
240.00	10330
241.00	9656.9
242.00	9165.2
243.00	8855.7
244.00	8546.2
245.00	8289.6
246.00	8059.1
247.00	7807.3
248.00	7544.6
249.00	7260.4
250.00	6914.9
251.00	6588.1
252.00	6296.0
253.00	6082.6
254.00	5919.1
255.00	5888.5
256.00	5880.3
257.00	5947.1
258.00	6013.9
259.00	6186.2
260.00	6366.4
261.00	6556.2
262.00	6766.7
263.00	6977.2
264.00	7193.8
265.00	7411.1
266.00	7616.3
267.00	7818.5
268.00	7996.3
269.00	8114.7
270.00	8086.3
271.00	7981.3
272.00	7754.3
273.00	7527.3
274.00	7285.0
275.00	7035.5
276.00	6786.0
277.00	6620.9
278.00	6468.4
279.00	6315.9
280.00	6200.6
281.00	6104.5
282.00	6052.6
283.00	6036.8
284.00	6021.1
285.00	6096.4
286.00	6189.0
287.00	6284.9
288.00	6489.6
289.00	6694.3
290.00	6938.0
291.00	7264.5
292.00	7576.0
293.00	7854.2
294.00	8132.3
295.00	8388.5
296.00	8644.7
297.00	8844.0
298.00	9005.4
299.00	9166.8
300.00	9267.9
301.00	9368.5
302.00	9442.8
303.00	9474.5
304.00	9478.5
305.00	9407.7
306.00	9336.9
307.00	9184.2
308.00	9007.0
309.00	8829.9
310.00	8469.2
311.00	8108.5
312.00	7489.9
313.00	6785.4
314.00	6080.9
315.00	5291.3
316.00	4416.6
317.00	3556.2
318.00	2776.9
319.00	2066.4
320.00	1505.5
321.00	1098.8
