Wavelength (nm)	FL015 [5] 531-95-3, Equol [C]
190.00	11090
191.00	9701.3
192.00	11412
193.00	10943
194.00	8561.7
195.00	9583.1
196.00	15394
197.00	13858
198.00	15764
199.00	22344
200.00	28796
201.00	32660
202.00	40728
203.00	46304
204.00	49820
205.00	50202
206.00	50466
207.00	49718
208.00	46046
209.00	42223
210.00	39084
211.00	35661
212.00	32776
213.00	30317
214.00	28245
215.00	26575
216.00	25342
217.00	24503
218.00	24044
219.00	23889
220.00	23996
221.00	24249
222.00	24593
223.00	24856
224.00	24993
225.00	24915
226.00	24552
227.00	23952
228.00	23071
229.00	21849
230.00	20182
231.00	18034
232.00	15553
233.00	12836
234.00	10217
235.00	7932.2
236.00	6023.8
237.00	4558.0
238.00	3471.2
239.00	2647.0
240.00	2023.9
241.00	1566.4
242.00	1223.6
243.00	970.25
244.00	794.37
245.00	672.80
246.00	595.80
247.00	555.23
248.00	540.18
249.00	546.02
250.00	568.69
251.00	606.83
252.00	656.45
253.00	714.38
254.00	785.48
255.00	867.60
256.00	962.02
257.00	1068.1
258.00	1193.6
259.00	1327.9
260.00	1476.2
261.00	1639.0
262.00	1817.8
263.00	2016.6
264.00	2243.4
265.00	2472.0
266.00	2732.5
267.00	3002.2
268.00	3299.8
269.00	3605.2
270.00	3912.3
271.00	4224.7
272.00	4553.0
273.00	4890.4
274.00	5241.0
275.00	5562.9
276.00	5860.2
277.00	6147.9
278.00	6424.2
279.00	6647.8
280.00	6775.0
281.00	6796.8
282.00	6783.8
283.00	6800.0
284.00	6799.6
285.00	6654.9
286.00	6320.7
287.00	5887.0
288.00	5494.8
289.00	5197.3
290.00	4868.6
291.00	4325.6
292.00	3556.7
293.00	2667.8
294.00	1875.0
295.00	1272.6
296.00	857.20
297.00	598.71
298.00	420.94
299.00	312.43
300.00	240.43
301.00	188.21
302.00	150.36
303.00	131.73
304.00	108.95
305.00	101.47
306.00	90.541
307.00	82.854
308.00	74.545
309.00	63.451
310.00	66.310
311.00	67.643
312.00	62.059
313.00	64.384
314.00	66.488
315.00	60.356
316.00	52.432
317.00	46.107
318.00	45.189
319.00	51.395
320.00	56.860
321.00	47.648
322.00	49.736
323.00	51.899
324.00	46.907
325.00	50.255
326.00	42.893
327.00	43.382
328.00	41.101
329.00	45.604
330.00	45.900
331.00	41.027
332.00	42.493
333.00	41.975
334.00	39.753
335.00	40.183
336.00	42.049
337.00	39.057
338.00	31.829
339.00	36.554
340.00	36.051
341.00	38.376
342.00	40.361
343.00	38.406
344.00	41.279
345.00	33.355
346.00	31.311
347.00	35.814
348.00	37.576
349.00	42.627
350.00	38.613
351.00	42.893
352.00	43.145
353.00	30.482
354.00	41.620
355.00	37.043
356.00	32.333
357.00	30.704
358.00	34.155
359.00	36.910
360.00	35.562
361.00	32.377
362.00	32.925
363.00	34.495
364.00	27.623
365.00	30.896
366.00	25.638
367.00	26.468
368.00	25.342
369.00	20.499
370.00	34.332
371.00	27.727
372.00	34.288
373.00	26.246
374.00	24.601
375.00	25.712
376.00	23.076
377.00	36.273
378.00	26.142
379.00	21.802
380.00	40.909
381.00	42.745
382.00	27.756
383.00	28.408
384.00	35.591
385.00	28.601
386.00	25.461
387.00	41.279
388.00	34.273
389.00	27.060
390.00	42.005
391.00	37.161
392.00	29.963
393.00	31.059
394.00	30.452
395.00	23.505
396.00	30.778
397.00	28.586
398.00	30.348
399.00	35.162
400.00	26.394
401.00	24.468
402.00	29.089
403.00	30.585
404.00	23.580
405.00	15.285
406.00	23.046
407.00	22.084
408.00	20.321
409.00	20.054
410.00	20.054
411.00	18.588
412.00	17.936
413.00	26.586
414.00	19.358
415.00	15.389
416.00	17.581
417.00	20.321
418.00	16.870
419.00	15.004
420.00	13.049
421.00	20.262
422.00	25.431
423.00	20.736
424.00	24.853
425.00	17.255
426.00	29.400
427.00	18.707
428.00	16.914
429.00	14.885
430.00	13.108
431.00	14.545
432.00	8.6350
433.00	11.449
434.00	13.360
435.00	18.484
436.00	21.091
437.00	28.556
438.00	12.841
439.00	3.5399
440.00	12.738
441.00	20.158
442.00	19.640
443.00	16.826
444.00	17.403
445.00	12.604
446.00	10.812
447.00	7.4797
448.00	12.486
449.00	16.085
450.00	12.930
451.00	11.701
452.00	10.812
453.00	9.2274
454.00	15.892
455.00	4.5767
456.00	11.967
457.00	17.537
458.00	23.891
459.00	24.513
460.00	20.854
461.00	13.064
462.00	17.744
463.00	15.122
464.00	23.106
465.00	6.1022
466.00	11.864
467.00	13.863
468.00	11.079
469.00	7.0205
470.00	10.827
471.00	8.9608
472.00	12.797
473.00	13.271
474.00	22.528
475.00	13.849
476.00	17.685
477.00	3.6436
478.00	6.5022
479.00	8.0278
480.00	3.0511
481.00	9.4644
482.00	2.2513
483.00	5.0506
484.00	8.1758
485.00	10.472
486.00	2.0291
487.00	4.3207
488.00	3.3622
489.00	23.698
490.00	14.441
491.00	33.414
492.00	22.913
493.00	21.787
494.00	6.4133
495.00	8.2499
496.00	8.3239
497.00	13.078
498.00	6.9761
499.00	24.542
500.00	5.2876
