Wavelength (nm)	F15 abs e
200.00	1343.5
201.00	1321.0
202.00	1290.8
203.00	1209.5
204.00	1132.5
205.00	1063.5
206.00	998.14
207.00	942.47
208.00	895.86
209.00	855.35
210.00	823.09
211.00	798.66
212.00	782.44
213.00	772.62
214.00	770.26
215.00	775.07
216.00	788.33
217.00	807.34
218.00	833.03
219.00	867.19
220.00	908.90
221.00	957.88
222.00	1015.3
223.00	1081.4
224.00	1158.1
225.00	1240.0
226.00	1335.2
227.00	1441.0
228.00	1554.4
229.00	1680.0
230.00	1818.0
231.00	1968.1
232.00	2126.3
233.00	2301.6
234.00	2485.0
235.00	2691.3
236.00	2905.4
237.00	3144.6
238.00	3401.6
239.00	3669.3
240.00	3962.7
241.00	4276.6
242.00	4605.7
243.00	4968.8
244.00	5353.5
245.00	5756.0
246.00	6193.2
247.00	6651.4
248.00	7128.7
249.00	7617.0
250.00	8129.5
251.00	8658.2
252.00	9186.0
253.00	9724.2
254.00	10252
255.00	10778
256.00	11283
257.00	11766
258.00	12213
259.00	12622
260.00	12999
261.00	13302
262.00	13576
263.00	13779
264.00	13919
265.00	14000
266.00	13991
267.00	13908
268.00	13766
269.00	13551
270.00	13262
271.00	12937
272.00	12523
273.00	12039
274.00	11540
275.00	10989
276.00	10406
277.00	9792.3
278.00	9167.2
279.00	8534.8
280.00	7889.6
281.00	7261.2
282.00	6648.8
283.00	6050.1
284.00	5478.3
285.00	4935.5
286.00	4423.1
287.00	3937.1
288.00	3486.8
289.00	3066.0
290.00	2678.0
291.00	2329.3
292.00	2018.0
293.00	1733.2
294.00	1485.0
295.00	1262.5
296.00	1064.3
297.00	893.99
298.00	746.38
299.00	618.31
300.00	511.98
301.00	424.37
302.00	348.84
303.00	287.20
304.00	238.14
305.00	198.65
306.00	164.64
307.00	139.79
308.00	116.43
309.00	98.867
310.00	87.041
311.00	76.005
312.00	68.925
313.00	60.559
314.00	57.910
315.00	54.367
316.00	49.798
317.00	47.727
318.00	45.010
319.00	42.671
320.00	41.983
321.00	39.643
322.00	41.102
323.00	37.896
324.00	38.026
325.00	37.297
326.00	34.696
327.00	37.228
328.00	35.171
329.00	34.731
330.00	34.119
331.00	35.034
332.00	35.687
333.00	35.887
334.00	32.082
335.00	33.692
336.00	36.066
337.00	34.717
338.00	37.538
339.00	34.765
340.00	34.236
341.00	34.215
342.00	36.458
343.00	31.277
344.00	32.316
345.00	33.444
346.00	33.541
347.00	35.157
348.00	36.692
349.00	33.898
350.00	32.908
