Wavelength (nm)	O09 abs e
190.00	12964
191.00	11368
192.00	9751.2
193.00	11133
194.00	10703
195.00	10101
196.00	9527.6
197.00	9926.3
198.00	10303
199.00	10101
200.00	10246
201.00	9792.4
202.00	9488.1
203.00	9285.4
204.00	9157.8
205.00	9077.8
206.00	9027.7
207.00	8992.0
208.00	8956.5
209.00	8906.9
210.00	8819.4
211.00	8674.4
212.00	8481.7
213.00	8236.9
214.00	7973.5
215.00	7733.1
216.00	7531.3
217.00	7375.2
218.00	7266.8
219.00	7205.3
220.00	7186.0
221.00	7217.5
222.00	7293.1
223.00	7423.0
224.00	7601.6
225.00	7835.1
226.00	8145.4
227.00	8504.9
228.00	8940.8
229.00	9425.1
230.00	9986.0
231.00	10598
232.00	11244
233.00	11955
234.00	12703
235.00	13534
236.00	14405
237.00	15368
238.00	16421
239.00	17519
240.00	18686
241.00	19868
242.00	21009
243.00	22100
244.00	23082
245.00	23971
246.00	24862
247.00	25789
248.00	26852
249.00	28014
250.00	29320
251.00	30562
252.00	31590
253.00	32143
254.00	32039
255.00	31234
256.00	29952
257.00	28411
258.00	26937
259.00	25784
260.00	24970
261.00	24635
262.00	24662
263.00	25018
264.00	25646
265.00	26367
266.00	27203
267.00	28078
268.00	28911
269.00	29778
270.00	30703
271.00	31632
272.00	32644
273.00	33647
274.00	34555
275.00	35271
276.00	35601
277.00	35451
278.00	34677
279.00	33308
280.00	31461
281.00	29282
282.00	26980
283.00	24699
284.00	22554
285.00	20659
286.00	19007
287.00	17616
288.00	16444
289.00	15471
290.00	14639
291.00	13952
292.00	13363
293.00	12855
294.00	12401
295.00	12003
296.00	11631
297.00	11316
298.00	11010
299.00	10758
300.00	10534
301.00	10296
302.00	10095
303.00	9896.4
304.00	9712.1
305.00	9541.0
306.00	9357.7
307.00	9183.5
308.00	9010.2
309.00	8843.6
310.00	8682.9
311.00	8517.2
312.00	8361.7
313.00	8219.4
314.00	8083.2
315.00	7954.5
316.00	7842.3
317.00	7731.7
318.00	7642.4
319.00	7569.5
320.00	7495.5
321.00	7437.2
322.00	7394.9
323.00	7352.1
324.00	7339.6
325.00	7345.3
326.00	7367.7
327.00	7405.0
328.00	7460.1
329.00	7542.3
330.00	7649.0
331.00	7754.0
332.00	7900.4
333.00	8073.2
334.00	8248.0
335.00	8448.2
336.00	8639.1
337.00	8840.2
338.00	9044.7
339.00	9261.4
340.00	9467.7
341.00	9668.7
342.00	9873.5
343.00	10052
344.00	10243
345.00	10431
346.00	10638
347.00	10831
348.00	11039
349.00	11213
350.00	11409
351.00	11587
352.00	11767
353.00	11906
354.00	12023
355.00	12107
356.00	12172
357.00	12200
358.00	12179
359.00	12135
360.00	12066
361.00	11979
362.00	11839
363.00	11694
364.00	11547
365.00	11402
366.00	11244
367.00	11083
368.00	10885
369.00	10707
370.00	10508
371.00	10298
372.00	10047
373.00	9781.6
374.00	9506.0
375.00	9199.1
376.00	8835.3
377.00	8471.2
378.00	8080.4
379.00	7671.3
380.00	7246.2
381.00	6805.0
382.00	6359.8
383.00	5923.6
384.00	5497.6
385.00	5068.6
386.00	4658.1
387.00	4243.0
388.00	3883.2
389.00	3545.4
390.00	3207.4
391.00	2901.8
392.00	2613.0
393.00	2373.8
394.00	2165.9
395.00	1965.0
396.00	1782.2
397.00	1627.7
398.00	1477.9
399.00	1357.6
400.00	1245.0
401.00	1145.2
402.00	1045.4
403.00	964.79
404.00	891.49
405.00	809.66
406.00	769.82
407.00	713.26
408.00	657.94
409.00	612.42
410.00	582.45
411.00	535.50
412.00	504.21
413.00	468.47
414.00	437.75
415.00	414.31
416.00	384.24
417.00	367.83
418.00	341.22
419.00	326.78
420.00	304.05
421.00	277.38
422.00	263.26
423.00	257.68
424.00	235.11
425.00	228.71
426.00	225.54
427.00	214.03
428.00	210.21
429.00	192.52
430.00	182.27
431.00	178.41
432.00	183.41
433.00	174.35
434.00	159.34
435.00	157.94
436.00	161.57
437.00	155.01
438.00	137.97
439.00	142.46
440.00	145.93
441.00	132.57
442.00	132.00
443.00	122.75
444.00	134.69
445.00	133.24
446.00	123.81
447.00	124.52
448.00	124.34
449.00	116.71
450.00	120.73
451.00	125.65
452.00	125.54
453.00	121.85
454.00	122.62
455.00	116.81
456.00	114.55
457.00	107.16
458.00	110.92
459.00	106.31
460.00	108.25
461.00	108.61
462.00	95.140
463.00	104.14
464.00	105.27
465.00	96.878
466.00	101.93
467.00	114.45
468.00	105.92
469.00	102.22
470.00	104.03
471.00	97.273
472.00	113.15
473.00	104.40
474.00	111.43
475.00	88.843
476.00	95.479
477.00	102.11
478.00	94.933
479.00	104.30
480.00	106.24
481.00	113.32
482.00	98.479
483.00	91.662
484.00	100.79
485.00	77.220
486.00	80.171
487.00	87.188
488.00	89.646
489.00	87.658
490.00	89.879
491.00	92.306
492.00	93.589
493.00	79.515
494.00	76.685
495.00	77.190
496.00	66.863
497.00	74.214
498.00	86.329
499.00	67.649
500.00	84.767
