Wavelength (nm)	UroP III (0.1 M PPB).abs
645.00	0.0012757
646.00	0.0012615
647.00	0.0012280
648.00	0.0012949
649.00	0.0013586
650.00	0.0015681
651.00	0.0012007
652.00	0.0011822
653.00	0.0011364
654.00	0.0010858
655.00	0.0013205
656.00	0.00097797
657.00	0.0012912
658.00	0.0014521
659.00	0.00079916
660.00	0.0011637
661.00	0.0011685
662.00	0.00057500
663.00	0.00081865
664.00	0.00099602
665.00	0.00044831
666.00	0.00067246
667.00	0.00081865
668.00	0.00099213
669.00	0.00092585
670.00	0.00092585
671.00	0.00086738
672.00	0.00073094
673.00	0.00074068
674.00	0.00054577
675.00	0.00057500
676.00	0.00076018
677.00	0.00072119
678.00	0.00097458
679.00	0.00077967
680.00	0.00066272
681.00	0.00064323
682.00	0.00064323
683.00	0.0010945
684.00	0.00070170
685.00	0.00082840
686.00	0.00077967
687.00	0.00088687
688.00	0.00084789
689.00	0.00083814
690.00	0.00086738
691.00	0.00040933
692.00	0.00069195
693.00	0.00041907
694.00	0.00083814
695.00	0.00076992
696.00	0.00082840
697.00	0.00061399
698.00	0.00052627
699.00	0.00062373
700.00	0.00070170
