Wavelength (nm)	CoproP I (0.1 M PPB).ems
590.00	0.020704
591.00	0.021740
592.00	0.024588
593.00	0.030433
594.00	0.034142
595.00	0.041329
596.00	0.050367
597.00	0.061625
598.00	0.075856
599.00	0.093688
600.00	0.11658
601.00	0.14697
602.00	0.18616
603.00	0.23226
604.00	0.28488
605.00	0.34896
606.00	0.43312
607.00	0.51297
608.00	0.61017
609.00	0.69926
610.00	0.79413
611.00	0.87034
612.00	0.93370
613.00	0.97652
614.00	1.0000
615.00	0.98923
616.00	0.95313
617.00	0.90422
618.00	0.83528
619.00	0.76765
620.00	0.69352
621.00	0.61527
622.00	0.53999
623.00	0.48859
624.00	0.42670
625.00	0.37943
626.00	0.34250
627.00	0.30426
628.00	0.27398
629.00	0.24717
630.00	0.22765
631.00	0.21204
632.00	0.20252
633.00	0.18902
634.00	0.18317
635.00	0.17967
636.00	0.17803
637.00	0.17920
638.00	0.18217
639.00	0.18130
640.00	0.18327
641.00	0.18726
642.00	0.18704
643.00	0.19309
644.00	0.19300
645.00	0.19303
646.00	0.19543
647.00	0.19876
648.00	0.20654
649.00	0.20826
650.00	0.21295
651.00	0.21835
652.00	0.22233
653.00	0.23448
654.00	0.24088
655.00	0.25745
656.00	0.26648
657.00	0.27669
658.00	0.28786
659.00	0.30446
660.00	0.31019
661.00	0.32444
662.00	0.33127
663.00	0.34134
664.00	0.35509
665.00	0.37238
666.00	0.38398
667.00	0.41293
668.00	0.41118
669.00	0.43515
670.00	0.45283
671.00	0.47089
672.00	0.48959
673.00	0.51011
674.00	0.51533
675.00	0.53297
676.00	0.53502
677.00	0.54092
678.00	0.52772
679.00	0.51501
680.00	0.49258
681.00	0.47311
682.00	0.43583
683.00	0.40146
684.00	0.37634
685.00	0.35704
686.00	0.31943
687.00	0.29640
688.00	0.25742
689.00	0.23463
690.00	0.21302
691.00	0.19280
692.00	0.17246
693.00	0.15748
694.00	0.13781
695.00	0.12730
696.00	0.11609
697.00	0.10596
698.00	0.097302
699.00	0.088083
700.00	0.082447
701.00	0.077600
702.00	0.069929
703.00	0.063254
704.00	0.062954
705.00	0.057723
706.00	0.057964
707.00	0.055353
708.00	0.054154
709.00	0.051199
710.00	0.048583
