Wavelength (nm)	A13 abs e
210.00	4336.5
211.00	3581.4
212.00	2913.1
213.00	2518.6
214.00	2279.8
215.00	2161.0
216.00	2149.0
217.00	2204.6
218.00	2324.4
219.00	2486.4
220.00	2694.3
221.00	2957.7
222.00	3282.8
223.00	3661.5
224.00	4092.0
225.00	4573.9
226.00	5095.8
227.00	5647.1
228.00	6241.5
229.00	6841.5
230.00	7457.9
231.00	8099.2
232.00	8751.6
233.00	9416.0
234.00	10034
235.00	10619
236.00	11126
237.00	11580
238.00	12003
239.00	12412
240.00	12832
241.00	13139
242.00	13200
243.00	12977
244.00	12475
245.00	11842
246.00	11285
247.00	10989
248.00	10952
249.00	10846
250.00	10228
251.00	8883.7
252.00	7057.6
253.00	5154.8
254.00	3564.4
255.00	2416.8
256.00	1677.2
257.00	1237.3
258.00	981.48
259.00	839.41
260.00	766.14
261.00	733.41
262.00	721.98
263.00	725.90
264.00	737.78
265.00	759.72
266.00	788.48
267.00	820.15
268.00	852.97
269.00	883.99
270.00	917.32
271.00	949.33
272.00	973.65
273.00	992.98
274.00	1010.0
275.00	1031.7
276.00	1055.2
277.00	1087.5
278.00	1127.3
279.00	1147.9
280.00	1143.3
281.00	1128.4
282.00	1083.2
283.00	986.09
284.00	895.07
285.00	864.06
286.00	870.78
287.00	866.67
288.00	894.05
289.00	942.02
290.00	864.61
291.00	656.28
292.00	444.67
293.00	296.02
294.00	201.58
295.00	140.12
296.00	102.91
297.00	80.595
298.00	66.812
299.00	57.131
300.00	53.216
