Wavelength (nm)	L11 abs e
200.00	5034.6
201.00	5065.1
202.00	5009.0
203.00	5399.0
204.00	5318.4
205.00	5605.4
206.00	6182.2
207.00	6664.1
208.00	6847.5
209.00	6952.8
210.00	7068.7
211.00	7204.7
212.00	7521.7
213.00	8074.9
214.00	9738.0
215.00	11502
216.00	12418
217.00	12437
218.00	12100
219.00	11540
220.00	10890
221.00	10238
222.00	9569.2
223.00	8939.6
224.00	8351.0
225.00	7834.9
226.00	7375.8
227.00	6983.0
228.00	6639.4
229.00	6338.9
230.00	6065.6
231.00	5819.5
232.00	5592.5
233.00	5369.5
234.00	5163.6
235.00	4960.5
236.00	4759.3
237.00	4565.4
238.00	4379.1
239.00	4198.4
240.00	4020.1
241.00	3848.6
242.00	3684.8
243.00	3523.9
244.00	3371.8
245.00	3225.3
246.00	3087.4
247.00	2955.0
248.00	2829.6
249.00	2717.6
250.00	2617.2
251.00	2527.9
252.00	2458.5
253.00	2402.7
254.00	2362.6
255.00	2337.3
256.00	2331.0
257.00	2333.5
258.00	2353.5
259.00	2380.4
260.00	2416.0
261.00	2457.9
262.00	2501.9
263.00	2552.3
264.00	2612.2
265.00	2677.0
266.00	2748.2
267.00	2829.1
268.00	2916.7
269.00	3008.4
270.00	3106.9
271.00	3207.8
272.00	3317.3
273.00	3427.3
274.00	3536.0
275.00	3646.6
276.00	3759.5
277.00	3870.0
278.00	3981.4
279.00	4085.6
280.00	4190.2
281.00	4291.3
282.00	4386.3
283.00	4478.7
284.00	4565.0
285.00	4658.7
286.00	4749.5
287.00	4839.4
288.00	4934.5
289.00	5023.6
290.00	5118.6
291.00	5207.1
292.00	5307.0
293.00	5395.0
294.00	5484.8
295.00	5566.4
296.00	5643.1
297.00	5701.2
298.00	5756.7
299.00	5791.8
300.00	5814.3
301.00	5817.0
302.00	5803.5
303.00	5768.7
304.00	5714.3
305.00	5640.6
306.00	5551.4
307.00	5445.2
308.00	5323.6
309.00	5186.6
310.00	5048.6
311.00	4903.3
312.00	4739.8
313.00	4575.0
314.00	4408.6
315.00	4236.6
316.00	4072.8
317.00	3902.0
318.00	3730.7
319.00	3574.4
320.00	3424.2
321.00	3276.8
322.00	3147.6
323.00	3030.1
324.00	2914.5
325.00	2821.6
326.00	2738.2
327.00	2669.6
328.00	2604.3
329.00	2554.5
330.00	2512.8
331.00	2479.3
332.00	2456.0
333.00	2443.1
334.00	2433.0
335.00	2427.5
336.00	2432.4
337.00	2444.1
338.00	2456.7
339.00	2475.8
340.00	2500.5
341.00	2526.4
342.00	2559.6
343.00	2589.6
344.00	2626.0
345.00	2664.1
346.00	2705.7
347.00	2747.0
348.00	2790.3
349.00	2839.4
350.00	2888.9
351.00	2940.2
352.00	2985.6
353.00	3037.7
354.00	3090.3
355.00	3141.0
356.00	3190.2
357.00	3247.9
358.00	3300.0
359.00	3346.9
360.00	3398.1
361.00	3455.3
362.00	3503.9
363.00	3557.5
364.00	3611.5
365.00	3662.3
366.00	3702.4
367.00	3748.5
368.00	3805.3
369.00	3830.0
370.00	3879.9
371.00	3919.7
372.00	3949.9
373.00	3974.3
374.00	4001.2
375.00	4024.4
376.00	4042.1
377.00	4057.0
378.00	4066.8
379.00	4077.2
380.00	4071.5
381.00	4061.1
382.00	4061.2
383.00	4053.9
384.00	4032.8
385.00	4011.3
386.00	3986.6
387.00	3945.0
388.00	3911.0
389.00	3879.7
390.00	3826.6
391.00	3780.7
392.00	3725.8
393.00	3667.3
394.00	3610.4
395.00	3546.3
396.00	3474.1
397.00	3400.3
398.00	3324.6
399.00	3254.2
400.00	3176.9
401.00	3090.0
402.00	3005.5
403.00	2923.6
404.00	2835.9
405.00	2750.6
406.00	2671.3
407.00	2587.8
408.00	2493.4
409.00	2409.2
410.00	2326.9
411.00	2248.3
412.00	2154.4
413.00	2075.3
414.00	2000.0
415.00	1929.4
416.00	1858.5
417.00	1782.8
418.00	1714.7
419.00	1646.1
420.00	1582.0
421.00	1523.9
422.00	1469.2
423.00	1421.8
424.00	1374.0
425.00	1331.9
426.00	1288.6
427.00	1243.2
428.00	1212.8
429.00	1179.9
430.00	1155.4
431.00	1129.0
432.00	1109.1
433.00	1095.6
434.00	1074.4
435.00	1062.7
436.00	1053.8
437.00	1039.8
438.00	1035.8
439.00	1036.8
