Wavelength (nm)	FL139 [12] 14813-29-7, Myricetin hexaacetate [D]
220.00	23027
221.00	22572
222.00	22131
223.00	21628
224.00	21019
225.00	20393
226.00	19731
227.00	19130
228.00	18698
229.00	18267
230.00	17835
231.00	17386
232.00	16907
233.00	16428
234.00	15990
235.00	15557
236.00	15222
237.00	14993
238.00	14804
239.00	14737
240.00	14733
241.00	14797
242.00	14952
243.00	15216
244.00	15596
245.00	15795
246.00	15966
247.00	16105
248.00	16244
249.00	16367
250.00	16488
251.00	16546
252.00	16604
253.00	16662
254.00	16641
255.00	16604
256.00	16551
257.00	16436
258.00	16321
259.00	16058
260.00	15686
261.00	15270
262.00	14647
263.00	14024
264.00	13402
265.00	12663
266.00	11907
267.00	11131
268.00	9784.7
269.00	9306.8
270.00	8939.0
271.00	8866.9
272.00	8852.6
273.00	8903.4
274.00	9076.2
275.00	9375.8
276.00	9767.1
277.00	10162
278.00	10562
279.00	10961
280.00	11544
281.00	12176
282.00	12736
283.00	13287
284.00	13701
285.00	14115
286.00	14512
287.00	14772
288.00	15032
289.00	15292
290.00	15562
291.00	15844
292.00	16033
293.00	16168
294.00	16304
295.00	16379
296.00	16427
297.00	16459
298.00	16416
299.00	16374
300.00	16256
301.00	16129
302.00	16002
303.00	15864
304.00	15712
305.00	15560
306.00	15408
307.00	15255
308.00	15058
309.00	14861
310.00	14664
311.00	14467
312.00	14270
313.00	14073
314.00	13760
315.00	13446
316.00	13132
317.00	12818
318.00	12480
319.00	12111
320.00	11741
321.00	11372
322.00	10989
323.00	10556
324.00	10123
325.00	9689.9
326.00	9235.9
327.00	8707.9
328.00	8179.8
329.00	7621.0
330.00	7010.0
331.00	6399.0
332.00	5758.0
333.00	5100.1
