Wavelength (nm)	M04 abs e
300.00	11220
301.00	10850
302.00	10519
303.00	10232
304.00	9959.6
305.00	9689.5
306.00	9421.6
307.00	9170.9
308.00	8918.4
309.00	8680.0
310.00	8453.9
311.00	8253.2
312.00	8070.8
313.00	7901.5
314.00	7750.0
315.00	7608.6
316.00	7481.4
317.00	7359.4
318.00	7236.3
319.00	7112.8
320.00	6994.2
321.00	6871.1
322.00	6747.3
323.00	6623.8
324.00	6504.0
325.00	6385.4
326.00	6263.0
327.00	6151.9
328.00	6047.1
329.00	5937.0
330.00	5840.4
331.00	5746.4
332.00	5665.1
333.00	5583.0
334.00	5514.3
335.00	5450.6
336.00	5395.7
337.00	5344.2
338.00	5304.7
339.00	5265.9
340.00	5226.4
341.00	5199.9
342.00	5173.0
343.00	5148.8
344.00	5117.8
345.00	5092.8
346.00	5073.4
347.00	5049.2
348.00	5034.2
349.00	5025.3
350.00	5007.0
351.00	5000.7
352.00	4992.8
353.00	4977.5
354.00	4970.1
355.00	4948.1
356.00	4928.3
357.00	4902.6
358.00	4872.3
359.00	4810.8
360.00	4761.9
361.00	4716.8
362.00	4702.6
363.00	4715.7
364.00	4722.0
365.00	4690.3
366.00	4607.1
367.00	4482.5
368.00	4374.0
369.00	4310.9
370.00	4307.5
371.00	4343.7
372.00	4366.5
373.00	4366.1
374.00	4343.0
375.00	4313.1
376.00	4289.6
377.00	4250.1
378.00	4213.9
379.00	4154.2
380.00	4106.9
381.00	4067.3
382.00	4041.6
383.00	4014.7
384.00	4008.0
385.00	4028.9
386.00	4053.5
387.00	4098.6
388.00	4169.5
389.00	4232.9
390.00	4315.8
391.00	4421.3
392.00	4525.4
393.00	4606.0
394.00	4678.7
395.00	4756.7
396.00	4832.4
397.00	4899.2
398.00	4978.3
399.00	5018.6
400.00	5077.9
401.00	5152.1
402.00	5209.2
403.00	5284.2
404.00	5376.7
405.00	5493.8
406.00	5599.4
407.00	5699.8
408.00	5837.8
409.00	5950.8
410.00	6056.8
411.00	6159.0
412.00	6234.7
413.00	6274.6
414.00	6260.4
415.00	6230.2
416.00	6130.2
417.00	5994.1
418.00	5815.8
419.00	5606.5
420.00	5352.8
421.00	5089.8
422.00	4814.1
