Wavelength (nm)	R06 abs e
300.00	9226.8
300.25	9196.3
300.50	9156.9
300.75	9195.0
301.00	9246.9
301.25	9301.5
301.50	9274.6
301.75	9306.1
302.00	9302.4
302.25	9251.1
302.50	9270.8
302.75	9295.4
303.00	9269.7
303.25	9269.5
303.50	9264.0
303.75	9291.6
304.00	9374.7
304.25	9386.3
304.50	9401.2
304.75	9410.9
305.00	9320.8
305.25	9327.4
305.50	9352.3
305.75	9318.2
306.00	9327.8
306.25	9326.0
306.50	9288.8
306.75	9357.8
307.00	9319.7
307.25	9302.6
307.50	9268.6
307.75	9271.5
308.00	9231.8
308.25	9176.8
308.50	9112.0
308.75	9062.4
309.00	9023.0
309.25	8968.9
309.50	8982.9
309.75	9025.2
310.00	8923.1
310.25	8811.3
310.50	8625.0
310.75	8670.4
311.00	8458.9
311.25	8618.3
311.50	8510.2
311.75	8506.7
312.00	8371.3
312.25	8237.6
312.50	8229.5
312.75	8161.6
313.00	8056.0
313.25	8049.8
313.50	7972.9
313.75	7863.6
314.00	8069.3
314.25	7746.3
314.50	7821.5
314.75	7649.5
315.00	7700.5
315.25	7908.0
315.50	7632.4
315.75	7735.2
316.00	7646.4
316.25	7656.0
316.50	7556.1
316.75	7538.4
317.00	7582.0
317.25	7701.6
317.50	7712.8
317.75	7839.9
318.00	7690.0
318.25	7677.7
318.50	7739.3
318.75	7680.8
319.00	7736.7
319.25	7683.0
319.50	7909.6
319.75	7721.6
320.00	7811.8
320.25	7867.1
320.50	7846.0
320.75	7896.0
321.00	7874.7
321.25	7830.0
321.50	8023.3
321.75	7739.3
322.00	7912.4
322.25	7924.0
322.50	7816.0
322.75	8008.0
323.00	7820.4
323.25	7935.0
323.50	7983.6
323.75	7866.2
324.00	7794.1
324.25	7856.5
324.50	7711.0
324.75	7654.3
325.00	7723.1
325.25	7675.3
325.50	7583.3
325.75	7744.6
326.00	7416.8
326.25	7672.9
326.50	7420.9
326.75	7471.3
327.00	7368.8
327.25	7339.2
327.50	7331.3
327.75	7144.6
328.00	7169.8
328.25	6958.1
328.50	7108.4
328.75	7064.2
329.00	7027.1
329.25	7091.8
329.50	6988.8
329.75	6847.2
330.00	6969.7
330.25	6953.1
330.50	7030.0
330.75	6945.6
331.00	6977.8
331.25	7005.7
331.50	7011.4
331.75	6940.8
332.00	7020.6
332.25	7053.6
332.50	7058.0
332.75	7082.1
333.00	7292.9
333.25	7244.7
333.50	7351.0
333.75	7395.5
334.00	7432.5
334.25	7491.5
334.50	7509.2
334.75	7571.5
335.00	7507.3
335.25	7700.5
335.50	7636.1
335.75	8044.3
336.00	7997.9
336.25	8017.8
336.50	8140.3
336.75	8312.6
337.00	8371.1
337.25	8624.4
337.50	8681.4
337.75	8841.8
338.00	9048.0
338.25	9108.5
338.50	9331.3
338.75	9372.3
339.00	9415.5
339.25	9648.2
339.50	9898.0
339.75	10007
340.00	10123
340.25	10368
340.50	10453
340.75	10645
341.00	10918
341.25	11011
341.50	11137
341.75	11174
342.00	11323
342.25	11494
342.50	11600
342.75	11889
343.00	12033
343.25	12064
343.50	12186
343.75	12340
344.00	12468
344.25	12665
344.50	12732
344.75	12880
345.00	13093
345.25	13208
345.50	13322
345.75	13371
346.00	13511
346.25	13657
346.50	13870
346.75	13824
347.00	14076
347.25	14170
347.50	14311
347.75	14458
348.00	14695
348.25	14809
348.50	14937
348.75	15178
349.00	15344
349.25	15432
349.50	15738
349.75	15887
350.00	15990
350.25	16325
350.50	16510
350.75	16724
351.00	16887
351.25	17173
351.50	17533
351.75	17737
352.00	17950
352.25	18251
352.50	18562
352.75	18919
353.00	19212
353.25	19376
353.50	19888
353.75	19998
354.00	20380
354.25	20898
354.50	21029
354.75	21413
355.00	21776
355.25	22220
355.50	22563
355.75	23160
356.00	23424
356.25	23989
356.50	24179
356.75	24569
357.00	24619
357.25	25118
357.50	25358
357.75	25535
358.00	25757
358.25	26190
358.50	26227
358.75	26502
359.00	26771
359.25	26947
359.50	26992
359.75	26987
360.00	27291
360.25	27347
360.50	27108
360.75	27475
361.00	27500
361.25	27449
361.50	27412
361.75	27430
362.00	27492
362.25	27265
362.50	27105
362.75	27019
363.00	26739
363.25	26587
363.50	26498
363.75	26192
364.00	25888
364.25	25822
364.50	25596
364.75	25168
365.00	24857
365.25	24574
365.50	24258
365.75	23979
366.00	23578
366.25	23238
366.50	23019
366.75	22580
367.00	22237
367.25	21981
367.50	21518
367.75	21232
368.00	20797
368.25	20389
368.50	19937
368.75	19606
369.00	19233
369.25	19075
369.50	18676
369.75	18272
370.00	17871
370.25	17523
370.50	17188
370.75	16695
371.00	16369
371.25	16097
371.50	15697
371.75	15556
372.00	15281
372.25	14820
372.50	14493
372.75	14301
373.00	13941
373.25	13716
373.50	13418
373.75	13119
374.00	12970
374.25	12689
374.50	12531
374.75	12390
375.00	12289
375.25	12044
375.50	11788
375.75	11578
376.00	11172
376.25	10788
376.50	10460
376.75	10235
377.00	10091
377.25	9907.4
377.50	9548.9
377.75	9353.2
378.00	9232.9
378.25	8967.1
378.50	8795.1
378.75	8593.9
379.00	8392.3
379.25	8203.2
379.50	7930.8
379.75	7869.0
380.00	7672.5
380.25	7646.2
380.50	7335.5
380.75	7223.7
381.00	7056.1
381.25	6947.4
381.50	6719.5
381.75	6607.3
382.00	6534.5
382.25	6358.8
382.50	6258.6
382.75	6088.2
383.00	6063.0
383.25	5891.2
383.50	5770.0
383.75	5669.0
384.00	5555.7
384.25	5499.8
384.50	5407.5
384.75	5334.3
385.00	5203.1
385.25	5062.4
385.50	5066.8
385.75	5005.4
386.00	4900.9
386.25	4816.3
386.50	4743.8
386.75	4728.0
387.00	4622.4
387.25	4569.6
387.50	4552.3
387.75	4428.0
388.00	4449.3
388.25	4294.3
388.50	4310.3
388.75	4293.0
389.00	4209.1
389.25	4217.6
389.50	4243.7
389.75	4167.2
390.00	4094.7
390.25	4018.7
390.50	4052.4
390.75	4045.4
391.00	3906.0
391.25	3912.6
391.50	3865.9
391.75	3904.7
392.00	3839.0
392.25	3909.5
392.50	3780.0
392.75	3778.5
393.00	3796.7
393.25	3701.8
393.50	3796.2
393.75	3773.7
394.00	3798.7
394.25	3702.9
394.50	3729.0
394.75	3739.7
395.00	3730.9
395.25	3695.9
395.50	3694.6
395.75	3670.9
396.00	3654.7
396.25	3727.0
396.50	3648.8
396.75	3659.9
397.00	3673.8
397.25	3700.7
397.50	3690.4
397.75	3636.1
398.00	3679.0
398.25	3602.1
398.50	3611.5
398.75	3599.9
399.00	3571.2
399.25	3625.5
399.50	3714.1
399.75	3589.6
400.00	3685.8
400.25	3693.7
400.50	3656.7
400.75	3642.6
401.00	3629.9
401.25	3662.8
401.50	3588.9
401.75	3647.7
402.00	3689.7
402.25	3656.4
402.50	3622.0
402.75	3620.7
403.00	3672.7
403.25	3689.5
403.50	3639.6
403.75	3665.2
404.00	3604.3
404.25	3628.6
404.50	3633.7
404.75	3717.1
405.00	3642.0
405.25	3699.6
405.50	3634.1
405.75	3703.6
406.00	3654.2
406.25	3738.6
406.50	3658.0
406.75	3678.4
407.00	3638.5
407.25	3642.9
407.50	3726.1
407.75	3634.5
408.00	3687.1
408.25	3744.5
408.50	3704.7
408.75	3718.9
409.00	3649.0
409.25	3602.3
409.50	3668.5
409.75	3648.3
410.00	3683.8
410.25	3684.5
410.50	3641.8
410.75	3654.5
411.00	3604.5
411.25	3629.9
411.50	3614.1
411.75	3602.1
412.00	3603.0
412.25	3635.0
412.50	3604.1
412.75	3598.6
413.00	3584.1
413.25	3603.4
413.50	3536.4
413.75	3551.5
414.00	3574.7
414.25	3567.7
414.50	3502.2
414.75	3528.7
415.00	3577.6
415.25	3559.1
415.50	3481.8
415.75	3496.3
416.00	3523.6
416.25	3422.0
416.50	3484.6
416.75	3441.5
417.00	3439.5
417.25	3425.0
417.50	3453.1
417.75	3364.3
418.00	3347.5
418.25	3374.4
418.50	3344.4
418.75	3334.1
419.00	3325.8
419.25	3297.5
419.50	3315.5
419.75	3292.7
420.00	3304.5
420.25	3262.9
420.50	3310.2
420.75	3283.5
421.00	3288.7
421.25	3195.8
421.50	3233.7
421.75	3254.8
422.00	3193.6
422.25	3207.7
422.50	3131.4
422.75	3197.8
423.00	3181.8
423.25	3160.5
423.50	3165.4
423.75	3160.5
424.00	3178.3
424.25	3164.5
