Wavelength (nm)	Eur JOC 2009_21, At-NCC-3 abs [Z]
200.00	0.19675
201.00	0.29435
202.00	0.40884
203.00	0.51241
204.00	0.60644
205.00	0.68364
206.00	0.72631
207.00	0.76062
208.00	0.78995
209.00	0.81597
210.00	0.84193
211.00	0.86785
212.00	0.89212
213.00	0.91497
214.00	0.93524
215.00	0.95399
216.00	0.97020
217.00	0.98508
218.00	0.99496
219.00	1.0000
220.00	0.99580
221.00	0.98634
222.00	0.97173
223.00	0.95363
224.00	0.93540
225.00	0.91686
226.00	0.89671
227.00	0.87666
228.00	0.85681
229.00	0.83810
230.00	0.82169
231.00	0.80544
232.00	0.79032
233.00	0.77364
234.00	0.75109
235.00	0.73521
236.00	0.72169
237.00	0.71243
238.00	0.70340
239.00	0.69742
240.00	0.69214
241.00	0.69054
242.00	0.68896
243.00	0.68774
244.00	0.68653
245.00	0.68268
246.00	0.67839
247.00	0.67305
248.00	0.66573
249.00	0.65842
250.00	0.64658
251.00	0.63345
252.00	0.61787
253.00	0.60084
254.00	0.58142
255.00	0.55997
256.00	0.53864
257.00	0.51736
258.00	0.49856
259.00	0.48317
260.00	0.46779
261.00	0.45398
262.00	0.44096
263.00	0.42793
264.00	0.41778
265.00	0.40899
266.00	0.40020
267.00	0.39141
268.00	0.38574
269.00	0.38057
270.00	0.37540
271.00	0.37033
272.00	0.36623
273.00	0.36213
274.00	0.35803
275.00	0.35392
276.00	0.34977
277.00	0.34559
278.00	0.34142
279.00	0.33724
280.00	0.33402
281.00	0.33180
282.00	0.32958
283.00	0.32736
284.00	0.32529
285.00	0.32365
286.00	0.32202
287.00	0.32124
288.00	0.32187
289.00	0.32293
290.00	0.32546
291.00	0.32799
292.00	0.33133
293.00	0.33482
294.00	0.33865
295.00	0.34439
296.00	0.35012
297.00	0.35660
298.00	0.36450
299.00	0.37240
300.00	0.38065
301.00	0.39172
302.00	0.40279
303.00	0.41386
304.00	0.42637
305.00	0.44015
306.00	0.45394
307.00	0.46755
308.00	0.48114
309.00	0.49481
310.00	0.50865
311.00	0.52248
312.00	0.53698
313.00	0.55148
314.00	0.56443
315.00	0.57681
316.00	0.58918
317.00	0.60116
318.00	0.61303
319.00	0.62160
320.00	0.62841
321.00	0.63417
322.00	0.63823
323.00	0.64171
324.00	0.64325
325.00	0.64038
326.00	0.63684
327.00	0.62866
328.00	0.62008
329.00	0.60747
330.00	0.59486
331.00	0.58002
332.00	0.56394
333.00	0.54782
334.00	0.52928
335.00	0.51073
336.00	0.48642
337.00	0.45858
338.00	0.43074
339.00	0.40003
340.00	0.36890
341.00	0.33896
342.00	0.31004
343.00	0.28111
344.00	0.25009
345.00	0.21854
346.00	0.18869
347.00	0.15974
348.00	0.13219
349.00	0.10862
350.00	0.085046
351.00	0.065900
352.00	0.047793
353.00	0.036842
354.00	0.028030
355.00	0.020775
356.00	0.014744
357.00	0.0091943
358.00	0.0075401
359.00	0.0059365
360.00	0.0049150
361.00	0.0038936
362.00	0.0031571
363.00	0.0027689
364.00	0.0023806
365.00	0.0019924
366.00	0.0019885
367.00	0.0019885
368.00	0.0019885
369.00	0.0019885
370.00	0.0019885
371.00	0.0019885
372.00	0.0019885
373.00	0.0019885
374.00	0.0019885
375.00	0.0019885
376.00	0.0019885
377.00	0.0019885
378.00	0.0019885
379.00	0.0019885
380.00	0.0019885
381.00	0.0019885
382.00	0.0019885
383.00	0.0019885
384.00	0.0019885
385.00	0.0019885
386.00	0.0019885
387.00	0.0019885
388.00	0.0019885
389.00	0.0019885
390.00	0.0019885
391.00	0.0019885
392.00	0.0019885
393.00	0.0019885
394.00	0.0019885
395.00	0.0019885
396.00	0.0019885
397.00	0.0019885
398.00	0.0019885
399.00	0.0019885
400.00	0.0019885
