Wavelength (nm)	M05 abs e
300.00	3112.9
301.00	3095.2
302.00	3075.1
303.00	3064.6
304.00	3053.9
305.00	3046.3
306.00	3045.4
307.00	3045.2
308.00	3046.1
309.00	3049.6
310.00	3059.3
311.00	3069.6
312.00	3079.2
313.00	3084.8
314.00	3090.5
315.00	3094.6
316.00	3100.2
317.00	3101.3
318.00	3098.5
319.00	3079.6
320.00	3061.2
321.00	3040.5
322.00	3017.4
323.00	2994.6
324.00	2967.8
325.00	2942.5
326.00	2910.2
327.00	2879.1
328.00	2847.9
329.00	2817.0
330.00	2786.9
331.00	2760.8
332.00	2733.4
333.00	2707.4
334.00	2690.0
335.00	2675.7
336.00	2658.1
337.00	2648.1
338.00	2636.3
339.00	2615.4
340.00	2599.2
341.00	2585.6
342.00	2564.9
343.00	2549.9
344.00	2535.6
345.00	2517.1
346.00	2509.6
347.00	2506.0
348.00	2508.1
349.00	2515.8
350.00	2539.7
351.00	2557.1
352.00	2580.7
353.00	2606.8
354.00	2626.3
355.00	2640.1
356.00	2645.8
357.00	2647.8
358.00	2629.4
359.00	2620.2
360.00	2597.1
361.00	2590.6
362.00	2583.8
363.00	2593.0
364.00	2585.3
365.00	2581.6
366.00	2594.4
367.00	2637.4
368.00	2715.9
369.00	2804.5
370.00	2867.5
371.00	2898.5
372.00	2892.3
373.00	2881.4
374.00	2849.7
375.00	2811.8
376.00	2744.0
377.00	2664.7
378.00	2579.0
379.00	2497.8
380.00	2407.2
381.00	2331.3
382.00	2250.0
383.00	2187.7
384.00	2122.0
385.00	2054.4
386.00	2009.8
387.00	1957.5
388.00	1914.4
389.00	1868.3
390.00	1829.8
391.00	1789.2
392.00	1743.6
393.00	1683.9
394.00	1645.0
395.00	1588.9
396.00	1541.7
397.00	1504.2
398.00	1469.4
399.00	1451.3
400.00	1429.0
401.00	1425.7
402.00	1437.8
403.00	1453.6
404.00	1448.7
405.00	1450.5
406.00	1441.2
407.00	1426.5
408.00	1424.9
409.00	1419.4
410.00	1401.5
411.00	1385.9
412.00	1380.0
413.00	1385.9
414.00	1395.3
415.00	1422.0
416.00	1459.5
417.00	1521.9
418.00	1588.3
419.00	1687.1
420.00	1784.2
421.00	1911.7
422.00	2045.3
423.00	2184.3
424.00	2339.2
425.00	2503.8
426.00	2658.8
427.00	2819.0
428.00	2965.7
429.00	3097.3
430.00	3200.0
431.00	3260.0
432.00	3302.3
433.00	3346.5
434.00	3353.2
435.00	3354.5
436.00	3338.7
437.00	3321.3
438.00	3334.0
439.00	3359.7
440.00	3422.4
441.00	3538.6
442.00	3681.4
443.00	3889.7
444.00	4158.9
445.00	4480.9
446.00	4887.5
447.00	5327.1
448.00	5823.2
449.00	6385.9
450.00	6968.1
451.00	7568.5
452.00	8217.7
453.00	8839.6
454.00	9454.8
455.00	10028
456.00	10488
457.00	10898
458.00	11185
459.00	11348
460.00	11375
461.00	11296
462.00	11100
463.00	10790
464.00	10418
465.00	10023
466.00	9633.6
467.00	9289.3
468.00	8965.3
469.00	8767.5
470.00	8700.2
471.00	8788.6
472.00	9032.3
473.00	9429.5
474.00	9973.1
475.00	10686
476.00	11537
477.00	12537
478.00	13743
479.00	15059
480.00	16571
481.00	18134
482.00	19811
483.00	21548
484.00	23304
485.00	25373
486.00	27047
487.00	27713
488.00	29127
489.00	30207
490.00	30848
491.00	31076
492.00	30896
493.00	30224
494.00	29194
495.00	27824
496.00	26074
497.00	24273
498.00	22320
499.00	20266
500.00	18377
501.00	16703
502.00	15272
503.00	14147
504.00	13356
505.00	12885
506.00	12737
507.00	12873
508.00	13325
509.00	13989
510.00	14903
511.00	15994
512.00	17259
513.00	18727
514.00	20311
515.00	22093
516.00	24118
517.00	26256
518.00	28609
519.00	31273
520.00	33914
521.00	36903
522.00	39790
523.00	42597
524.00	45210
525.00	47305
526.00	48929
527.00	49856
528.00	50000
529.00	49338
530.00	47714
531.00	45288
532.00	42208
533.00	38649
534.00	34787
535.00	30732
536.00	26758
537.00	22825
538.00	19144
539.00	15993
540.00	13176
541.00	10730
542.00	8636.7
543.00	6940.8
544.00	5547.1
545.00	4422.5
546.00	3517.3
547.00	2769.6
548.00	2196.6
549.00	1771.7
550.00	1415.5
551.00	1141.5
552.00	916.98
553.00	746.57
554.00	616.20
555.00	506.31
556.00	422.59
557.00	363.98
558.00	308.20
559.00	281.68
560.00	246.33
561.00	217.14
562.00	190.14
563.00	183.12
564.00	175.66
565.00	157.01
566.00	155.27
567.00	148.51
568.00	135.48
569.00	130.61
570.00	114.23
571.00	113.23
572.00	110.19
573.00	103.69
574.00	97.671
575.00	91.024
576.00	86.861
577.00	90.837
578.00	71.118
579.00	72.788
580.00	66.959
581.00	74.124
582.00	56.745
583.00	46.682
584.00	60.312
585.00	62.574
586.00	49.467
587.00	53.886
588.00	49.949
589.00	39.883
590.00	48.945
591.00	49.836
592.00	48.427
593.00	49.023
594.00	41.406
595.00	42.523
596.00	41.706
597.00	44.564
598.00	45.047
599.00	35.057
600.00	37.434
