Wavelength (nm)	FL109 [12] 117-39-5, Quercetin [M]
210.00	28544
211.00	27077
212.00	25505
213.00	23984
214.00	22452
215.00	20914
216.00	19579
217.00	18455
218.00	17568
219.00	16862
220.00	16307
221.00	15824
222.00	15430
223.00	15077
224.00	14735
225.00	14424
226.00	14128
227.00	13845
228.00	13565
229.00	13305
230.00	13074
231.00	12813
232.00	12534
233.00	12239
234.00	11958
235.00	11713
236.00	11521
237.00	11407
238.00	11395
239.00	11460
240.00	11616
241.00	11862
242.00	12168
243.00	12541
244.00	12983
245.00	13469
246.00	13994
247.00	14559
248.00	15137
249.00	15716
250.00	16296
251.00	16859
252.00	17400
253.00	17912
254.00	18292
255.00	18556
256.00	18629
257.00	18483
258.00	18095
259.00	17544
260.00	16844
261.00	16070
262.00	15345
263.00	14680
264.00	14058
265.00	13538
266.00	13066
267.00	12641
268.00	12228
269.00	11831
270.00	11448
271.00	11009
272.00	10555
273.00	10020
274.00	9433.1
275.00	8815.5
276.00	8186.9
277.00	7597.1
278.00	7048.0
279.00	6591.2
280.00	6219.5
281.00	5940.9
282.00	5754.0
283.00	5624.8
284.00	5551.3
285.00	5534.0
286.00	5543.3
287.00	5575.9
288.00	5634.5
289.00	5706.8
290.00	5785.0
291.00	5863.6
292.00	5922.5
293.00	5978.4
294.00	6032.3
295.00	6071.1
296.00	6104.4
297.00	6131.3
298.00	6170.5
299.00	6196.8
300.00	6226.7
301.00	6242.1
302.00	6274.6
303.00	6317.9
304.00	6334.0
305.00	6346.0
306.00	6370.3
307.00	6379.2
308.00	6374.1
309.00	6378.9
310.00	6380.1
311.00	6388.6
312.00	6392.1
313.00	6404.4
314.00	6438.7
315.00	6471.3
316.00	6535.9
317.00	6602.2
318.00	6680.6
319.00	6763.0
320.00	6865.5
321.00	6971.0
322.00	7089.1
323.00	7222.8
324.00	7331.8
325.00	7465.7
326.00	7602.2
327.00	7746.2
328.00	7890.1
329.00	8037.6
330.00	8166.6
331.00	8318.3
332.00	8466.0
333.00	8618.9
334.00	8778.8
335.00	8950.7
336.00	9135.2
337.00	9332.9
338.00	9543.9
339.00	9764.3
340.00	10004
341.00	10268
342.00	10554
343.00	10841
344.00	11167
345.00	11507
346.00	11848
347.00	12217
348.00	12566
349.00	12959
350.00	13341
351.00	13719
352.00	14151
353.00	14544
354.00	14981
355.00	15367
356.00	15770
357.00	16178
358.00	16520
359.00	16907
360.00	17303
361.00	17677
362.00	17984
363.00	18284
364.00	18550
365.00	18799
366.00	19044
367.00	19244
368.00	19356
369.00	19434
370.00	19459
371.00	19485
372.00	19500
373.00	19465
374.00	19376
375.00	19362
376.00	19278
377.00	19172
378.00	19041
379.00	18817
380.00	18554
381.00	18329
382.00	18080
383.00	17729
384.00	17358
385.00	16850
386.00	16332
387.00	15721
388.00	15127
389.00	14489
390.00	13817
391.00	13023
392.00	12211
393.00	11469
394.00	10734
395.00	9975.0
396.00	9187.2
397.00	8432.7
398.00	7687.9
399.00	7026.6
400.00	6397.9
401.00	5791.6
402.00	5213.5
403.00	4680.4
404.00	4181.9
405.00	3716.9
406.00	3338.1
407.00	2980.9
408.00	2636.8
409.00	2337.4
410.00	2090.8
411.00	1872.8
412.00	1627.2
413.00	1437.7
414.00	1260.4
415.00	1120.6
416.00	996.55
417.00	880.79
418.00	778.80
419.00	683.48
420.00	588.80
421.00	508.06
422.00	456.65
423.00	409.67
424.00	361.00
425.00	338.61
426.00	301.81
427.00	261.19
428.00	241.92
429.00	214.07
430.00	192.86
431.00	197.45
432.00	185.79
433.00	164.13
434.00	156.43
435.00	150.90
436.00	134.28
437.00	128.02
438.00	122.77
439.00	126.54
440.00	123.74
441.00	117.13
442.00	106.59
443.00	88.309
444.00	84.812
445.00	90.527
446.00	82.977
447.00	75.883
448.00	71.461
449.00	58.494
450.00	55.309
451.00	69.328
452.00	72.669
453.00	74.617
454.00	74.034
455.00	77.902
456.00	60.939
457.00	40.991
458.00	53.588
459.00	62.688
460.00	64.821
461.00	56.517
462.00	56.631
463.00	31.906
464.00	48.825
465.00	38.091
466.00	37.209
467.00	51.200
468.00	53.105
469.00	51.584
470.00	51.328
471.00	47.730
472.00	34.564
473.00	30.455
474.00	62.333
475.00	51.882
476.00	20.872
477.00	10.365
478.00	22.280
479.00	39.967
480.00	6.8105
481.00	20.119
482.00	40.522
483.00	40.508
484.00	40.806
485.00	30.086
486.00	6.3640
487.00	17.503
488.00	31.408
489.00	70.181
490.00	30.455
491.00	21.484
492.00	28.138
493.00	12.085
494.00	35.617
495.00	28.948
496.00	15.398
497.00	17.545
498.00	53.972
499.00	43.479
500.00	23.887
