Wavelength (nm)	FL048 [9] 1226-22-8, Garbanzol [D]
235.00	16513
236.00	15730
237.00	14808
238.00	13840
239.00	12871
240.00	11885
241.00	10898
242.00	9911.6
243.00	8925.6
244.00	7862.4
245.00	6724.6
246.00	5516.4
247.00	4469.2
248.00	3976.3
249.00	3805.1
250.00	3806.4
251.00	3864.1
252.00	4010.6
253.00	4163.8
254.00	4382.1
255.00	4600.4
256.00	4843.1
257.00	5214.0
258.00	5584.9
259.00	5994.1
260.00	6418.3
261.00	6842.4
262.00	7315.6
263.00	7893.1
264.00	8470.7
265.00	9049.3
266.00	9678.9
267.00	10308
268.00	10923
269.00	11489
270.00	11964
271.00	12393
272.00	12817
273.00	13236
274.00	13396
275.00	13500
276.00	13470
277.00	13440
278.00	13306
279.00	13173
280.00	12873
281.00	12538
282.00	12113
283.00	11639
284.00	11166
285.00	10632
286.00	10080
287.00	9528.1
288.00	8988.3
289.00	8547.5
290.00	8106.8
291.00	7666.1
292.00	7381.9
293.00	7134.5
294.00	6887.1
295.00	6779.4
296.00	6682.3
297.00	6585.2
298.00	6520.5
299.00	6495.4
300.00	6470.2
301.00	6447.3
302.00	6464.9
303.00	6482.6
304.00	6500.2
305.00	6540.4
306.00	6585.2
307.00	6630.0
308.00	6681.6
309.00	6737.6
310.00	6793.5
311.00	6774.4
312.00	6755.2
313.00	6722.6
314.00	6674.9
315.00	6618.3
316.00	6497.2
317.00	6376.1
318.00	6202.6
319.00	6013.6
320.00	5787.1
321.00	5549.5
322.00	5311.9
323.00	5052.3
324.00	4784.2
325.00	4516.0
326.00	4241.2
327.00	3959.8
328.00	3678.4
329.00	3402.6
330.00	3127.6
331.00	2853.4
332.00	2580.1
333.00	2307.2
334.00	2076.1
335.00	1844.9
