Wavelength (nm)	FL068 [11] 77298-64-7, 8-Hydroxyflavone [D]
242.00	9410.3
243.00	10297
244.00	11183
245.00	12069
246.00	13074
247.00	14097
248.00	15183
249.00	16313
250.00	17443
251.00	18618
252.00	19809
253.00	20975
254.00	22134
255.00	23237
256.00	24251
257.00	25239
258.00	26206
259.00	27014
260.00	27807
261.00	28572
262.00	29049
263.00	29464
264.00	29768
265.00	29895
266.00	29900
267.00	29817
268.00	29430
269.00	29024
270.00	28378
271.00	27662
272.00	26939
273.00	26018
274.00	25097
275.00	24238
276.00	23407
277.00	22619
278.00	21945
279.00	21271
280.00	20696
281.00	20224
282.00	19751
283.00	19303
284.00	18968
285.00	18634
286.00	18296
287.00	17932
288.00	17568
289.00	17204
290.00	16905
291.00	16614
292.00	16339
293.00	16148
294.00	15957
295.00	15766
296.00	15606
297.00	15451
298.00	15296
299.00	15133
300.00	14930
301.00	14728
302.00	14466
303.00	14156
304.00	13847
305.00	13479
306.00	13086
307.00	12694
308.00	12323
309.00	11959
310.00	11595
311.00	11252
312.00	10916
313.00	10581
314.00	10290
315.00	10045
316.00	9799.2
317.00	9553.8
318.00	9308.4
319.00	9112.5
320.00	8922.8
321.00	8733.1
322.00	8543.3
323.00	8353.6
324.00	8160.7
325.00	7966.0
326.00	7771.2
327.00	7576.5
328.00	7354.0
329.00	7127.4
330.00	6900.8
331.00	6674.2
332.00	6407.1
333.00	6139.2
334.00	5871.3
335.00	5592.9
336.00	5301.3
337.00	5009.6
338.00	4732.4
339.00	4480.8
340.00	4229.3
341.00	3977.7
342.00	3745.7
343.00	3527.2
344.00	3308.8
345.00	3090.3
346.00	2872.5
347.00	2684.1
348.00	2495.7
349.00	2307.2
350.00	2118.8
351.00	1949.5
352.00	1817.2
353.00	1684.9
354.00	1552.6
355.00	1420.3
356.00	1301.0
357.00	1210.9
358.00	1120.8
359.00	1030.7
360.00	940.56
361.00	865.89
362.00	806.08
363.00	746.26
364.00	686.45
365.00	627.31
366.00	578.73
367.00	530.16
368.00	481.58
369.00	433.01
370.00	395.17
371.00	357.89
372.00	320.62
373.00	283.34
374.00	246.69
375.00	224.84
376.00	203.00
377.00	181.16
378.00	159.32
379.00	141.37
380.00	127.82
381.00	114.26
382.00	100.71
383.00	87.153
384.00	76.577
385.00	68.341
386.00	60.105
387.00	51.868
388.00	43.632
389.00	35.396
390.00	29.760
391.00	26.724
392.00	23.688
393.00	20.652
394.00	17.616
395.00	14.641
396.00	14.641
397.00	14.641
398.00	14.641
399.00	14.641
400.00	14.641
