Wavelength (nm)	J02 abs e
210.00	14241
211.00	13194
212.00	12346
213.00	11628
214.00	11053
215.00	10583
216.00	10187
217.00	9854.3
218.00	9565.2
219.00	9319.9
220.00	9092.9
221.00	8892.6
222.00	8706.4
223.00	8538.5
224.00	8385.6
225.00	8248.4
226.00	8118.8
227.00	8006.6
228.00	7912.3
229.00	7820.9
230.00	7748.3
231.00	7683.3
232.00	7630.3
233.00	7589.4
234.00	7562.4
235.00	7542.9
236.00	7537.2
237.00	7545.0
238.00	7558.4
239.00	7585.7
240.00	7618.9
241.00	7657.9
242.00	7706.1
243.00	7756.6
244.00	7805.1
245.00	7858.7
246.00	7911.4
247.00	7963.3
248.00	8010.3
249.00	8060.4
250.00	8104.6
251.00	8146.1
252.00	8182.9
253.00	8209.8
254.00	8235.9
255.00	8251.2
256.00	8262.8
257.00	8269.2
258.00	8265.7
259.00	8257.0
260.00	8235.3
261.00	8207.3
262.00	8166.8
263.00	8122.0
264.00	8065.1
265.00	7995.2
266.00	7926.0
267.00	7842.9
268.00	7752.4
269.00	7645.5
270.00	7536.4
271.00	7420.4
272.00	7284.7
273.00	7162.8
274.00	7030.8
275.00	6882.8
276.00	6736.1
277.00	6594.5
278.00	6444.0
279.00	6293.4
280.00	6145.9
281.00	6002.5
282.00	5857.0
283.00	5711.6
284.00	5574.3
285.00	5435.1
286.00	5303.0
287.00	5168.6
288.00	5033.9
289.00	4910.6
290.00	4785.1
291.00	4669.3
292.00	4558.5
293.00	4457.4
294.00	4364.2
295.00	4281.0
296.00	4213.9
297.00	4154.3
298.00	4098.4
299.00	4054.9
300.00	4020.3
301.00	3988.2
302.00	3960.5
303.00	3937.6
304.00	3915.7
305.00	3899.5
306.00	3885.5
307.00	3871.1
308.00	3859.8
309.00	3838.4
310.00	3817.2
311.00	3810.3
312.00	3807.0
313.00	3795.3
314.00	3784.0
315.00	3774.0
316.00	3754.6
317.00	3726.5
318.00	3688.7
319.00	3648.4
320.00	3604.2
321.00	3562.6
322.00	3527.9
323.00	3506.2
324.00	3486.8
325.00	3483.9
326.00	3480.8
327.00	3484.8
328.00	3485.9
329.00	3474.1
330.00	3462.5
331.00	3442.7
332.00	3421.0
333.00	3406.9
334.00	3397.1
335.00	3396.4
336.00	3417.2
337.00	3453.6
338.00	3514.3
339.00	3581.5
340.00	3673.3
341.00	3777.1
342.00	3885.8
343.00	4007.7
344.00	4143.2
345.00	4287.6
346.00	4437.2
347.00	4597.1
348.00	4759.0
349.00	4933.3
350.00	5107.9
351.00	5288.2
352.00	5477.8
353.00	5671.4
354.00	5875.3
355.00	6078.8
356.00	6285.4
357.00	6483.6
358.00	6693.8
359.00	6909.3
360.00	7133.5
361.00	7366.8
362.00	7607.2
363.00	7844.9
364.00	8088.0
365.00	8340.9
366.00	8607.4
367.00	8862.8
368.00	9124.9
369.00	9384.1
370.00	9637.6
371.00	9888.4
372.00	10135
373.00	10405
374.00	10684
375.00	10950
376.00	11192
377.00	11459
378.00	11730
379.00	11972
380.00	12222
381.00	12496
382.00	12739
383.00	12980
384.00	13226
385.00	13443
386.00	13691
387.00	13930
388.00	14194
389.00	14386
