Wavelength (nm)	A02 abs1 e
231.00	23.491
232.00	24.162
233.00	25.775
234.00	27.851
235.00	30.389
236.00	33.401
237.00	36.972
238.00	41.006
239.00	45.366
240.00	50.158
241.00	55.521
242.00	61.681
243.00	68.696
244.00	76.009
245.00	83.592
246.00	91.609
247.00	99.676
248.00	108.22
249.00	118.63
250.00	130.73
251.00	141.66
252.00	150.36
253.00	159.48
254.00	172.00
255.00	186.48
256.00	196.43
257.00	201.67
258.00	207.89
259.00	216.21
260.00	223.45
261.00	232.72
262.00	246.44
263.00	254.00
264.00	244.62
265.00	227.28
266.00	216.93
267.00	206.66
268.00	183.00
269.00	167.73
270.00	184.27
271.00	198.99
272.00	174.15
273.00	122.04
274.00	73.883
275.00	42.435
276.00	24.956
277.00	15.305
278.00	9.5194
279.00	5.9228
280.00	3.7711
281.00	2.5137
282.00	1.7675
283.00	1.3082
284.00	1.0524
285.00	0.87186
286.00	0.78077
287.00	0.74458
288.00	0.70847
289.00	0.64752
290.00	0.59215
291.00	0.54421
292.00	0.48719
293.00	0.44255
294.00	0.40190
295.00	0.39551
296.00	0.40357
297.00	0.41067
298.00	0.42603
299.00	0.45445
300.00	0.44972
