Wavelength (nm)	J03 abs e
280.00	9218.1
281.00	9152.8
282.00	9071.1
283.00	8985.2
284.00	8882.3
285.00	8769.8
286.00	8645.7
287.00	8508.0
288.00	8360.9
289.00	8206.2
290.00	8045.1
291.00	7863.7
292.00	7674.1
293.00	7474.8
294.00	7273.6
295.00	7066.8
296.00	6863.9
297.00	6663.0
298.00	6465.9
299.00	6283.1
300.00	6101.5
301.00	5952.3
302.00	5801.5
303.00	5661.0
304.00	5542.1
305.00	5430.1
306.00	5310.8
307.00	5204.4
308.00	5104.4
309.00	5010.6
310.00	4913.4
311.00	4827.1
312.00	4743.4
313.00	4662.4
314.00	4589.5
315.00	4507.1
316.00	4421.6
317.00	4327.3
318.00	4225.2
319.00	4113.3
320.00	3988.0
321.00	3868.1
322.00	3744.6
323.00	3625.1
324.00	3526.4
325.00	3438.8
326.00	3360.9
327.00	3289.1
328.00	3221.7
329.00	3150.5
330.00	3066.8
331.00	2985.1
332.00	2888.3
333.00	2790.7
334.00	2703.9
335.00	2622.3
336.00	2550.7
337.00	2511.2
338.00	2487.9
339.00	2478.9
340.00	2491.2
341.00	2517.1
342.00	2559.2
343.00	2609.9
344.00	2668.5
345.00	2741.5
346.00	2821.1
347.00	2907.3
348.00	3001.0
349.00	3101.6
350.00	3205.9
351.00	3319.5
352.00	3441.2
353.00	3562.4
354.00	3693.3
355.00	3831.2
356.00	3971.5
357.00	4110.0
358.00	4263.0
359.00	4425.0
360.00	4591.7
361.00	4768.8
362.00	4948.5
363.00	5134.0
364.00	5327.4
365.00	5530.9
366.00	5741.5
367.00	5948.7
368.00	6161.4
369.00	6386.2
370.00	6612.0
371.00	6849.0
372.00	7082.1
373.00	7317.7
374.00	7548.0
375.00	7803.2
376.00	8044.1
377.00	8293.8
378.00	8561.9
379.00	8821.4
380.00	9072.3
381.00	9351.4
382.00	9646.1
383.00	9908.0
384.00	10185
385.00	10465
386.00	10732
387.00	11001
388.00	11280
389.00	11539
390.00	11838
391.00	12111
392.00	12386
393.00	12676
394.00	12955
395.00	13217
396.00	13496
397.00	13764
398.00	14049
399.00	14297
400.00	14578
401.00	14833
402.00	15088
403.00	15338
404.00	15583
405.00	15842
406.00	16098
407.00	16334
408.00	16573
409.00	16802
410.00	17024
411.00	17258
412.00	17502
413.00	17723
414.00	17942
415.00	18157
416.00	18370
417.00	18584
418.00	18813
419.00	19028
420.00	19224
421.00	19440
422.00	19631
423.00	19821
424.00	20046
425.00	20246
426.00	20424
427.00	20598
428.00	20814
429.00	21003
430.00	21207
431.00	21404
432.00	21560
433.00	21743
434.00	21940
435.00	22122
436.00	22318
437.00	22482
438.00	22668
439.00	22837
440.00	23013
441.00	23199
442.00	23331
443.00	23521
444.00	23702
445.00	23878
446.00	24032
447.00	24205
448.00	24370
449.00	24553
450.00	24658
451.00	24819
452.00	24962
453.00	25053
454.00	25165
455.00	25304
456.00	25414
457.00	25542
458.00	25594
459.00	25671
460.00	25732
461.00	25767
462.00	25845
463.00	25860
464.00	25853
465.00	25873
466.00	25900
467.00	25856
468.00	25800
469.00	25759
470.00	25668
471.00	25603
472.00	25504
473.00	25377
474.00	25279
475.00	25086
476.00	24936
477.00	24813
478.00	24587
479.00	24391
480.00	24159
481.00	23937
482.00	23720
483.00	23445
484.00	23188
485.00	22857
486.00	22593
487.00	22402
488.00	22024
489.00	21631
490.00	21318
491.00	20957
492.00	20574
493.00	20195
494.00	19788
495.00	19394
496.00	18997
497.00	18603
498.00	18165
499.00	17748
500.00	17333
501.00	16893
502.00	16458
503.00	16017
504.00	15586
505.00	15127
506.00	14682
507.00	14236
508.00	13804
509.00	13363
510.00	12920
511.00	12484
512.00	12051
513.00	11614
514.00	11188
515.00	10761
516.00	10340
517.00	9926.4
518.00	9520.5
519.00	9133.8
520.00	8745.2
521.00	8370.4
522.00	7994.0
523.00	7629.3
524.00	7274.1
525.00	6930.7
526.00	6592.6
527.00	6266.3
528.00	5950.2
529.00	5646.1
530.00	5347.7
531.00	5069.6
532.00	4787.1
533.00	4518.4
534.00	4265.9
535.00	4024.5
536.00	3792.9
537.00	3565.5
538.00	3348.1
539.00	3143.0
540.00	2943.9
541.00	2761.2
542.00	2584.7
543.00	2419.5
544.00	2251.7
545.00	2103.2
546.00	1964.3
547.00	1825.3
548.00	1699.0
549.00	1582.1
550.00	1470.3
551.00	1363.9
552.00	1265.2
553.00	1169.5
554.00	1083.7
555.00	998.10
556.00	925.23
557.00	853.52
558.00	787.92
559.00	727.05
560.00	672.88
561.00	619.27
562.00	568.53
563.00	520.39
564.00	479.64
565.00	443.21
566.00	405.82
567.00	373.63
568.00	342.45
569.00	312.51
570.00	286.48
571.00	262.42
572.00	242.37
573.00	222.77
574.00	201.21
575.00	187.49
576.00	173.81
577.00	158.80
578.00	144.15
579.00	139.28
580.00	126.17
581.00	114.26
582.00	104.14
583.00	103.61
584.00	97.066
585.00	85.441
586.00	85.162
587.00	79.204
588.00	73.609
589.00	72.749
590.00	68.462
591.00	65.798
592.00	62.698
593.00	57.903
594.00	55.929
595.00	53.434
596.00	54.875
597.00	52.344
598.00	49.849
599.00	49.886
600.00	47.924
601.00	46.991
602.00	48.093
603.00	46.047
604.00	42.583
605.00	45.732
606.00	42.838
607.00	41.421
608.00	43.976
609.00	45.490
610.00	40.912
611.00	38.902
612.00	43.371
613.00	43.249
614.00	40.283
615.00	40.815
616.00	41.808
617.00	40.743
618.00	38.648
619.00	42.596
620.00	40.852
621.00	41.530
622.00	38.696
623.00	41.554
624.00	45.296
625.00	46.083
626.00	45.514
627.00	42.341
628.00	44.993
629.00	45.381
630.00	44.037
631.00	44.896
632.00	43.371
633.00	46.325
634.00	47.476
635.00	46.386
636.00	44.291
637.00	42.789
638.00	46.943
639.00	46.713
640.00	43.758
641.00	44.339
