Wavelength (nm)	Angew 2008_8954, Mc-FCC-56 ems [Z]
395.00	0.057034
396.00	0.071710
397.00	0.086386
398.00	0.10142
399.00	0.11669
400.00	0.13197
401.00	0.15380
402.00	0.17564
403.00	0.19747
404.00	0.21885
405.00	0.24022
406.00	0.26160
407.00	0.28732
408.00	0.31690
409.00	0.34648
410.00	0.37632
411.00	0.40642
412.00	0.43652
413.00	0.46662
414.00	0.49672
415.00	0.52643
416.00	0.55602
417.00	0.58562
418.00	0.61522
419.00	0.64481
420.00	0.67441
421.00	0.70148
422.00	0.72491
423.00	0.74835
424.00	0.77178
425.00	0.79522
426.00	0.81865
427.00	0.83681
428.00	0.85445
429.00	0.87209
430.00	0.88973
431.00	0.90691
432.00	0.92338
433.00	0.93984
434.00	0.95490
435.00	0.96196
436.00	0.96903
437.00	0.97512
438.00	0.97940
439.00	0.98369
440.00	0.98797
441.00	0.99101
442.00	0.99312
443.00	0.99523
444.00	0.99734
445.00	0.99861
446.00	0.99931
447.00	1.0000
448.00	0.99694
449.00	0.99387
450.00	0.99081
451.00	0.98475
452.00	0.97824
453.00	0.97093
454.00	0.96168
455.00	0.95242
456.00	0.94442
457.00	0.93697
458.00	0.92952
459.00	0.92207
460.00	0.91206
461.00	0.90183
462.00	0.89160
463.00	0.88077
464.00	0.86950
465.00	0.85824
466.00	0.84698
467.00	0.83571
468.00	0.82277
469.00	0.80974
470.00	0.79671
471.00	0.78369
472.00	0.77066
473.00	0.75763
474.00	0.74437
475.00	0.73071
476.00	0.71705
477.00	0.70339
478.00	0.68973
479.00	0.67608
480.00	0.66242
481.00	0.64853
482.00	0.63400
483.00	0.61947
484.00	0.60493
485.00	0.59040
486.00	0.57587
487.00	0.56218
488.00	0.54894
489.00	0.53570
490.00	0.52247
491.00	0.50923
492.00	0.49599
493.00	0.48325
494.00	0.47123
495.00	0.45922
496.00	0.44721
497.00	0.43520
498.00	0.42320
499.00	0.41198
500.00	0.40077
501.00	0.38956
502.00	0.37834
503.00	0.36713
504.00	0.35622
505.00	0.34604
506.00	0.33586
507.00	0.32568
508.00	0.31549
509.00	0.30531
510.00	0.29513
511.00	0.28653
512.00	0.27805
513.00	0.26957
514.00	0.26108
515.00	0.25260
516.00	0.24412
517.00	0.23646
518.00	0.22943
519.00	0.22239
520.00	0.21536
521.00	0.20833
522.00	0.20129
523.00	0.19499
524.00	0.18881
525.00	0.18263
526.00	0.17644
527.00	0.17026
528.00	0.16408
529.00	0.15789
530.00	0.15171
531.00	0.14581
532.00	0.14083
533.00	0.13586
534.00	0.13089
535.00	0.12591
536.00	0.12094
537.00	0.11597
538.00	0.11108
539.00	0.10686
540.00	0.10263
541.00	0.098402
542.00	0.094174
543.00	0.089947
544.00	0.086621
545.00	0.083628
546.00	0.080635
547.00	0.077642
548.00	0.074649
549.00	0.071656
550.00	0.068663
551.00	0.066157
552.00	0.063841
553.00	0.061524
554.00	0.059208
555.00	0.056892
556.00	0.054575
557.00	0.052356
558.00	0.050429
559.00	0.048502
560.00	0.046576
561.00	0.044649
562.00	0.042722
563.00	0.040795
564.00	0.038868
565.00	0.036941
566.00	0.035269
567.00	0.033641
568.00	0.032014
569.00	0.030386
570.00	0.028759
571.00	0.027131
572.00	0.025504
573.00	0.023876
574.00	0.022252
575.00	0.020969
576.00	0.019687
577.00	0.018404
578.00	0.017121
579.00	0.015838
580.00	0.014556
581.00	0.013273
582.00	0.012306
583.00	0.011339
584.00	0.010372
585.00	0.0094055
586.00	0.0084387
587.00	0.0074718
588.00	0.0065049
589.00	0.0057233
590.00	0.0050873
591.00	0.0044512
592.00	0.0038152
593.00	0.0034506
594.00	0.0031582
595.00	0.0028658
596.00	0.0025733
597.00	0.0024827
598.00	0.0024827
599.00	0.0024827
600.00	0.0024827
