Wavelength (nm)	MesoP IX (in DMF).ems
590.00	0.0063897
591.00	0.0074115
592.00	0.0089439
593.00	0.010332
594.00	0.010908
595.00	0.011712
596.00	0.012718
597.00	0.012914
598.00	0.013256
599.00	0.013059
600.00	0.013567
601.00	0.014896
602.00	0.016482
603.00	0.020126
604.00	0.024351
605.00	0.029649
606.00	0.038328
607.00	0.048990
608.00	0.061910
609.00	0.078708
610.00	0.094810
611.00	0.11936
612.00	0.14246
613.00	0.18040
614.00	0.22474
615.00	0.29879
616.00	0.40115
617.00	0.54040
618.00	0.69853
619.00	0.85384
620.00	0.95878
621.00	1.0000
622.00	0.95491
623.00	0.85609
624.00	0.73287
625.00	0.60537
626.00	0.49792
627.00	0.40478
628.00	0.34318
629.00	0.29625
630.00	0.25932
631.00	0.23162
632.00	0.20481
633.00	0.18125
634.00	0.16033
635.00	0.13978
636.00	0.12188
637.00	0.10696
638.00	0.095371
639.00	0.087125
640.00	0.079190
641.00	0.076853
642.00	0.075638
643.00	0.077637
644.00	0.079013
645.00	0.085402
646.00	0.092300
647.00	0.10142
648.00	0.11007
649.00	0.12050
650.00	0.12385
651.00	0.12678
652.00	0.12610
653.00	0.12578
654.00	0.12098
655.00	0.11866
656.00	0.11504
657.00	0.11615
658.00	0.11945
659.00	0.11926
660.00	0.12408
661.00	0.13154
662.00	0.13427
663.00	0.14253
664.00	0.15367
665.00	0.16382
666.00	0.17994
667.00	0.18962
668.00	0.20276
669.00	0.21437
670.00	0.22034
671.00	0.22777
672.00	0.22918
673.00	0.23094
674.00	0.23566
675.00	0.24139
676.00	0.23857
677.00	0.24439
678.00	0.24812
679.00	0.25022
680.00	0.25638
681.00	0.27394
682.00	0.29104
683.00	0.32275
684.00	0.35190
685.00	0.39170
686.00	0.41243
687.00	0.43202
688.00	0.43774
689.00	0.42187
690.00	0.39310
691.00	0.35740
692.00	0.31838
693.00	0.27534
694.00	0.23986
695.00	0.20388
696.00	0.17839
697.00	0.15332
698.00	0.13729
699.00	0.12194
700.00	0.10885
701.00	0.099638
702.00	0.090339
703.00	0.082504
704.00	0.072495
705.00	0.068655
706.00	0.060060
707.00	0.052965
708.00	0.051698
709.00	0.046572
710.00	0.041503
