Wavelength (nm)	MesoP IX (in DMF).abs
300.00	0.058682
301.00	0.060703
302.00	0.060477
303.00	0.063952
304.00	0.065146
305.00	0.066516
306.00	0.068149
307.00	0.069471
308.00	0.072106
309.00	0.074273
310.00	0.075539
311.00	0.077239
312.00	0.079458
313.00	0.081139
314.00	0.082437
315.00	0.084666
316.00	0.086833
317.00	0.089246
318.00	0.090587
319.00	0.092929
320.00	0.094676
321.00	0.096631
322.00	0.098666
323.00	0.10002
324.00	0.10233
325.00	0.10411
326.00	0.10570
327.00	0.10749
328.00	0.10912
329.00	0.11025
330.00	0.11235
331.00	0.11350
332.00	0.11531
333.00	0.11688
334.00	0.11930
335.00	0.12185
336.00	0.12448
337.00	0.12809
338.00	0.13164
339.00	0.13619
340.00	0.14135
341.00	0.14637
342.00	0.15218
343.00	0.15841
344.00	0.16537
345.00	0.17217
346.00	0.17995
347.00	0.18706
348.00	0.19491
349.00	0.20112
350.00	0.20818
351.00	0.21432
352.00	0.22093
353.00	0.22763
354.00	0.23546
355.00	0.24386
356.00	0.25378
357.00	0.26482
358.00	0.27640
359.00	0.29060
360.00	0.30622
361.00	0.32248
362.00	0.33990
363.00	0.35806
364.00	0.37854
365.00	0.39807
366.00	0.41943
367.00	0.44070
368.00	0.46241
369.00	0.48471
370.00	0.50530
371.00	0.52638
372.00	0.54223
373.00	0.55716
374.00	0.56853
375.00	0.57787
376.00	0.58662
377.00	0.59427
378.00	0.60303
379.00	0.61320
380.00	0.62513
381.00	0.64120
382.00	0.65875
383.00	0.67835
384.00	0.70076
385.00	0.72508
386.00	0.75125
387.00	0.77847
388.00	0.80674
389.00	0.83474
390.00	0.86423
391.00	0.89421
392.00	0.92122
393.00	0.94713
394.00	0.96700
395.00	0.98529
396.00	0.99661
397.00	1.0000
398.00	0.99550
399.00	0.98199
400.00	0.96099
401.00	0.93214
402.00	0.89603
403.00	0.85454
404.00	0.80893
405.00	0.75935
406.00	0.71036
407.00	0.65995
408.00	0.60814
409.00	0.55693
410.00	0.50846
411.00	0.46289
412.00	0.41799
413.00	0.37765
414.00	0.34111
415.00	0.30650
416.00	0.27489
417.00	0.24677
418.00	0.22065
419.00	0.19818
420.00	0.17778
421.00	0.15914
422.00	0.14292
423.00	0.12846
424.00	0.11629
425.00	0.10472
426.00	0.094785
427.00	0.085138
428.00	0.077829
429.00	0.069929
430.00	0.063333
431.00	0.058068
432.00	0.053087
433.00	0.049007
434.00	0.044404
435.00	0.040881
436.00	0.037316
437.00	0.034998
438.00	0.032175
439.00	0.029946
440.00	0.028104
441.00	0.026065
442.00	0.024133
443.00	0.023505
444.00	0.022136
445.00	0.021060
446.00	0.019964
447.00	0.019619
448.00	0.019298
449.00	0.018831
450.00	0.018463
451.00	0.017594
452.00	0.017301
453.00	0.018066
454.00	0.017273
455.00	0.017150
456.00	0.016994
457.00	0.017249
458.00	0.016834
459.00	0.016843
460.00	0.017721
461.00	0.017939
462.00	0.018175
463.00	0.019124
464.00	0.019473
465.00	0.020177
466.00	0.020559
467.00	0.020351
468.00	0.021513
469.00	0.021763
470.00	0.022179
471.00	0.022892
472.00	0.022698
473.00	0.024048
474.00	0.024653
475.00	0.025503
476.00	0.025602
477.00	0.026282
478.00	0.027661
479.00	0.029804
480.00	0.033185
481.00	0.035872
482.00	0.038634
483.00	0.042383
484.00	0.045036
485.00	0.052128
486.00	0.053857
487.00	0.056912
488.00	0.061171
489.00	0.065090
490.00	0.069849
491.00	0.074325
492.00	0.078334
493.00	0.080600
494.00	0.082938
495.00	0.085813
496.00	0.089109
497.00	0.089543
498.00	0.087995
499.00	0.085129
500.00	0.082839
501.00	0.080780
502.00	0.078887
503.00	0.074859
504.00	0.069670
505.00	0.064065
506.00	0.058881
507.00	0.052969
508.00	0.047548
509.00	0.041113
510.00	0.036131
511.00	0.032255
512.00	0.028926
513.00	0.026678
514.00	0.024573
515.00	0.022788
516.00	0.022273
517.00	0.022514
518.00	0.023902
519.00	0.026008
520.00	0.028260
521.00	0.031523
522.00	0.035163
523.00	0.040735
524.00	0.046628
525.00	0.051094
526.00	0.054777
527.00	0.057837
528.00	0.060222
529.00	0.061751
530.00	0.062039
531.00	0.060505
532.00	0.057653
533.00	0.054102
534.00	0.050381
535.00	0.046179
536.00	0.041174
537.00	0.035126
538.00	0.029167
539.00	0.024846
540.00	0.021041
541.00	0.018623
542.00	0.016640
543.00	0.014846
544.00	0.013986
545.00	0.013146
546.00	0.012343
547.00	0.011819
548.00	0.011687
549.00	0.011394
550.00	0.010549
551.00	0.011300
552.00	0.011593
553.00	0.011814
554.00	0.012943
555.00	0.014100
556.00	0.014888
557.00	0.016758
558.00	0.018175
559.00	0.019421
560.00	0.020569
561.00	0.022920
562.00	0.025767
563.00	0.030852
564.00	0.036542
565.00	0.041542
566.00	0.044017
567.00	0.044069
568.00	0.041764
569.00	0.039786
570.00	0.037642
571.00	0.035999
572.00	0.034748
573.00	0.034162
574.00	0.032661
575.00	0.031480
576.00	0.030560
577.00	0.028973
578.00	0.026787
579.00	0.024865
580.00	0.022297
581.00	0.020526
582.00	0.018160
583.00	0.016286
584.00	0.015139
585.00	0.013377
586.00	0.012022
587.00	0.011186
588.00	0.010398
589.00	0.010105
590.00	0.0097322
591.00	0.0096472
592.00	0.010355
593.00	0.010710
594.00	0.010832
595.00	0.010582
596.00	0.010143
597.00	0.0093308
598.00	0.0089908
599.00	0.0078907
600.00	0.0076876
601.00	0.0073005
602.00	0.0070549
603.00	0.0071163
604.00	0.0074468
605.00	0.0078576
606.00	0.0082307
607.00	0.0086178
608.00	0.0094536
609.00	0.010318
610.00	0.011460
611.00	0.012084
612.00	0.012778
613.00	0.013816
614.00	0.014572
615.00	0.016121
616.00	0.018179
617.00	0.021650
618.00	0.025607
619.00	0.030069
620.00	0.032807
621.00	0.032571
622.00	0.030895
623.00	0.026688
624.00	0.022122
625.00	0.017325
626.00	0.013330
627.00	0.010204
628.00	0.0081740
629.00	0.0061389
630.00	0.0059123
631.00	0.0048546
632.00	0.0042691
633.00	0.0039292
634.00	0.0036128
635.00	0.0034712
636.00	0.0031265
637.00	0.0028815
638.00	0.0033059
639.00	0.0029409
640.00	0.0027231
641.00	0.0024557
642.00	0.0023765
643.00	0.0020597
644.00	0.0028914
645.00	0.0032162
646.00	0.0025350
647.00	0.0030792
648.00	0.0029211
649.00	0.0029508
650.00	0.0029707
651.00	0.0026439
652.00	0.0021587
653.00	0.0025350
654.00	0.0015348
655.00	0.0015348
656.00	0.0015348
657.00	0.0015348
658.00	0.0028320
659.00	0.0017032
660.00	0.0018715
661.00	0.0020795
662.00	0.0018814
663.00	0.0019606
664.00	0.0017230
665.00	0.0017527
666.00	0.0016438
667.00	0.0014754
668.00	0.0015546
669.00	0.0018319
670.00	0.0017329
671.00	0.0018022
672.00	0.0017428
673.00	0.0015843
674.00	0.0015051
675.00	0.0016240
676.00	0.0019111
677.00	0.0012675
678.00	0.0018319
679.00	0.0018913
680.00	0.0013368
681.00	0.0018913
682.00	0.0020795
683.00	0.0018022
684.00	0.0017230
685.00	0.0015843
686.00	0.0016339
687.00	0.0018418
688.00	0.0016438
689.00	0.0016438
690.00	0.0016240
691.00	0.0016636
692.00	0.0017824
693.00	0.0013863
694.00	0.0017230
695.00	0.0016339
696.00	0.0015546
697.00	0.0016438
698.00	0.0017329
699.00	0.0016834
700.00	0.0014457
