Wavelength (nm)	L07 abs e
220.00	10678
221.00	10209
222.00	9754.3
223.00	9331.2
224.00	8936.1
225.00	8569.2
226.00	8230.7
227.00	7927.9
228.00	7632.9
229.00	7367.8
230.00	7114.3
231.00	6881.3
232.00	6662.8
233.00	6460.7
234.00	6277.3
235.00	6100.4
236.00	5944.4
237.00	5799.9
238.00	5673.0
239.00	5558.6
240.00	5460.7
241.00	5375.0
242.00	5301.8
243.00	5239.4
244.00	5189.3
245.00	5151.2
246.00	5121.8
247.00	5105.5
248.00	5096.6
249.00	5095.7
250.00	5101.4
251.00	5115.5
252.00	5139.0
253.00	5162.4
254.00	5187.9
255.00	5220.7
256.00	5252.4
257.00	5292.9
258.00	5332.4
259.00	5382.8
260.00	5432.6
261.00	5493.8
262.00	5566.0
263.00	5654.9
264.00	5751.1
265.00	5872.1
266.00	5997.7
267.00	6130.9
268.00	6273.7
269.00	6443.9
270.00	6620.4
271.00	6808.6
272.00	6999.5
273.00	7202.8
274.00	7412.3
275.00	7618.1
276.00	7832.9
277.00	8040.7
278.00	8232.8
279.00	8422.1
280.00	8580.0
281.00	8732.7
282.00	8868.2
283.00	8973.2
284.00	9063.4
285.00	9129.4
286.00	9175.3
287.00	9198.1
288.00	9226.7
289.00	9248.9
290.00	9259.4
291.00	9274.1
292.00	9285.3
293.00	9305.8
294.00	9331.2
295.00	9346.1
296.00	9377.4
297.00	9420.7
298.00	9457.9
299.00	9493.9
300.00	9544.9
301.00	9584.8
302.00	9639.6
303.00	9700.9
304.00	9733.4
305.00	9772.1
306.00	9831.7
307.00	9862.6
308.00	9889.0
309.00	9912.0
310.00	9926.8
311.00	9935.2
312.00	9933.8
313.00	9913.9
314.00	9884.1
315.00	9854.5
316.00	9794.3
317.00	9736.1
318.00	9641.9
319.00	9535.4
320.00	9401.4
321.00	9232.8
322.00	9046.8
323.00	8836.5
324.00	8586.7
325.00	8325.2
326.00	8031.9
327.00	7717.1
328.00	7388.0
329.00	7063.2
330.00	6719.2
331.00	6383.4
332.00	6049.0
333.00	5722.8
334.00	5402.3
335.00	5103.3
336.00	4809.3
337.00	4530.4
338.00	4267.2
339.00	4026.1
340.00	3800.6
341.00	3599.4
342.00	3412.5
343.00	3245.2
344.00	3091.9
345.00	2956.4
346.00	2825.4
347.00	2712.8
348.00	2605.7
349.00	2507.5
350.00	2411.6
351.00	2327.3
352.00	2243.7
353.00	2167.2
354.00	2087.2
355.00	2010.1
356.00	1941.7
357.00	1881.9
358.00	1822.7
359.00	1765.6
360.00	1705.6
361.00	1647.8
362.00	1593.7
363.00	1542.6
364.00	1491.4
365.00	1448.1
366.00	1400.3
367.00	1354.3
368.00	1309.5
369.00	1268.0
370.00	1229.2
371.00	1192.8
372.00	1156.5
373.00	1123.0
