Wavelength (nm)	Q20 abs e
300.00	25274
302.00	26172
304.00	27033
306.00	27706
308.00	28368
310.00	28902
312.00	29307
314.00	29711
316.00	29973
318.00	30241
320.00	30561
322.00	30900
324.00	31242
326.00	31613
328.00	32007
330.00	32489
332.00	32967
334.00	33515
336.00	34067
338.00	34667
340.00	35347
342.00	36080
344.00	36845
346.00	37595
348.00	38305
350.00	38993
352.00	39597
354.00	40285
356.00	41208
358.00	42323
360.00	44254
362.00	44935
364.00	46421
366.00	47506
368.00	48297
370.00	49037
372.00	49637
374.00	50347
376.00	51071
378.00	51800
380.00	52731
382.00	54224
384.00	56634
386.00	59960
388.00	63830
390.00	67502
392.00	70334
394.00	72317
396.00	73620
398.00	75231
400.00	79285
402.00	88917
404.00	1.0717e+05
406.00	1.3418e+05
408.00	1.6512e+05
410.00	1.8614e+05
412.00	1.9001e+05
414.00	1.8230e+05
416.00	1.6966e+05
418.00	1.5383e+05
420.00	1.3055e+05
422.00	1.0283e+05
424.00	76129
426.00	54500
428.00	40274
430.00	31209
432.00	26040
434.00	22530
436.00	20190
438.00	18618
440.00	17316
442.00	16429
444.00	15666
446.00	15133
448.00	14734
450.00	14414
452.00	14133
454.00	13796
456.00	13521
458.00	13039
460.00	12668
462.00	12118
464.00	11388
466.00	10990
468.00	10384
470.00	9782.7
472.00	9081.2
474.00	8587.1
476.00	8109.9
478.00	7638.3
480.00	7127.6
482.00	6897.3
484.00	6363.9
486.00	6594.2
488.00	6111.5
490.00	5595.0
492.00	5286.3
494.00	5196.5
496.00	4814.7
498.00	4680.0
500.00	4691.0
502.00	4517.0
504.00	4449.7
506.00	4376.9
508.00	4264.7
510.00	4169.0
512.00	4219.8
514.00	4079.2
516.00	3961.5
518.00	3933.2
520.00	3978.1
522.00	3983.9
524.00	3843.4
526.00	3916.6
528.00	3916.6
530.00	4113.1
532.00	4163.5
534.00	4332.0
536.00	4567.8
538.00	4612.7
540.00	4932.4
542.00	5185.1
544.00	5342.2
546.00	5634.3
548.00	5724.1
550.00	5796.9
552.00	5712.7
554.00	5729.6
556.00	5667.8
558.00	5741.0
560.00	5550.1
562.00	5791.4
564.00	5718.6
566.00	5875.7
568.00	5987.9
570.00	6178.8
572.00	6554.8
574.00	6554.8
576.00	6577.2
578.00	6852.4
580.00	6650.5
582.00	6807.6
584.00	6914.2
586.00	7801.2
588.00	8098.5
590.00	8227.6
592.00	8109.9
594.00	8654.4
596.00	9114.6
598.00	9047.3
600.00	9446.1
602.00	9732.3
604.00	10243
606.00	10378
608.00	10395
610.00	10496
612.00	10911
614.00	10961
616.00	11343
618.00	11445
620.00	11523
622.00	11366
624.00	11557
626.00	11669
628.00	11764
630.00	11871
632.00	11826
634.00	11916
636.00	11703
638.00	11725
640.00	11832
642.00	12000
644.00	12135
646.00	11972
648.00	11916
650.00	12258
652.00	12387
654.00	12387
656.00	12820
658.00	12651
660.00	13684
662.00	13757
664.00	14077
666.00	14644
668.00	14717
670.00	15127
672.00	15138
674.00	15700
676.00	15705
678.00	15851
680.00	15930
682.00	15891
684.00	15464
686.00	15481
688.00	15104
690.00	14796
692.00	14195
694.00	13724
696.00	12651
698.00	12185
700.00	11355
702.00	10159
704.00	9693.0
706.00	8570.1
708.00	8048.1
710.00	7189.4
712.00	6554.8
714.00	5684.7
716.00	5398.5
718.00	4652.0
720.00	4371.3
722.00	3894.2
724.00	3585.1
726.00	2895.0
728.00	2743.4
730.00	2546.6
732.00	2148.1
734.00	1637.5
736.00	1783.2
738.00	1772.2
740.00	1367.8
742.00	1210.7
744.00	997.37
746.00	930.04
748.00	722.18
750.00	267.46
752.00	1098.5
754.00	1356.8
756.00	1126.5
758.00	604.45
760.00	435.96
762.00	733.59
764.00	408.00
766.00	609.97
768.00	525.72
770.00	548.16
772.00	520.20
774.00	312.34
776.00	582.01
778.00	660.74
780.00	503.28
782.00	435.96
784.00	323.75
786.00	402.48
788.00	363.11
790.00	402.48
792.00	565.09
794.00	329.27
796.00	604.45
798.00	65.485
800.00	385.56
