Wavelength (nm)	EtioP I (in 1 N aqHCl).abs
300.00	0.028469
301.00	0.028638
302.00	0.028773
303.00	0.028949
304.00	0.029253
305.00	0.029484
306.00	0.029698
307.00	0.030013
308.00	0.030263
309.00	0.030666
310.00	0.031092
311.00	0.031582
312.00	0.031982
313.00	0.032419
314.00	0.032876
315.00	0.033327
316.00	0.033824
317.00	0.034233
318.00	0.034653
319.00	0.035137
320.00	0.035614
321.00	0.035997
322.00	0.036463
323.00	0.036903
324.00	0.037342
325.00	0.037891
326.00	0.038381
327.00	0.038826
328.00	0.039323
329.00	0.039905
330.00	0.040395
331.00	0.041011
332.00	0.041562
333.00	0.042172
334.00	0.042854
335.00	0.043489
336.00	0.044167
337.00	0.044912
338.00	0.045803
339.00	0.046679
340.00	0.047617
341.00	0.048572
342.00	0.049602
343.00	0.050774
344.00	0.051940
345.00	0.053219
346.00	0.054517
347.00	0.056009
348.00	0.057404
349.00	0.059013
350.00	0.060491
351.00	0.062006
352.00	0.063513
353.00	0.065048
354.00	0.066735
355.00	0.068494
356.00	0.070248
357.00	0.072334
358.00	0.074609
359.00	0.076732
360.00	0.079134
361.00	0.081519
362.00	0.084086
363.00	0.086672
364.00	0.089177
365.00	0.091784
366.00	0.094791
367.00	0.097889
368.00	0.10126
369.00	0.10494
370.00	0.10905
371.00	0.11430
372.00	0.12000
373.00	0.12675
374.00	0.13466
375.00	0.14370
376.00	0.15310
377.00	0.16288
378.00	0.17258
379.00	0.18190
380.00	0.19043
381.00	0.19921
382.00	0.20814
383.00	0.21781
384.00	0.22907
385.00	0.24192
386.00	0.25565
387.00	0.27047
388.00	0.28690
389.00	0.30579
390.00	0.33174
391.00	0.36724
392.00	0.41660
393.00	0.48238
394.00	0.56346
395.00	0.66270
396.00	0.77217
397.00	0.87963
398.00	0.96297
399.00	1.0000
400.00	0.98482
401.00	0.92337
402.00	0.82579
403.00	0.71005
404.00	0.59137
405.00	0.47807
406.00	0.38192
407.00	0.29892
408.00	0.23020
409.00	0.17659
410.00	0.13669
411.00	0.10594
412.00	0.082873
413.00	0.065474
414.00	0.053233
415.00	0.044038
416.00	0.037195
417.00	0.032043
418.00	0.028111
419.00	0.025073
420.00	0.022671
421.00	0.020583
422.00	0.018874
423.00	0.017597
424.00	0.016588
425.00	0.015555
426.00	0.014724
427.00	0.013889
428.00	0.013171
429.00	0.012910
430.00	0.011968
431.00	0.011603
432.00	0.011624
433.00	0.011179
434.00	0.010467
435.00	0.010687
436.00	0.010086
437.00	0.0099141
438.00	0.0097165
439.00	0.0092993
440.00	0.0093597
441.00	0.0090002
442.00	0.0087003
443.00	0.0088150
444.00	0.0084881
445.00	0.0084420
446.00	0.0084649
447.00	0.0082358
448.00	0.0082336
449.00	0.0080394
450.00	0.0079730
451.00	0.0079307
452.00	0.0079022
453.00	0.0077927
454.00	0.0077931
455.00	0.0076312
456.00	0.0075494
457.00	0.0075506
458.00	0.0074179
459.00	0.0073871
460.00	0.0074767
461.00	0.0073939
462.00	0.0075056
463.00	0.0073699
464.00	0.0072338
465.00	0.0071753
466.00	0.0071502
467.00	0.0073732
468.00	0.0071997
469.00	0.0072019
470.00	0.0072353
471.00	0.0072102
472.00	0.0071517
473.00	0.0070287
474.00	0.0070906
475.00	0.0069493
476.00	0.0069958
477.00	0.0069388
478.00	0.0067517
479.00	0.0068732
480.00	0.0068447
481.00	0.0067292
482.00	0.0066573
483.00	0.0068616
484.00	0.0065827
485.00	0.0068582
486.00	0.0056144
487.00	0.0066959
488.00	0.0075693
489.00	0.0069103
490.00	0.0067802
491.00	0.0068241
492.00	0.0068631
493.00	0.0069714
494.00	0.0069961
495.00	0.0071236
496.00	0.0073208
497.00	0.0073916
498.00	0.0077256
499.00	0.0077489
500.00	0.0079367
501.00	0.0081991
502.00	0.0082883
503.00	0.0085466
504.00	0.0087284
505.00	0.0087396
506.00	0.0088243
507.00	0.0089499
508.00	0.0090631
509.00	0.0091317
510.00	0.0092236
511.00	0.0091385
