Wavelength (nm)	Angew 2008_8954, Mc-FCC-56 abs [Z]
230.00	0.98109
231.00	0.97541
232.00	0.97923
233.00	0.98503
234.00	0.99450
235.00	1.0000
236.00	0.99654
237.00	0.99307
238.00	0.98483
239.00	0.97356
240.00	0.96555
241.00	0.96146
242.00	0.95450
243.00	0.94278
244.00	0.92726
245.00	0.91174
246.00	0.89292
247.00	0.87215
248.00	0.85149
249.00	0.83113
250.00	0.81078
251.00	0.79316
252.00	0.77632
253.00	0.75948
254.00	0.74248
255.00	0.72549
256.00	0.70849
257.00	0.69437
258.00	0.68127
259.00	0.66817
260.00	0.65537
261.00	0.64612
262.00	0.63688
263.00	0.62763
264.00	0.61839
265.00	0.60925
266.00	0.60026
267.00	0.59126
268.00	0.58227
269.00	0.57327
270.00	0.56444
271.00	0.55560
272.00	0.54677
273.00	0.53794
274.00	0.52910
275.00	0.52026
276.00	0.51141
277.00	0.50256
278.00	0.49372
279.00	0.48487
280.00	0.47840
281.00	0.47309
282.00	0.46906
283.00	0.46687
284.00	0.46468
285.00	0.46616
286.00	0.46845
287.00	0.47222
288.00	0.47886
289.00	0.48551
290.00	0.49259
291.00	0.50323
292.00	0.51387
293.00	0.52451
294.00	0.53516
295.00	0.54743
296.00	0.55988
297.00	0.57233
298.00	0.58478
299.00	0.59723
300.00	0.60968
301.00	0.62131
302.00	0.63293
303.00	0.64454
304.00	0.65615
305.00	0.66776
306.00	0.67938
307.00	0.69042
308.00	0.70135
309.00	0.71228
310.00	0.72321
311.00	0.73215
312.00	0.74035
313.00	0.74856
314.00	0.75526
315.00	0.76047
316.00	0.76366
317.00	0.76528
318.00	0.76213
319.00	0.75897
320.00	0.75146
321.00	0.74396
322.00	0.73428
323.00	0.72381
324.00	0.71169
325.00	0.69488
326.00	0.67807
327.00	0.65999
328.00	0.64130
329.00	0.62363
330.00	0.60696
331.00	0.59028
332.00	0.57552
333.00	0.56155
334.00	0.54758
335.00	0.53569
336.00	0.52400
337.00	0.51232
338.00	0.50463
339.00	0.49893
340.00	0.49322
341.00	0.48751
342.00	0.48283
343.00	0.47932
344.00	0.47582
345.00	0.47385
346.00	0.47233
347.00	0.47082
348.00	0.47108
349.00	0.47368
350.00	0.47629
351.00	0.47848
352.00	0.48028
353.00	0.48208
354.00	0.48413
355.00	0.48629
356.00	0.48778
357.00	0.48895
358.00	0.49012
359.00	0.48958
360.00	0.48677
361.00	0.48395
362.00	0.47869
363.00	0.47256
364.00	0.46505
365.00	0.45517
366.00	0.44529
367.00	0.43553
368.00	0.42615
369.00	0.41677
370.00	0.40740
371.00	0.39841
372.00	0.38941
373.00	0.38042
374.00	0.37143
375.00	0.36339
376.00	0.35558
377.00	0.34778
378.00	0.33762
379.00	0.32718
380.00	0.31673
381.00	0.30374
382.00	0.29036
383.00	0.27677
384.00	0.26213
385.00	0.24750
386.00	0.23287
387.00	0.21524
388.00	0.19650
389.00	0.17776
390.00	0.15930
391.00	0.14530
392.00	0.13130
393.00	0.11736
394.00	0.10497
395.00	0.092573
396.00	0.080664
397.00	0.070297
398.00	0.059930
399.00	0.050999
400.00	0.043895
401.00	0.036790
402.00	0.030915
403.00	0.026736
404.00	0.022557
405.00	0.019291
406.00	0.017395
407.00	0.015499
408.00	0.013602
409.00	0.012322
410.00	0.011257
411.00	0.010193
412.00	0.0091292
413.00	0.0080650
414.00	0.0070009
415.00	0.0064931
416.00	0.0061158
417.00	0.0057385
418.00	0.0053612
419.00	0.0049839
420.00	0.0046066
421.00	0.0042270
422.00	0.0038301
423.00	0.0034333
424.00	0.0030364
425.00	0.0026396
426.00	0.0022427
427.00	0.0018458
428.00	0.0016870
429.00	0.0016033
430.00	0.0015196
431.00	0.0014359
432.00	0.0013522
433.00	0.0012685
434.00	0.0011848
435.00	0.0011195
436.00	0.0011195
437.00	0.0011195
438.00	0.0011195
439.00	0.0011195
440.00	0.0011195
441.00	0.0011195
442.00	0.0011195
443.00	0.0011195
444.00	0.0011195
445.00	0.0011195
446.00	0.0011195
447.00	0.0011195
448.00	0.0011195
449.00	0.0011195
450.00	0.0011195
451.00	0.0011195
452.00	0.0011195
453.00	0.0011195
454.00	0.0011195
455.00	0.0011195
456.00	0.0011195
457.00	0.0011195
458.00	0.0011195
459.00	0.0011195
460.00	0.0011195
461.00	0.0011195
462.00	0.0011195
463.00	0.0011195
464.00	0.0011195
465.00	0.0011195
466.00	0.0011195
467.00	0.0011195
468.00	0.0011195
469.00	0.0011195
470.00	0.0011195
471.00	0.0011195
472.00	0.0011195
473.00	0.0011195
474.00	0.0011195
475.00	0.0011195
476.00	0.0011195
477.00	0.0011195
478.00	0.0011195
479.00	0.0011195
480.00	0.0011195
481.00	0.0011195
482.00	0.0011195
483.00	0.0011195
484.00	0.0011195
485.00	0.0011195
486.00	0.0011195
487.00	0.0011195
488.00	0.0011195
489.00	0.0011195
490.00	0.0011195
491.00	0.0011195
492.00	0.0011195
493.00	0.0011195
494.00	0.0011195
495.00	0.0011195
496.00	0.0011195
497.00	0.0011195
498.00	0.0011195
499.00	0.0011195
500.00	0.0011195
