Wavelength (nm)	FL157 [13] 485-72-3, Formononetin [C]
210.00	18624
211.00	18294
212.00	17879
213.00	17386
214.00	16752
215.00	16018
216.00	15275
217.00	14515
218.00	13850
219.00	13337
220.00	13009
221.00	12875
222.00	12918
223.00	13111
224.00	13448
225.00	13902
226.00	14460
227.00	15071
228.00	15755
229.00	16471
230.00	17190
231.00	17877
232.00	18482
233.00	18985
234.00	19400
235.00	19752
236.00	20045
237.00	20297
238.00	20547
239.00	20768
240.00	20967
241.00	21141
242.00	21277
243.00	21413
244.00	21591
245.00	21809
246.00	22081
247.00	22413
248.00	22705
249.00	22800
250.00	22647
251.00	22337
252.00	21980
253.00	21687
254.00	21479
255.00	21307
256.00	21146
257.00	20981
258.00	20801
259.00	20591
260.00	20375
261.00	20141
262.00	19884
263.00	19604
264.00	19246
265.00	18845
266.00	18391
267.00	17877
268.00	17336
269.00	16738
270.00	16103
271.00	15432
272.00	14738
273.00	14046
274.00	13356
275.00	12713
276.00	12101
277.00	11538
278.00	11026
279.00	10540
280.00	10101
281.00	9718.1
282.00	9384.2
283.00	9108.6
284.00	8897.9
285.00	8734.6
286.00	8610.2
287.00	8521.8
288.00	8454.1
289.00	8406.3
290.00	8368.4
291.00	8347.2
292.00	8355.7
293.00	8399.6
294.00	8457.8
295.00	8538.4
296.00	8634.5
297.00	8735.8
298.00	8821.3
299.00	8889.1
300.00	8919.4
301.00	8947.1
302.00	8929.5
303.00	8919.1
304.00	8889.3
305.00	8854.9
306.00	8800.3
307.00	8710.0
308.00	8564.6
309.00	8382.8
310.00	8125.2
311.00	7798.8
312.00	7391.6
313.00	6923.4
314.00	6408.0
315.00	5885.2
316.00	5360.8
317.00	4838.8
318.00	4366.7
319.00	3916.3
320.00	3493.3
321.00	3124.9
322.00	2799.6
323.00	2494.5
324.00	2226.6
325.00	2000.6
326.00	1790.7
327.00	1610.6
328.00	1448.7
329.00	1304.8
330.00	1173.4
331.00	1066.3
332.00	961.26
333.00	869.52
334.00	788.16
335.00	714.09
336.00	643.84
337.00	585.88
338.00	533.08
339.00	484.39
340.00	446.27
341.00	404.03
342.00	369.16
343.00	340.94
344.00	305.05
345.00	283.59
346.00	258.17
347.00	243.49
348.00	222.43
349.00	203.41
350.00	194.37
351.00	176.30
352.00	164.15
353.00	157.56
354.00	141.19
355.00	131.70
356.00	127.34
357.00	126.55
358.00	123.39
359.00	118.29
360.00	106.27
361.00	99.883
362.00	109.94
363.00	100.60
364.00	93.500
365.00	91.378
366.00	81.559
367.00	79.659
368.00	80.482
369.00	80.261
370.00	69.159
371.00	73.514
372.00	64.392
373.00	73.942
374.00	58.469
375.00	52.165
376.00	74.797
377.00	65.564
378.00	62.761
379.00	58.120
380.00	56.964
381.00	50.423
382.00	52.926
383.00	54.620
384.00	51.817
385.00	55.143
386.00	52.593
387.00	40.193
388.00	32.163
389.00	36.487
390.00	38.561
391.00	43.883
392.00	36.629
393.00	36.328
394.00	37.089
395.00	36.344
396.00	38.245
397.00	47.399
398.00	27.745
399.00	28.980
400.00	30.168
401.00	27.254
402.00	31.672
403.00	31.086
404.00	30.690
405.00	34.871
406.00	39.702
407.00	30.453
408.00	36.756
409.00	28.837
410.00	18.717
411.00	25.876
412.00	29.217
413.00	23.770
414.00	20.222
415.00	23.484
416.00	20.238
417.00	21.473
418.00	20.317
419.00	29.756
420.00	20.776
421.00	18.670
422.00	15.471
423.00	15.677
424.00	14.220
425.00	16.817
426.00	23.168
427.00	18.258
428.00	28.362
429.00	19.383
430.00	24.276
431.00	21.188
432.00	24.846
433.00	22.851
434.00	14.267
435.00	24.656
436.00	18.179
437.00	16.089
438.00	19.462
439.00	23.801
440.00	36.550
441.00	20.428
442.00	22.487
443.00	22.360
444.00	13.491
445.00	23.294
446.00	21.188
447.00	16.073
448.00	21.109
449.00	14.885
450.00	28.901
451.00	22.186
452.00	28.283
453.00	20.713
454.00	30.548
455.00	23.104
456.00	18.084
457.00	6.9810
458.00	20.523
459.00	18.306
460.00	19.351
461.00	25.765
462.00	3.4458
463.00	28.552
464.00	26.905
465.00	11.163
466.00	16.532
467.00	4.2140
468.00	4.3947
469.00	30.342
470.00	33.050
471.00	28.362
472.00	3.3256
473.00	25.923
474.00	21.727
475.00	10.229
476.00	11.131
477.00	20.808
478.00	3.7278
479.00	15.819
480.00	3.9247
481.00	17.989
482.00	5.1926
483.00	19.842
484.00	8.8034
485.00	12.747
486.00	9.3458
487.00	1.5342
488.00	22.265
489.00	3.9297
490.00	19.684
491.00	11.654
492.00	6.9919
493.00	9.6428
494.00	8.7718
495.00	4.7808
496.00	20.333
497.00	9.4844
498.00	2.1202
499.00	1.8984
500.00	10.134
