Wavelength (nm)	FL072 [11] 4143-74-2, 4'-Methoxyflavone [D]
211.00	18057
212.00	17646
213.00	17338
214.00	17215
215.00	17252
216.00	17526
217.00	17801
218.00	18049
219.00	18294
220.00	18548
221.00	18791
222.00	18864
223.00	18847
224.00	18680
225.00	18270
226.00	17861
227.00	17357
228.00	16845
229.00	16298
230.00	15742
231.00	15219
232.00	14718
233.00	14220
234.00	13733
235.00	13221
236.00	12560
237.00	11883
238.00	11083
239.00	10434
240.00	9898.7
241.00	9511.1
242.00	9366.0
243.00	9257.1
244.00	9178.7
245.00	9260.6
246.00	9342.5
247.00	9432.3
248.00	9612.0
249.00	9791.7
250.00	9961.9
251.00	10108
252.00	10253
253.00	10346
254.00	10423
255.00	10440
256.00	10425
257.00	10297
258.00	10094
259.00	9834.1
260.00	9423.2
261.00	8931.0
262.00	8314.4
263.00	7691.5
264.00	6967.8
265.00	6231.5
266.00	5410.7
267.00	4717.1
268.00	4169.0
269.00	3810.5
270.00	3653.4
271.00	3600.0
272.00	3660.3
273.00	3758.9
274.00	3895.9
275.00	4064.1
276.00	4312.4
277.00	4560.7
278.00	4869.2
279.00	5272.0
280.00	5674.9
281.00	6183.1
282.00	6720.9
283.00	7264.9
284.00	7825.3
285.00	8385.8
286.00	8957.9
287.00	9579.9
288.00	10202
289.00	10824
290.00	11511
291.00	12205
292.00	12899
293.00	13594
294.00	14340
295.00	15128
296.00	15916
297.00	16705
298.00	17496
299.00	18384
300.00	19273
301.00	20162
302.00	21051
303.00	21889
304.00	22693
305.00	23498
306.00	24228
307.00	24848
308.00	25468
309.00	26088
310.00	26504
311.00	26878
312.00	27253
313.00	27588
314.00	27813
315.00	28037
316.00	28261
317.00	28378
318.00	28481
319.00	28493
320.00	28355
321.00	28218
322.00	28026
323.00	27796
324.00	27566
325.00	27302
326.00	26960
327.00	26617
328.00	26244
329.00	25627
330.00	25010
331.00	24351
332.00	23542
333.00	22734
334.00	21925
335.00	21049
336.00	20117
337.00	19186
338.00	18255
339.00	17381
340.00	16509
341.00	15633
342.00	14715
343.00	13797
344.00	12879
345.00	11958
346.00	11018
347.00	10079
348.00	9139.4
349.00	8261.1
350.00	7386.8
351.00	6522.1
352.00	5687.8
353.00	4911.4
354.00	4264.2
355.00	3616.9
356.00	3098.1
357.00	2611.4
358.00	2166.1
359.00	1767.4
360.00	1460.1
