Wavelength (nm)	I01 abs e
200.00	12388
201.00	11473
202.00	12284
203.00	12972
204.00	13512
205.00	14275
206.00	15235
207.00	15927
208.00	16579
209.00	17082
210.00	17316
211.00	17264
212.00	16907
213.00	16559
214.00	16114
215.00	15728
216.00	15211
217.00	14688
218.00	14076
219.00	13437
220.00	12669
221.00	11893
222.00	11446
223.00	11344
224.00	11497
225.00	11849
226.00	12438
227.00	13235
228.00	14391
229.00	15775
230.00	17479
231.00	19604
232.00	22193
233.00	25165
234.00	28220
235.00	31919
236.00	36486
237.00	41530
238.00	47168
239.00	54638
240.00	64656
241.00	73848
242.00	78724
243.00	82968
244.00	91460
245.00	1.0232e+05
246.00	1.1297e+05
247.00	1.2721e+05
248.00	1.5162e+05
249.00	1.7800e+05
250.00	1.7612e+05
251.00	1.3416e+05
252.00	83437
253.00	46640
254.00	26066
255.00	15549
256.00	10129
257.00	7208.9
258.00	5519.8
259.00	4449.5
260.00	3752.2
261.00	3270.7
262.00	2954.3
263.00	2737.7
264.00	2503.6
265.00	2370.7
266.00	2234.2
267.00	2108.3
268.00	2007.3
269.00	1908.7
270.00	1823.6
271.00	1746.2
272.00	1657.8
273.00	1578.5
274.00	1521.8
275.00	1474.4
276.00	1444.9
277.00	1400.0
278.00	1347.4
279.00	1318.8
280.00	1303.0
281.00	1270.2
282.00	1239.3
283.00	1237.6
284.00	1214.4
285.00	1187.6
286.00	1189.5
287.00	1193.2
288.00	1166.2
289.00	1172.3
290.00	1165.9
291.00	1185.1
292.00	1180.0
293.00	1174.6
294.00	1193.4
295.00	1195.1
296.00	1196.4
297.00	1194.3
298.00	1227.8
299.00	1243.9
300.00	1273.7
301.00	1320.3
302.00	1335.7
303.00	1366.4
304.00	1435.2
305.00	1479.1
306.00	1543.1
307.00	1615.6
308.00	1700.9
309.00	1765.3
310.00	1831.8
311.00	1881.7
312.00	1942.2
313.00	2063.0
314.00	2207.1
315.00	2330.0
316.00	2447.6
317.00	2503.7
318.00	2610.2
319.00	2742.9
320.00	2963.3
321.00	3215.9
322.00	3471.3
323.00	3653.0
324.00	3733.1
325.00	3776.6
326.00	3875.6
327.00	3996.9
328.00	4247.2
329.00	4561.2
330.00	4801.3
331.00	4943.0
332.00	4968.4
333.00	5034.7
334.00	5223.0
335.00	5583.4
336.00	6164.1
337.00	6829.4
338.00	7351.0
339.00	7430.3
340.00	7254.0
341.00	7032.5
342.00	6897.3
343.00	6916.8
344.00	7136.0
345.00	7495.6
346.00	7805.8
347.00	7964.2
348.00	7850.1
349.00	7639.8
350.00	7478.5
351.00	7579.5
352.00	8030.8
353.00	8909.5
354.00	10067
355.00	10928
356.00	11035
357.00	10369
358.00	9397.9
359.00	8365.0
360.00	7526.9
361.00	6853.2
362.00	6311.1
363.00	5961.8
364.00	5687.0
365.00	5479.4
366.00	5225.3
367.00	4961.7
368.00	4637.6
369.00	4287.3
370.00	3938.1
371.00	3728.1
372.00	3494.2
373.00	3378.7
374.00	3315.1
375.00	3285.1
376.00	3310.0
377.00	3310.9
378.00	3179.3
379.00	3144.6
380.00	3148.2
381.00	3076.7
382.00	3005.9
383.00	2954.4
384.00	2796.7
385.00	2612.6
386.00	2401.3
387.00	2169.8
388.00	1799.7
389.00	1551.3
390.00	1236.8
391.00	995.78
392.00	811.94
393.00	697.38
394.00	575.96
395.00	449.55
396.00	403.19
397.00	431.44
398.00	375.73
399.00	307.91
400.00	269.44
401.00	224.65
402.00	250.40
403.00	266.63
404.00	261.25
405.00	240.42
406.00	193.67
407.00	207.17
408.00	239.87
409.00	241.59
410.00	228.48
411.00	253.99
412.00	213.96
413.00	221.14
414.00	231.13
415.00	250.09
416.00	204.29
417.00	211.07
418.00	204.60
419.00	178.46
420.00	185.56
421.00	231.83
422.00	224.11
423.00	173.23
424.00	178.61
425.00	166.20
426.00	151.14
427.00	212.79
428.00	129.92
429.00	230.74
430.00	182.59
431.00	154.97
432.00	153.49
433.00	178.46
434.00	128.75
435.00	129.61
436.00	171.36
437.00	194.06
438.00	193.91
439.00	199.06
440.00	206.16
441.00	214.90
442.00	166.60
443.00	197.18
444.00	207.17
445.00	168.23
446.00	140.61
447.00	167.38
448.00	150.83
449.00	192.42
450.00	193.67
451.00	174.48
452.00	180.72
453.00	133.74
454.00	130.62
455.00	142.09
456.00	129.14
457.00	195.08
458.00	142.09
459.00	92.385
460.00	151.46
461.00	96.442
462.00	134.76
463.00	137.64
464.00	150.44
465.00	157.31
466.00	137.33
467.00	126.10
468.00	113.30
469.00	190.32
470.00	97.379
471.00	106.66
472.00	105.26
473.00	45.174
474.00	116.65
475.00	166.75
476.00	178.92
477.00	90.122
478.00	144.43
479.00	193.36
480.00	122.35
481.00	152.08
482.00	174.16
483.00	178.92
484.00	152.31
485.00	245.25
486.00	79.041
487.00	124.53
488.00	44.160
489.00	102.53
490.00	160.90
491.00	117.51
492.00	184.54
493.00	160.82
494.00	45.642
495.00	49.700
496.00	135.85
497.00	82.864
498.00	87.390
499.00	162.23
500.00	159.96
