Wavelength (nm)	FL030 [8] 32274-71-8, Isopratol [D]
210.00	25864
211.00	25428
212.00	24683
213.00	23581
214.00	21990
215.00	20466
216.00	20147
217.00	20434
218.00	20933
219.00	21482
220.00	22013
221.00	22421
222.00	22545
223.00	22218
224.00	21530
225.00	20680
226.00	19517
227.00	18353
228.00	17190
229.00	16107
230.00	15029
231.00	13950
232.00	12871
233.00	11793
234.00	10909
235.00	10126
236.00	9342.1
237.00	8558.7
238.00	7904.5
239.00	7326.2
240.00	6747.9
241.00	6309.4
242.00	5972.2
243.00	5635.0
244.00	5330.6
245.00	5124.6
246.00	4924.8
247.00	4733.8
248.00	4611.7
249.00	4526.7
250.00	4441.8
251.00	4404.1
252.00	4369.0
253.00	4405.8
254.00	4443.4
255.00	4540.4
256.00	4687.9
257.00	4961.1
258.00	5584.7
259.00	6127.8
260.00	6641.1
261.00	7217.9
262.00	7848.9
263.00	8479.0
264.00	9106.3
265.00	9733.6
266.00	10420
267.00	11126
268.00	11832
269.00	12538
270.00	13254
271.00	13971
272.00	14688
273.00	15238
274.00	15651
275.00	15775
276.00	15898
277.00	15775
278.00	15651
279.00	15357
280.00	15064
281.00	14676
282.00	14287
283.00	13899
284.00	13477
285.00	13004
286.00	12531
287.00	12058
288.00	11585
289.00	11119
290.00	10666
291.00	10214
292.00	9761.5
293.00	9330.1
294.00	8977.8
295.00	8625.5
296.00	8273.1
297.00	7920.8
298.00	7568.5
299.00	7261.0
300.00	7002.0
301.00	6743.1
302.00	6484.1
303.00	6280.5
304.00	6079.7
305.00	5961.8
306.00	5882.7
307.00	5917.1
308.00	5995.6
309.00	6116.1
310.00	6282.2
311.00	6442.6
312.00	6594.8
313.00	6746.9
314.00	6836.0
315.00	6925.1
316.00	6806.8
317.00	6688.5
318.00	6506.5
319.00	6324.6
320.00	6138.9
321.00	5951.6
322.00	5764.4
323.00	5577.2
324.00	5395.5
325.00	5226.0
326.00	5056.5
327.00	4887.0
328.00	4717.6
329.00	4550.3
330.00	4392.7
331.00	4235.2
332.00	4077.7
333.00	3920.2
334.00	3765.8
335.00	3634.2
336.00	3502.6
337.00	3371.1
338.00	3239.5
339.00	3106.6
340.00	2968.6
341.00	2830.6
342.00	2692.5
343.00	2553.7
344.00	2414.1
345.00	2274.5
346.00	2135.0
347.00	2011.0
348.00	1889.0
349.00	1767.2
350.00	1646.1
