Wavelength (nm)	Angew 2016_15760, Z1-Me (MeOH) ems 
435.00	0.055621
436.00	0.051585
437.00	0.055645
438.00	0.062854
439.00	0.070062
440.00	0.080021
441.00	0.097053
442.00	0.11329
443.00	0.11996
444.00	0.13538
445.00	0.15866
446.00	0.16598
447.00	0.16956
448.00	0.18947
449.00	0.21372
450.00	0.23798
451.00	0.26223
452.00	0.27479
453.00	0.27698
454.00	0.27917
455.00	0.29858
456.00	0.32537
457.00	0.35216
458.00	0.37894
459.00	0.40159
460.00	0.42200
461.00	0.44241
462.00	0.46282
463.00	0.52380
464.00	0.56058
465.00	0.58375
466.00	0.58946
467.00	0.58776
468.00	0.62483
469.00	0.66189
470.00	0.65590
471.00	0.69213
472.00	0.72964
473.00	0.76485
474.00	0.78232
475.00	0.79067
476.00	0.80390
477.00	0.82362
478.00	0.84333
479.00	0.87174
480.00	0.90633
481.00	0.94271
482.00	0.94236
483.00	0.95057
484.00	0.97529
485.00	1.0000
486.00	0.98300
487.00	0.96601
488.00	0.96356
489.00	0.95422
490.00	0.93857
491.00	0.92424
492.00	0.94163
493.00	0.95837
494.00	0.94324
495.00	0.93615
496.00	0.94112
497.00	0.92109
498.00	0.90403
499.00	0.91934
500.00	0.90403
501.00	0.88872
502.00	0.87341
503.00	0.88319
504.00	0.89576
505.00	0.83308
506.00	0.84243
507.00	0.85178
508.00	0.83499
509.00	0.81321
510.00	0.81366
511.00	0.81709
512.00	0.77559
513.00	0.76834
514.00	0.76867
515.00	0.77442
516.00	0.73067
517.00	0.71403
518.00	0.72422
519.00	0.70341
520.00	0.68022
521.00	0.68847
522.00	0.69374
523.00	0.65227
524.00	0.64665
525.00	0.65414
526.00	0.63662
527.00	0.61909
528.00	0.62423
529.00	0.60420
530.00	0.58417
531.00	0.56414
532.00	0.57308
533.00	0.57917
534.00	0.55079
535.00	0.54085
536.00	0.52569
537.00	0.50464
538.00	0.48360
539.00	0.47184
540.00	0.47145
541.00	0.47105
542.00	0.46044
543.00	0.44758
544.00	0.43472
545.00	0.42186
546.00	0.40861
547.00	0.39330
548.00	0.37799
549.00	0.38714
550.00	0.39522
551.00	0.38079
552.00	0.36693
553.00	0.35885
554.00	0.35078
555.00	0.34214
556.00	0.33321
557.00	0.32447
558.00	0.31639
559.00	0.30832
560.00	0.30466
561.00	0.29942
562.00	0.28192
563.00	0.27216
564.00	0.27679
565.00	0.27949
566.00	0.26801
567.00	0.25653
568.00	0.24064
569.00	0.24014
570.00	0.24201
571.00	0.22811
572.00	0.20608
573.00	0.21557
574.00	0.22463
575.00	0.20775
576.00	0.19584
577.00	0.20511
578.00	0.21437
579.00	0.17982
580.00	0.17875
581.00	0.17768
582.00	0.17661
583.00	0.17910
584.00	0.18091
585.00	0.17241
586.00	0.16390
587.00	0.15887
588.00	0.15563
589.00	0.15338
590.00	0.15245
591.00	0.15018
592.00	0.14252
593.00	0.13487
594.00	0.12736
595.00	0.11990
596.00	0.11392
597.00	0.11706
598.00	0.12021
599.00	0.11734
600.00	0.10868
601.00	0.10558
602.00	0.10851
603.00	0.11143
604.00	0.10914
605.00	0.10405
606.00	0.098957
607.00	0.094119
608.00	0.090292
609.00	0.086465
610.00	0.082638
611.00	0.078736
612.00	0.074832
613.00	0.070927
614.00	0.070449
615.00	0.073132
616.00	0.075816
617.00	0.078499
618.00	0.075044
619.00	0.068565
620.00	0.062086
621.00	0.061659
622.00	0.064635
623.00	0.064388
624.00	0.052019
625.00	0.050269
626.00	0.051343
627.00	0.052416
628.00	0.053490
629.00	0.049285
630.00	0.045403
631.00	0.046360
632.00	0.047316
633.00	0.048273
634.00	0.048637
635.00	0.048920
636.00	0.049203
637.00	0.049108
638.00	0.047749
639.00	0.046389
640.00	0.045516
641.00	0.046718
642.00	0.047919
643.00	0.049121
644.00	0.045589
645.00	0.040480
646.00	0.030038
647.00	0.023965
648.00	0.028507
649.00	0.035458
650.00	0.043982
651.00	0.040077
652.00	0.036172
653.00	0.032268
654.00	0.030823
655.00	0.030823
656.00	0.030823
657.00	0.030874
658.00	0.031158
659.00	0.031442
660.00	0.031725
661.00	0.031512
662.00	0.030874
663.00	0.030236
664.00	0.028874
665.00	0.025820
666.00	0.021696
667.00	0.014680
668.00	0.016284
669.00	0.022529
670.00	0.024858
671.00	0.026385
672.00	0.015077
673.00	0.011805
674.00	0.016346
675.00	0.013462
676.00	0.0099649
677.00	0.015564
678.00	0.020205
679.00	0.017826
680.00	0.015447
681.00	0.013258
682.00	0.013258
683.00	0.013258
684.00	0.012331
685.00	0.0086245
686.00	0.0050520
687.00	0.0080555
688.00	0.011059
689.00	0.014063
690.00	0.012792
691.00	0.0084262
692.00	0.0040605
693.00	0.0029870
694.00	0.0030702
695.00	0.0031535
696.00	0.0032367
697.00	0.0033199
698.00	0.0032785
699.00	0.0031019
700.00	0.0029254
