Wavelength (nm)	A14 abs e
205.00	3534.8
206.00	3249.1
207.00	3123.5
208.00	3064.7
209.00	3058.9
210.00	3079.1
211.00	3176.8
212.00	3342.8
213.00	3575.4
214.00	3881.0
215.00	4242.9
216.00	4656.9
217.00	5090.4
218.00	5552.8
219.00	6012.9
220.00	6472.3
221.00	6904.4
222.00	7297.9
223.00	7626.7
224.00	7905.8
225.00	8101.3
226.00	8228.9
227.00	8270.0
228.00	8226.2
229.00	8091.2
230.00	7839.2
231.00	7494.6
232.00	7104.8
233.00	6691.3
234.00	6267.3
235.00	5778.7
236.00	5225.6
237.00	4586.3
238.00	3908.4
239.00	3251.3
240.00	2630.5
241.00	2098.6
242.00	1676.6
243.00	1346.0
244.00	1098.4
245.00	923.52
246.00	795.81
247.00	703.49
248.00	638.33
249.00	589.99
250.00	553.99
251.00	528.57
252.00	509.76
253.00	494.32
254.00	485.79
255.00	483.24
256.00	480.30
257.00	481.65
258.00	484.15
259.00	485.45
260.00	492.44
261.00	500.37
262.00	513.63
263.00	533.45
264.00	549.26
265.00	561.39
266.00	568.43
267.00	575.52
268.00	585.93
269.00	602.03
270.00	624.16
271.00	646.86
272.00	656.46
273.00	646.93
274.00	617.55
275.00	579.00
276.00	543.29
277.00	524.62
278.00	523.29
279.00	528.00
280.00	519.87
281.00	482.17
282.00	418.45
283.00	338.97
284.00	256.62
285.00	185.56
286.00	131.72
287.00	94.260
288.00	71.032
289.00	55.504
290.00	45.285
291.00	40.416
292.00	34.740
293.00	33.468
294.00	32.310
295.00	30.942
296.00	28.368
297.00	28.333
298.00	27.832
299.00	27.401
300.00	28.755
