Wavelength (nm)	FL050 [9] 480-18-2, Taxifolin [C]
210.00	29466
211.00	28068
212.00	27051
213.00	26294
214.00	25676
215.00	25130
216.00	24587
217.00	24010
218.00	23376
219.00	22730
220.00	22103
221.00	21518
222.00	20996
223.00	20551
224.00	20163
225.00	19825
226.00	19511
227.00	19217
228.00	18931
229.00	18623
230.00	18252
231.00	17757
232.00	17071
233.00	16106
234.00	14926
235.00	13668
236.00	12409
237.00	11199
238.00	10056
239.00	8882.2
240.00	7606.0
241.00	6273.6
242.00	4995.6
243.00	3957.1
244.00	3208.0
245.00	2712.4
246.00	2401.0
247.00	2219.0
248.00	2114.8
249.00	2068.4
250.00	2063.2
251.00	2092.7
252.00	2145.9
253.00	2213.8
254.00	2311.9
255.00	2422.0
256.00	2548.0
257.00	2681.6
258.00	2830.5
259.00	3003.4
260.00	3199.0
261.00	3420.9
262.00	3680.4
263.00	3979.3
264.00	4305.9
265.00	4680.9
266.00	5100.8
267.00	5538.0
268.00	6028.5
269.00	6561.9
270.00	7124.5
271.00	7721.2
272.00	8344.0
273.00	8994.4
274.00	9676.9
275.00	10367
276.00	11066
277.00	11780
278.00	12487
279.00	13186
280.00	13874
281.00	14530
282.00	15143
283.00	15703
284.00	16194
285.00	16613
286.00	16960
287.00	17236
288.00	17427
289.00	17500
290.00	17460
291.00	17286
292.00	16997
293.00	16616
294.00	16156
295.00	15650
296.00	15095
297.00	14496
298.00	13851
299.00	13203
300.00	12543
301.00	11868
302.00	11191
303.00	10502
304.00	9853.3
305.00	9223.3
306.00	8609.0
307.00	8039.6
308.00	7505.8
309.00	7025.9
310.00	6584.4
311.00	6180.7
312.00	5830.4
313.00	5531.4
314.00	5254.5
315.00	5018.2
316.00	4814.8
317.00	4634.2
318.00	4480.7
319.00	4357.2
320.00	4246.0
321.00	4148.0
322.00	4049.8
323.00	3970.0
324.00	3897.3
325.00	3830.6
326.00	3764.2
327.00	3700.0
328.00	3632.9
329.00	3572.5
330.00	3504.3
331.00	3438.0
332.00	3369.6
333.00	3291.3
334.00	3218.4
335.00	3132.7
336.00	3053.0
337.00	2971.0
338.00	2871.9
339.00	2784.5
340.00	2693.0
341.00	2597.7
342.00	2510.5
343.00	2417.6
344.00	2324.5
345.00	2231.3
346.00	2139.6
347.00	2048.3
348.00	1961.2
349.00	1874.5
350.00	1792.8
351.00	1718.2
352.00	1646.4
353.00	1579.3
354.00	1509.7
355.00	1449.1
356.00	1390.0
357.00	1346.6
358.00	1296.9
359.00	1250.5
360.00	1209.8
361.00	1189.0
362.00	1155.8
363.00	1123.5
364.00	1092.6
365.00	1060.4
366.00	1034.1
367.00	1012.9
368.00	984.59
369.00	966.83
370.00	953.49
371.00	940.04
372.00	906.27
373.00	892.06
374.00	887.69
375.00	879.49
376.00	857.61
377.00	843.51
378.00	823.58
379.00	820.92
380.00	793.09
381.00	788.80
382.00	764.24
383.00	736.99
384.00	734.60
385.00	714.42
386.00	682.68
387.00	663.34
388.00	631.17
389.00	603.71
390.00	585.82
391.00	534.73
392.00	516.54
393.00	477.58
394.00	448.56
395.00	411.43
396.00	386.58
397.00	347.98
398.00	326.15
399.00	298.51
400.00	270.49
401.00	247.69
402.00	223.09
403.00	202.87
404.00	194.87
405.00	181.40
406.00	154.00
407.00	147.57
408.00	135.18
409.00	117.17
410.00	102.88
411.00	99.625
412.00	96.704
413.00	79.608
414.00	77.934
415.00	64.353
416.00	58.791
417.00	54.773
418.00	54.140
419.00	47.183
420.00	49.638
421.00	50.792
422.00	42.960
423.00	38.569
424.00	36.802
425.00	35.481
426.00	42.867
427.00	37.639
428.00	33.268
429.00	25.696
430.00	19.948
431.00	36.002
432.00	24.543
433.00	27.147
434.00	25.417
435.00	27.780
436.00	31.891
437.00	31.482
438.00	33.472
439.00	38.923
440.00	34.495
441.00	30.142
442.00	22.701
443.00	31.835
444.00	29.138
445.00	24.431
446.00	28.747
447.00	32.319
448.00	30.979
449.00	26.738
450.00	19.055
451.00	24.580
452.00	30.068
453.00	41.881
454.00	36.188
455.00	18.236
456.00	17.120
457.00	18.348
458.00	17.232
459.00	24.971
460.00	26.422
461.00	35.146
462.00	32.058
463.00	33.528
464.00	29.789
465.00	32.003
466.00	38.309
467.00	37.769
468.00	22.645
469.00	27.408
470.00	34.105
471.00	34.663
472.00	35.816
473.00	24.059
474.00	31.463
475.00	21.492
476.00	32.747
477.00	23.594
478.00	22.013
479.00	25.157
480.00	33.137
481.00	26.384
482.00	45.341
483.00	31.184
484.00	22.199
485.00	33.100
486.00	23.006
487.00	15.278
488.00	24.096
489.00	27.687
490.00	21.287
491.00	29.752
492.00	37.063
493.00	38.253
494.00	33.175
495.00	33.137
496.00	28.319
497.00	35.667
498.00	23.166
499.00	20.915
500.00	22.292
