Wavelength (nm)	Q17 abs e
300.00	10549
301.00	10726
302.00	10876
303.00	11042
304.00	11211
305.00	11347
306.00	11494
307.00	11627
308.00	11733
309.00	11816
310.00	11905
311.00	12025
312.00	12151
313.00	12183
314.00	12253
315.00	12329
316.00	12431
317.00	12507
318.00	12644
319.00	12738
320.00	12910
321.00	13051
322.00	13212
323.00	13443
324.00	13686
325.00	13964
326.00	14205
327.00	14487
328.00	14740
329.00	15032
330.00	15363
331.00	15622
332.00	15928
333.00	16263
334.00	16584
335.00	16947
336.00	17297
337.00	17720
338.00	18123
339.00	18625
340.00	19225
341.00	19807
342.00	20388
343.00	21062
344.00	21816
345.00	22483
346.00	23251
347.00	23965
348.00	24662
349.00	25304
350.00	25924
351.00	26413
352.00	26876
353.00	27450
354.00	27799
355.00	28239
356.00	28628
357.00	28988
358.00	29246
359.00	29592
360.00	30062
361.00	30547
362.00	31035
363.00	31613
364.00	32350
365.00	32987
366.00	33567
367.00	34212
368.00	34707
369.00	35215
370.00	35608
371.00	35983
372.00	36154
373.00	36248
374.00	36346
375.00	36315
376.00	36212
377.00	36125
378.00	36160
379.00	36200
380.00	36368
381.00	36537
382.00	36960
383.00	37452
384.00	38113
385.00	39042
386.00	40361
387.00	41912
388.00	43668
389.00	45673
390.00	48269
391.00	51414
392.00	54873
393.00	58517
394.00	62325
395.00	66482
396.00	71208
397.00	76047
398.00	80877
399.00	85502
400.00	90377
401.00	95949
402.00	1.0140e+05
403.00	1.0755e+05
404.00	1.1428e+05
405.00	1.2181e+05
406.00	1.2924e+05
407.00	1.3738e+05
408.00	1.4825e+05
409.00	1.5920e+05
410.00	1.7106e+05
411.00	1.8397e+05
412.00	1.9760e+05
413.00	2.1046e+05
414.00	2.2111e+05
415.00	2.2994e+05
416.00	2.3513e+05
417.00	2.3690e+05
418.00	2.3413e+05
419.00	2.2726e+05
420.00	2.1664e+05
421.00	2.0320e+05
422.00	1.8818e+05
423.00	1.7107e+05
424.00	1.5424e+05
425.00	1.3651e+05
426.00	1.2003e+05
427.00	1.0308e+05
428.00	90017
429.00	76466
430.00	65010
431.00	55723
432.00	47341
433.00	39365
434.00	33052
435.00	28069
436.00	23620
437.00	19966
438.00	17016
439.00	14579
440.00	12525
441.00	10688
442.00	9391.5
443.00	8235.9
444.00	7332.7
445.00	6589.5
446.00	5874.3
447.00	5379.5
448.00	4912.1
449.00	4524.4
