Wavelength (nm)	Toly G+H (2017)
300.00	0.22062
301.00	0.21982
302.00	0.21886
303.00	0.21803
304.00	0.21733
305.00	0.21670
306.00	0.21600
307.00	0.21517
308.00	0.21448
309.00	0.21408
310.00	0.21322
311.00	0.21224
312.00	0.21110
313.00	0.20916
314.00	0.20795
315.00	0.20502
316.00	0.20105
317.00	0.19614
318.00	0.19158
319.00	0.18708
320.00	0.18145
321.00	0.17545
322.00	0.16947
323.00	0.16472
324.00	0.16064
325.00	0.15664
326.00	0.15288
327.00	0.14974
328.00	0.14747
329.00	0.14608
330.00	0.14493
331.00	0.14400
332.00	0.14306
333.00	0.14260
334.00	0.14250
335.00	0.14253
336.00	0.14252
337.00	0.14307
338.00	0.14398
339.00	0.14421
340.00	0.14523
341.00	0.14668
342.00	0.14905
343.00	0.15041
344.00	0.15214
345.00	0.15490
346.00	0.15738
347.00	0.16010
348.00	0.16319
349.00	0.16623
350.00	0.17026
351.00	0.17377
352.00	0.17893
353.00	0.18331
354.00	0.18771
355.00	0.19240
356.00	0.19787
357.00	0.20484
358.00	0.21186
359.00	0.21672
360.00	0.22551
361.00	0.23397
362.00	0.24384
363.00	0.25257
364.00	0.26233
365.00	0.27532
366.00	0.28702
367.00	0.30263
368.00	0.31771
369.00	0.33198
370.00	0.34655
371.00	0.36233
372.00	0.37923
373.00	0.39711
374.00	0.41284
375.00	0.42936
376.00	0.44595
377.00	0.46725
378.00	0.48569
379.00	0.50351
380.00	0.52472
381.00	0.54639
382.00	0.57228
383.00	0.59941
384.00	0.62490
385.00	0.64889
386.00	0.67582
387.00	0.70596
388.00	0.73998
389.00	0.77384
390.00	0.80686
391.00	0.84486
392.00	0.88129
393.00	0.91526
394.00	0.95174
395.00	0.97315
396.00	0.99070
397.00	0.99874
398.00	1.00000
399.00	0.99106
400.00	0.97719
401.00	0.95800
402.00	0.93273
403.00	0.90155
404.00	0.86087
405.00	0.82239
406.00	0.78172
407.00	0.73074
408.00	0.67904
409.00	0.61565
410.00	0.56188
411.00	0.51645
412.00	0.46360
413.00	0.41913
414.00	0.37318
415.00	0.33054
416.00	0.29605
417.00	0.26346
418.00	0.23641
419.00	0.20781
420.00	0.18373
421.00	0.16581
422.00	0.14948
423.00	0.13543
424.00	0.12244
425.00	0.11007
426.00	0.10108
427.00	0.093685
428.00	0.086668
429.00	0.079958
430.00	0.073639
431.00	0.068131
432.00	0.063097
433.00	0.059394
434.00	0.055424
435.00	0.051127
436.00	0.047481
437.00	0.044684
438.00	0.041878
439.00	0.039492
440.00	0.037508
441.00	0.035417
442.00	0.033868
443.00	0.032808
444.00	0.031361
445.00	0.030443
446.00	0.029699
447.00	0.028832
448.00	0.028141
449.00	0.027877
450.00	0.027500
451.00	0.026997
452.00	0.027152
453.00	0.026676
454.00	0.026746
455.00	0.026766
456.00	0.026848
457.00	0.026691
458.00	0.026868
459.00	0.027104
460.00	0.027483
461.00	0.027286
462.00	0.027293
463.00	0.027877
464.00	0.028431
465.00	0.028676
466.00	0.029126
467.00	0.029503
468.00	0.030269
469.00	0.030657
470.00	0.031612
471.00	0.032305
472.00	0.032812
473.00	0.033725
474.00	0.034515
475.00	0.035279
476.00	0.035783
477.00	0.036235
478.00	0.036594
479.00	0.037068
480.00	0.037291
481.00	0.037611
482.00	0.037453
483.00	0.037561
484.00	0.037594
485.00	0.036924
486.00	0.036855
487.00	0.036433
488.00	0.036376
489.00	0.036372
490.00	0.036539
491.00	0.037156
492.00	0.037212
493.00	0.037269
494.00	0.038223
495.00	0.039405
496.00	0.040403
497.00	0.041574
498.00	0.042480
499.00	0.043541
500.00	0.044399
501.00	0.045589
502.00	0.046563
503.00	0.047148
504.00	0.047280
505.00	0.047559
506.00	0.047435
507.00	0.046884
508.00	0.046159
509.00	0.045353
510.00	0.044247
511.00	0.042909
512.00	0.041581
513.00	0.040063
514.00	0.038479
515.00	0.036963
516.00	0.035619
517.00	0.034246
518.00	0.032958
519.00	0.031549
520.00	0.030481
521.00	0.029454
522.00	0.028599
523.00	0.027826
524.00	0.027394
525.00	0.026832
526.00	0.026426
527.00	0.026018
528.00	0.026216
529.00	0.026510
530.00	0.026174
531.00	0.026792
532.00	0.027898
533.00	0.028932
534.00	0.030095
535.00	0.031188
536.00	0.033323
537.00	0.035074
538.00	0.036575
539.00	0.038182
540.00	0.039575
541.00	0.041255
542.00	0.042313
543.00	0.043180
544.00	0.043795
545.00	0.044005
546.00	0.044499
547.00	0.044213
548.00	0.043655
549.00	0.043281
550.00	0.042709
551.00	0.041948
552.00	0.041061
553.00	0.039712
554.00	0.038041
555.00	0.036754
556.00	0.035449
557.00	0.033871
558.00	0.032495
559.00	0.031203
560.00	0.029234
561.00	0.027666
562.00	0.026555
563.00	0.025556
564.00	0.024762
565.00	0.023393
566.00	0.022560
567.00	0.021467
568.00	0.020880
569.00	0.020594
570.00	0.020152
571.00	0.019980
572.00	0.019340
573.00	0.018999
574.00	0.018960
575.00	0.018425
576.00	0.018428
577.00	0.018123
578.00	0.017431
579.00	0.017475
580.00	0.017234
581.00	0.016535
582.00	0.015865
583.00	0.015866
584.00	0.015233
585.00	0.014822
586.00	0.014959
587.00	0.014530
588.00	0.013938
589.00	0.014537
590.00	0.014112
591.00	0.014368
592.00	0.014653
593.00	0.014123
594.00	0.014219
595.00	0.013867
596.00	0.014519
597.00	0.014503
598.00	0.014884
599.00	0.014938
600.00	0.014929
601.00	0.015193
602.00	0.015758
603.00	0.016063
604.00	0.016308
605.00	0.016030
606.00	0.016280
607.00	0.016378
608.00	0.016440
609.00	0.017084
610.00	0.017406
611.00	0.017788
612.00	0.018848
613.00	0.020033
614.00	0.021028
615.00	0.022489
616.00	0.024001
617.00	0.026676
618.00	0.028807
619.00	0.031481
620.00	0.031984
621.00	0.032529
622.00	0.032403
623.00	0.032443
624.00	0.032411
625.00	0.032601
626.00	0.033608
627.00	0.033995
628.00	0.033569
629.00	0.033379
630.00	0.033142
631.00	0.032351
632.00	0.031917
633.00	0.031681
634.00	0.030321
635.00	0.029248
636.00	0.028037
637.00	0.027414
638.00	0.027169
639.00	0.026207
640.00	0.025826
641.00	0.026144
642.00	0.026617
643.00	0.027049
644.00	0.028334
645.00	0.030088
646.00	0.031709
647.00	0.033839
648.00	0.037233
649.00	0.040729
650.00	0.042978
651.00	0.045070
652.00	0.047258
653.00	0.047910
654.00	0.047951
655.00	0.048363
656.00	0.048620
657.00	0.049989
658.00	0.050863
659.00	0.053459
660.00	0.056391
661.00	0.058801
662.00	0.062344
663.00	0.064789
664.00	0.068293
665.00	0.071154
666.00	0.073562
667.00	0.075033
668.00	0.075353
669.00	0.076419
670.00	0.076589
671.00	0.077261
672.00	0.079111
673.00	0.082147
674.00	0.088392
675.00	0.098464
676.00	0.11104
677.00	0.12728
678.00	0.15049
679.00	0.18184
680.00	0.21990
681.00	0.26286
682.00	0.30900
683.00	0.34857
684.00	0.38060
685.00	0.39178
686.00	0.38331
687.00	0.35403
688.00	0.31088
689.00	0.26767
690.00	0.22842
691.00	0.19017
692.00	0.15669
693.00	0.12746
694.00	0.10098
695.00	0.080920
696.00	0.065738
697.00	0.053926
698.00	0.045191
699.00	0.036723
700.00	0.031434
701.00	0.026091
702.00	0.021983
703.00	0.018956
704.00	0.016728
705.00	0.015034
706.00	0.013024
707.00	0.011557
708.00	0.010959
709.00	0.0096319
710.00	0.0088130
711.00	0.0083691
712.00	0.0071825
713.00	0.0067998
714.00	0.0062342
715.00	0.0059837
716.00	0.0060702
717.00	0.0054936
718.00	0.0050434
719.00	0.0050490
720.00	0.0043019
721.00	0.0044728
722.00	0.0049986
723.00	0.0039534
724.00	0.0042814
725.00	0.0044545
726.00	0.0038495
727.00	0.0033149
728.00	0.0031328
729.00	0.0035409
730.00	0.0037978
