Wavelength (nm)	G06 abs e
240.00	8066.0
241.00	8877.6
242.00	9440.6
243.00	9274.5
244.00	8638.5
245.00	7791.3
246.00	6952.9
247.00	6236.7
248.00	5672.6
249.00	5259.0
250.00	4975.3
251.00	4796.6
252.00	4709.8
253.00	4686.5
254.00	4723.5
255.00	4803.5
256.00	4927.3
257.00	5081.2
258.00	5269.1
259.00	5476.4
260.00	5703.0
261.00	5943.6
262.00	6194.7
263.00	6461.9
264.00	6733.7
265.00	7023.0
266.00	7307.1
267.00	7622.2
268.00	7939.4
269.00	8278.7
270.00	8662.9
271.00	9063.6
272.00	9470.6
273.00	9862.6
274.00	10219
275.00	10515
276.00	10737
277.00	10918
278.00	11036
279.00	11062
280.00	11091
281.00	11157
282.00	11265
283.00	11440
284.00	11688
285.00	11972
286.00	12188
287.00	12300
288.00	12222
289.00	11968
290.00	11452
291.00	10740
292.00	9803.2
293.00	8723.5
294.00	7574.6
295.00	6427.8
296.00	5345.5
297.00	4356.0
298.00	3483.9
299.00	2747.0
300.00	2140.9
301.00	1656.9
302.00	1274.5
303.00	974.64
304.00	749.92
305.00	580.25
306.00	452.59
307.00	359.74
308.00	294.98
309.00	249.06
310.00	214.91
311.00	189.78
312.00	172.61
313.00	162.34
314.00	156.41
315.00	154.43
316.00	155.55
317.00	156.73
318.00	158.74
319.00	160.79
320.00	170.13
321.00	174.98
322.00	183.64
323.00	191.68
324.00	199.88
325.00	203.71
326.00	209.87
327.00	220.89
328.00	231.56
329.00	243.49
330.00	251.49
331.00	261.72
332.00	274.70
333.00	288.19
334.00	301.98
335.00	313.67
336.00	326.64
337.00	339.18
338.00	351.30
339.00	365.62
340.00	378.92
341.00	393.47
342.00	404.66
343.00	417.93
344.00	432.24
345.00	441.82
346.00	457.91
347.00	470.92
348.00	486.83
349.00	501.84
350.00	516.91
351.00	529.71
352.00	544.78
353.00	559.82
354.00	574.35
355.00	589.41
356.00	600.81
357.00	612.88
358.00	624.13
359.00	635.56
360.00	648.66
361.00	664.26
362.00	677.55
363.00	690.53
364.00	700.76
365.00	712.91
366.00	728.30
367.00	741.62
368.00	757.11
369.00	772.44
370.00	783.75
371.00	797.04
372.00	807.52
373.00	814.00
374.00	831.27
375.00	845.32
376.00	851.84
377.00	860.34
378.00	864.47
379.00	879.19
380.00	887.43
381.00	891.83
382.00	897.32
383.00	898.28
384.00	904.16
385.00	904.47
386.00	909.13
387.00	913.13
388.00	914.15
389.00	914.37
390.00	910.76
391.00	905.85
392.00	906.54
393.00	904.52
394.00	901.67
395.00	898.02
396.00	887.56
397.00	879.83
398.00	871.27
399.00	862.32
400.00	860.14
401.00	847.61
402.00	829.52
403.00	821.86
404.00	811.64
405.00	794.52
406.00	783.42
407.00	768.94
408.00	759.50
409.00	741.94
410.00	722.25
411.00	710.33
412.00	697.36
413.00	681.09
414.00	662.51
415.00	645.13
416.00	625.53
417.00	609.18
418.00	593.77
419.00	574.14
420.00	558.77
421.00	539.25
422.00	519.26
423.00	502.95
424.00	483.46
425.00	468.03
426.00	454.28
427.00	438.43
428.00	419.14
429.00	398.99
430.00	382.80
431.00	367.02
432.00	356.51
433.00	338.72
434.00	321.53
435.00	306.23
436.00	292.14
437.00	281.79
438.00	269.73
439.00	254.01
440.00	239.24
441.00	227.20
442.00	218.45
443.00	203.66
444.00	198.80
445.00	186.73
446.00	176.91
447.00	170.79
448.00	160.91
449.00	148.68
450.00	145.37
451.00	135.85
452.00	125.86
453.00	119.80
454.00	113.00
455.00	105.89
456.00	101.46
457.00	101.85
458.00	92.264
459.00	85.675
460.00	75.304
461.00	79.101
462.00	70.675
463.00	70.115
464.00	69.063
465.00	67.606
466.00	61.807
467.00	57.830
468.00	52.965
469.00	51.779
470.00	51.425
471.00	51.851
472.00	40.423
473.00	41.731
474.00	38.016
475.00	34.983
476.00	37.123
477.00	38.365
478.00	31.586
479.00	32.160
480.00	24.750
481.00	25.068
482.00	24.801
483.00	26.705
484.00	25.504
485.00	17.268
486.00	20.896
487.00	14.887
488.00	14.486
489.00	19.998
490.00	18.469
491.00	15.862
492.00	15.923
493.00	16.354
494.00	13.168
495.00	17.078
496.00	17.232
497.00	19.767
498.00	12.341
499.00	11.936
500.00	6.8759
