Wavelength (nm)	S08 abs e
693.00	5142.7
694.00	5221.7
695.00	5348.8
696.00	5365.0
697.00	5475.5
698.00	5489.2
699.00	5613.7
700.00	5709.4
701.00	5710.0
702.00	5832.4
703.00	5916.9
704.00	5962.1
705.00	6054.8
706.00	6163.4
707.00	6310.4
708.00	6425.0
709.00	6562.0
710.00	6635.0
711.00	6828.7
712.00	6983.2
713.00	7154.3
714.00	7283.5
715.00	7504.6
716.00	7650.9
717.00	7746.9
718.00	7845.5
719.00	7985.8
720.00	8167.5
721.00	8306.5
722.00	8416.5
723.00	8515.9
724.00	8653.9
725.00	8728.4
726.00	8794.1
727.00	8868.3
728.00	8987.2
729.00	9119.3
730.00	9263.5
731.00	9440.2
732.00	9608.9
733.00	9872.6
734.00	10152
735.00	10471
736.00	10823
737.00	11289
738.00	11879
739.00	12444
740.00	13047
741.00	13785
742.00	14568
743.00	15427
744.00	16487
745.00	17489
746.00	18639
747.00	19871
748.00	20992
749.00	22337
750.00	23615
751.00	24749
752.00	25998
753.00	27115
754.00	28238
755.00	29207
756.00	30136
757.00	30900
758.00	31525
759.00	31974
760.00	32336
761.00	32654
762.00	32691
763.00	32671
764.00	32497
765.00	32235
766.00	31858
767.00	31438
768.00	30874
769.00	30369
770.00	29729
771.00	29045
772.00	28346
773.00	27689
774.00	26959
775.00	26261
776.00	25633
777.00	24918
778.00	24289
779.00	23689
780.00	23135
781.00	22577
782.00	21942
783.00	21687
784.00	21217
785.00	20809
786.00	20459
787.00	20190
788.00	19991
789.00	19777
790.00	19731
791.00	19593
792.00	19620
793.00	19737
794.00	19904
795.00	20088
796.00	20273
797.00	20660
798.00	21076
799.00	21556
800.00	21947
801.00	22407
802.00	23055
803.00	23705
804.00	24236
805.00	24999
806.00	25639
807.00	26096
808.00	26706
809.00	27259
810.00	27798
811.00	28304
812.00	28711
813.00	29263
814.00	29666
815.00	29848
816.00	30118
817.00	30228
818.00	30472
819.00	30668
820.00	30773
821.00	30915
822.00	31126
823.00	31331
824.00	31502
825.00	31649
826.00	32050
827.00	32606
828.00	33177
829.00	34061
830.00	34751
831.00	35928
832.00	37318
833.00	38957
834.00	40832
835.00	42884
836.00	45499
837.00	48245
838.00	51434
839.00	55063
840.00	58954
841.00	63427
842.00	68034
843.00	73248
844.00	78781
845.00	84520
846.00	90557
847.00	96708
848.00	1.0382e+05
849.00	1.1110e+05
850.00	1.1735e+05
851.00	1.2430e+05
852.00	1.3198e+05
853.00	1.3803e+05
854.00	1.4452e+05
855.00	1.5073e+05
856.00	1.5672e+05
857.00	1.6196e+05
858.00	1.6661e+05
859.00	1.7073e+05
860.00	1.7433e+05
861.00	1.7622e+05
862.00	1.7935e+05
863.00	1.8080e+05
864.00	1.8070e+05
865.00	1.8100e+05
866.00	1.8031e+05
867.00	1.7904e+05
868.00	1.7693e+05
869.00	1.7250e+05
870.00	1.6954e+05
871.00	1.6525e+05
872.00	1.6115e+05
873.00	1.5617e+05
874.00	1.4967e+05
875.00	1.4549e+05
876.00	1.3859e+05
877.00	1.3281e+05
878.00	1.2574e+05
879.00	1.1993e+05
880.00	1.1362e+05
881.00	1.0794e+05
882.00	1.0117e+05
883.00	95459
884.00	89076
885.00	83294
886.00	77885
887.00	72691
888.00	67511
889.00	62600
890.00	57780
891.00	53426
892.00	49300
893.00	45529
894.00	41760
895.00	38341
896.00	35186
897.00	32318
898.00	29612
899.00	27001
900.00	24502
901.00	22549
902.00	20524
903.00	18714
904.00	17017
905.00	15538
906.00	14129
907.00	12966
908.00	11787
909.00	10745
910.00	9849.5
911.00	8949.1
912.00	8251.4
913.00	7653.6
914.00	7015.8
915.00	6400.2
916.00	5817.3
917.00	5295.8
918.00	4897.3
919.00	4558.5
920.00	4192.3
921.00	3994.9
922.00	3604.2
923.00	3417.1
924.00	3239.6
925.00	2862.9
926.00	2713.6
927.00	2533.6
928.00	2414.0
929.00	2165.8
930.00	1992.0
931.00	1972.9
932.00	1824.6
933.00	1645.1
934.00	1683.1
935.00	1603.7
936.00	1531.3
937.00	1488.6
938.00	1290.5
939.00	1245.4
940.00	1191.6
941.00	1033.5
942.00	1210.8
943.00	859.71
944.00	1103.9
945.00	931.90
946.00	1033.6
947.00	986.61
948.00	722.55
949.00	961.49
950.00	867.80
951.00	590.40
952.00	823.26
953.00	788.97
954.00	551.80
955.00	714.92
956.00	677.70
957.00	585.47
958.00	622.07
959.00	608.28
960.00	587.55
961.00	645.03
962.00	507.34
963.00	666.84
964.00	589.25
965.00	554.10
966.00	458.83
967.00	423.68
968.00	407.32
969.00	358.86
970.00	286.66
971.00	572.37
972.00	267.01
973.00	433.14
974.00	213.15
975.00	446.93
976.00	337.90
977.00	526.83
978.00	435.83
979.00	242.66
980.00	566.90
981.00	468.89
982.00	744.90
983.00	521.52
984.00	620.68
985.00	239.19
986.00	599.19
987.00	303.22
988.00	660.37
989.00	525.14
990.00	476.90
991.00	731.57
992.00	307.77
993.00	483.07
994.00	499.79
995.00	498.56
996.00	650.97
997.00	752.52
998.00	778.26
999.00	622.84
1000.0	479.68
