Wavelength (nm)	P06 abs e
492.00	89665
492.50	86356
493.00	83137
493.50	79655
494.00	76154
494.50	72537
495.00	68999
495.50	65327
496.00	61756
496.50	58130
497.00	54679
497.50	51204
498.00	47879
498.50	44625
499.00	41555
499.50	38554
500.00	35781
500.50	33067
501.00	30580
501.50	28131
502.00	25912
502.50	23751
503.00	21804
503.50	19953
504.00	18262
504.50	16655
505.00	15278
505.50	13883
506.00	12645
506.50	11528
507.00	10497
507.50	9491.0
508.00	8675.6
508.50	7869.4
509.00	7104.7
509.50	6468.7
510.00	5873.1
510.50	5306.1
511.00	4785.1
511.50	4405.6
512.00	3964.1
512.50	3574.2
513.00	3282.1
513.50	2962.4
514.00	2674.9
514.50	2450.6
515.00	2235.6
515.50	2001.0
516.00	1838.8
516.50	1692.8
517.00	1529.5
517.50	1353.5
518.00	1245.4
518.50	1176.5
519.00	1051.1
519.50	962.55
520.00	908.50
520.50	807.30
521.00	740.60
521.50	686.55
522.00	652.05
522.50	587.65
523.00	547.40
523.50	541.65
524.00	447.35
524.50	422.05
525.00	415.15
525.50	366.85
526.00	351.90
526.50	366.85
527.00	311.65
527.50	277.15
528.00	290.95
528.50	293.25
529.00	241.50
529.50	239.20
530.00	234.60
530.50	208.15
531.00	194.35
531.50	210.45
532.00	210.45
532.50	173.65
533.00	192.05
533.50	184.00
534.00	163.30
534.50	147.20
535.00	169.05
535.50	139.15
536.00	148.35
536.50	169.05
537.00	136.85
537.50	152.95
538.00	162.15
538.50	166.75
539.00	116.15
539.50	144.90
540.00	154.10
540.50	141.45
541.00	134.55
541.50	144.90
542.00	140.30
542.50	131.10
543.00	149.50
543.50	143.75
544.00	129.95
544.50	146.05
545.00	143.75
545.50	119.60
546.00	113.16
546.50	155.25
547.00	119.60
547.50	104.31
548.00	121.90
548.50	134.55
549.00	103.96
549.50	107.18
550.00	144.90
