Wavelength (nm)	J17 abs e
280.00	25043
281.00	24871
282.00	24730
283.00	24634
284.00	24559
285.00	24504
286.00	24514
287.00	24546
288.00	24623
289.00	24745
290.00	24897
291.00	25089
292.00	25340
293.00	25615
294.00	25929
295.00	26293
296.00	26666
297.00	27102
298.00	27544
299.00	28005
300.00	28501
301.00	29002
302.00	29530
303.00	30060
304.00	30609
305.00	31113
306.00	31623
307.00	32157
308.00	32674
309.00	33157
310.00	33642
311.00	34105
312.00	34559
313.00	34938
314.00	35355
315.00	35674
316.00	35988
317.00	36316
318.00	36554
319.00	36839
320.00	37022
321.00	37201
322.00	37376
323.00	37609
324.00	37740
325.00	37881
326.00	38047
327.00	38196
328.00	38360
329.00	38497
330.00	38638
331.00	38752
332.00	38842
333.00	38989
334.00	39062
335.00	39146
336.00	39244
337.00	39296
338.00	39327
339.00	39372
340.00	39364
341.00	39344
342.00	39331
343.00	39294
344.00	39204
345.00	39102
346.00	38953
347.00	38780
348.00	38636
349.00	38365
350.00	38106
351.00	37854
352.00	37513
353.00	37181
354.00	36852
355.00	36440
356.00	36067
357.00	35647
358.00	35197
359.00	34747
360.00	34321
361.00	33821
362.00	33344
363.00	32833
364.00	32335
365.00	31855
366.00	31338
367.00	30832
368.00	30389
369.00	29906
370.00	29427
371.00	29019
372.00	28587
373.00	28156
374.00	27724
375.00	27318
376.00	26884
377.00	26498
378.00	26141
379.00	25739
380.00	25371
381.00	25043
382.00	24665
383.00	24332
384.00	23995
385.00	23621
386.00	23247
387.00	22865
388.00	22520
389.00	22246
390.00	21885
391.00	21583
392.00	21276
393.00	21027
394.00	20827
395.00	20626
396.00	20466
397.00	20308
398.00	20220
399.00	20161
400.00	20160
401.00	20172
402.00	20235
403.00	20318
404.00	20443
405.00	20594
406.00	20754
407.00	20970
408.00	21232
409.00	21504
410.00	21772
411.00	22062
412.00	22404
413.00	22723
414.00	23032
415.00	23422
416.00	23784
417.00	24187
418.00	24586
419.00	24987
420.00	25416
421.00	25859
422.00	26273
423.00	26685
424.00	27130
425.00	27530
426.00	28038
427.00	28503
428.00	28916
429.00	29362
430.00	29838
431.00	30252
432.00	30735
433.00	31163
434.00	31630
435.00	32063
436.00	32504
437.00	32960
438.00	33402
439.00	33848
440.00	34282
441.00	34759
442.00	35125
443.00	35604
444.00	36009
445.00	36375
446.00	36813
447.00	37190
448.00	37609
449.00	38082
450.00	38495
451.00	38845
452.00	39218
453.00	39613
454.00	40073
455.00	40513
456.00	40833
457.00	41246
458.00	41616
459.00	42034
460.00	42439
461.00	42794
462.00	43164
463.00	43563
464.00	43881
465.00	44270
466.00	44549
467.00	44953
468.00	45239
469.00	45433
470.00	45799
471.00	45945
472.00	46384
473.00	46497
474.00	46828
475.00	47099
476.00	47038
477.00	47323
478.00	47399
479.00	47671
480.00	47753
481.00	47829
482.00	47860
483.00	48000
484.00	47996
485.00	47995
486.00	47865
487.00	47880
488.00	47762
489.00	47785
490.00	47536
491.00	47344
492.00	47212
493.00	47068
494.00	46791
495.00	46590
496.00	46294
497.00	46029
498.00	45672
499.00	45250
500.00	44965
501.00	44567
502.00	44112
503.00	43573
504.00	43235
505.00	42711
506.00	42217
507.00	41587
508.00	41090
509.00	40615
510.00	40057
511.00	39547
512.00	38942
513.00	38367
514.00	37827
515.00	37278
516.00	36726
517.00	36167
518.00	35726
519.00	35080
520.00	34588
521.00	33978
522.00	33510
523.00	32990
524.00	32414
525.00	31882
526.00	31403
527.00	30967
528.00	30398
529.00	29925
530.00	29478
531.00	29032
532.00	28502
533.00	28002
534.00	27514
535.00	27050
536.00	26560
537.00	26067
538.00	25515
539.00	25069
540.00	24560
541.00	24042
542.00	23514
543.00	23033
544.00	22475
545.00	21962
546.00	21460
547.00	20893
548.00	20386
549.00	19858
550.00	19325
551.00	18784
552.00	18241
553.00	17684
554.00	17197
555.00	16637
556.00	16112
557.00	15605
558.00	15071
559.00	14542
560.00	14035
561.00	13542
562.00	13049
563.00	12564
564.00	12077
565.00	11610
566.00	11134
567.00	10676
568.00	10225
569.00	9781.0
570.00	9368.5
571.00	8954.9
572.00	8564.2
573.00	8161.9
574.00	7779.0
575.00	7416.2
576.00	7053.8
577.00	6685.2
578.00	6366.0
579.00	6053.6
580.00	5712.6
581.00	5402.6
582.00	5137.5
583.00	4882.2
584.00	4567.1
585.00	4308.1
586.00	4082.7
587.00	3826.8
588.00	3600.5
589.00	3401.8
590.00	3180.2
591.00	2989.4
592.00	2792.2
593.00	2611.7
594.00	2451.5
595.00	2296.0
596.00	2157.1
597.00	2008.9
598.00	1864.0
599.00	1746.7
600.00	1630.4
601.00	1521.8
602.00	1415.7
603.00	1320.2
604.00	1238.8
605.00	1150.7
606.00	1072.1
607.00	999.41
608.00	932.93
609.00	871.93
610.00	811.49
611.00	755.95
612.00	708.81
613.00	667.21
614.00	621.42
615.00	580.31
616.00	548.00
617.00	517.19
618.00	485.28
619.00	454.06
620.00	424.49
621.00	405.41
622.00	382.83
623.00	363.23
624.00	352.30
625.00	329.18
626.00	316.97
627.00	304.47
628.00	288.10
629.00	281.52
630.00	271.83
631.00	264.06
632.00	252.55
633.00	246.11
634.00	237.32
635.00	230.57
636.00	225.59
637.00	221.52
638.00	217.01
639.00	212.92
640.00	209.02
641.00	196.61
642.00	195.40
643.00	184.96
644.00	176.09
645.00	163.34
646.00	169.57
647.00	150.49
648.00	166.98
649.00	148.54
650.00	145.40
651.00	150.13
652.00	149.40
653.00	145.79
654.00	131.56
655.00	141.99
656.00	126.95
657.00	117.21
658.00	130.68
659.00	127.93
660.00	126.64
661.00	118.67
662.00	128.34
663.00	127.10
664.00	117.19
665.00	107.18
666.00	117.41
667.00	117.53
668.00	118.26
669.00	110.21
670.00	111.45
671.00	116.89
672.00	109.52
673.00	102.43
674.00	112.44
675.00	106.66
676.00	104.58
677.00	107.65
678.00	104.23
679.00	99.808
680.00	101.61
681.00	105.07
682.00	97.917
683.00	92.846
684.00	90.525
685.00	97.616
686.00	90.375
687.00	98.604
688.00	90.676
689.00	87.539
690.00	92.373
691.00	93.469
692.00	94.178
693.00	84.423
694.00	88.398
695.00	87.388
696.00	83.950
697.00	87.754
698.00	83.757
699.00	80.942
700.00	82.683
