Wavelength (nm)	C01 ems
480.00	924.52
480.50	930.94
481.00	935.17
481.50	949.34
482.00	942.55
482.50	892.48
483.00	863.30
483.50	958.69
484.00	939.55
484.50	889.01
485.00	849.45
485.50	897.15
486.00	895.53
486.50	958.14
487.00	851.58
487.50	886.05
488.00	871.89
488.50	867.90
489.00	908.27
489.50	851.86
490.00	892.35
490.50	819.80
491.00	883.48
491.50	889.93
492.00	871.05
492.50	887.88
493.00	859.65
493.50	755.93
494.00	873.68
494.50	813.78
495.00	862.13
495.50	809.07
496.00	792.09
496.50	737.45
497.00	847.33
497.50	799.64
498.00	810.83
498.50	804.29
499.00	769.23
499.50	799.44
500.00	797.58
