Wavelength (nm)	FL123 [12] 153-18-4, Rutin [M]
210.00	33237
211.00	32004
212.00	30556
213.00	28858
214.00	27034
215.00	25136
216.00	23297
217.00	21666
218.00	20349
219.00	19312
220.00	18421
221.00	17670
222.00	17018
223.00	16449
224.00	15945
225.00	15493
226.00	15036
227.00	14608
228.00	14126
229.00	13692
230.00	13231
231.00	12812
232.00	12419
233.00	12072
234.00	11780
235.00	11535
236.00	11381
237.00	11294
238.00	11292
239.00	11351
240.00	11504
241.00	11739
242.00	12056
243.00	12438
244.00	12907
245.00	13413
246.00	13988
247.00	14593
248.00	15205
249.00	15864
250.00	16549
251.00	17202
252.00	17854
253.00	18441
254.00	18966
255.00	19384
256.00	19649
257.00	19725
258.00	19709
259.00	19537
260.00	19239
261.00	18930
262.00	18575
263.00	18233
264.00	17970
265.00	17711
266.00	17496
267.00	17174
268.00	16796
269.00	16224
270.00	15481
271.00	14494
272.00	13381
273.00	12153
274.00	10913
275.00	9714.8
276.00	8709.4
277.00	7912.8
278.00	7318.1
279.00	6916.4
280.00	6656.0
281.00	6516.8
282.00	6459.4
283.00	6466.8
284.00	6525.2
285.00	6607.4
286.00	6710.9
287.00	6843.1
288.00	6967.9
289.00	7095.5
290.00	7211.1
291.00	7321.7
292.00	7437.7
293.00	7528.8
294.00	7615.9
295.00	7691.0
296.00	7741.1
297.00	7772.1
298.00	7823.4
299.00	7846.7
300.00	7872.0
301.00	7907.9
302.00	7921.3
303.00	7964.4
304.00	7980.6
305.00	8004.6
306.00	8033.4
307.00	8056.4
308.00	8080.5
309.00	8100.3
310.00	8142.2
311.00	8185.3
312.00	8232.6
313.00	8270.2
314.00	8323.0
315.00	8406.4
316.00	8500.7
317.00	8606.3
318.00	8720.5
319.00	8847.8
320.00	8986.2
321.00	9125.3
322.00	9296.4
323.00	9486.0
324.00	9670.5
325.00	9874.8
326.00	10068
327.00	10281
328.00	10509
329.00	10730
330.00	10992
331.00	11218
332.00	11467
333.00	11700
334.00	11946
335.00	12203
336.00	12472
337.00	12746
338.00	12994
339.00	13240
340.00	13498
341.00	13752
342.00	13996
343.00	14230
344.00	14486
345.00	14740
346.00	14976
347.00	15201
348.00	15385
349.00	15585
350.00	15758
351.00	15942
352.00	16148
353.00	16272
354.00	16408
355.00	16485
356.00	16517
357.00	16573
358.00	16628
359.00	16700
360.00	16699
361.00	16640
362.00	16576
363.00	16469
364.00	16399
365.00	16263
366.00	16109
367.00	15906
368.00	15672
369.00	15446
370.00	15138
371.00	14840
372.00	14545
373.00	14104
374.00	13804
375.00	13482
376.00	13130
377.00	12649
378.00	12215
379.00	11787
380.00	11347
381.00	10900
382.00	10432
383.00	9982.7
384.00	9516.7
385.00	8999.2
386.00	8511.4
387.00	8053.3
388.00	7618.7
389.00	7164.7
390.00	6676.7
391.00	6196.1
392.00	5772.0
393.00	5343.5
394.00	4961.0
395.00	4578.0
396.00	4213.8
397.00	3848.7
398.00	3504.0
399.00	3184.6
400.00	2916.0
401.00	2632.4
402.00	2370.1
403.00	2147.9
404.00	1918.4
405.00	1711.6
406.00	1537.9
407.00	1379.8
408.00	1220.8
409.00	1071.2
410.00	968.38
411.00	856.44
412.00	765.68
413.00	672.29
414.00	601.30
415.00	517.23
416.00	468.18
417.00	417.42
418.00	369.53
419.00	326.43
420.00	291.24
421.00	257.17
422.00	227.31
423.00	205.65
424.00	188.96
425.00	171.88
426.00	164.32
427.00	144.25
428.00	135.71
429.00	126.77
430.00	110.28
431.00	116.73
432.00	103.92
433.00	90.283
434.00	90.645
435.00	94.036
436.00	81.368
437.00	65.346
438.00	59.037
439.00	52.129
440.00	59.935
441.00	67.079
442.00	57.142
443.00	42.965
444.00	51.643
445.00	50.222
446.00	61.144
447.00	54.112
448.00	47.179
449.00	54.436
450.00	40.159
451.00	30.110
452.00	55.334
453.00	53.152
454.00	58.189
455.00	52.079
456.00	44.735
457.00	33.127
458.00	29.000
459.00	37.903
460.00	46.094
461.00	53.364
462.00	45.870
463.00	19.050
464.00	37.267
465.00	29.736
466.00	22.990
467.00	21.145
468.00	18.776
469.00	50.496
470.00	58.638
471.00	37.803
472.00	31.494
473.00	40.359
474.00	35.172
475.00	22.816
476.00	37.130
477.00	46.656
478.00	33.888
479.00	23.215
480.00	23.127
481.00	26.893
482.00	44.997
483.00	39.012
484.00	48.189
485.00	28.177
486.00	22.516
487.00	23.165
488.00	29.287
489.00	51.119
490.00	16.132
491.00	9.6612
492.00	6.1701
493.00	24.050
494.00	33.588
495.00	4.3870
496.00	19.087
497.00	18.402
498.00	29.810
499.00	36.656
500.00	33.127
