Wavelength (nm)	Chem Eur J 2018_2987, E4-Me (CHCl3) abs [Z]
250.00	0.70928
251.00	0.69933
252.00	0.69231
253.00	0.68782
254.00	0.68571
255.00	0.68692
256.00	0.68924
257.00	0.69462
258.00	0.70249
259.00	0.71036
260.00	0.71823
261.00	0.72666
262.00	0.73514
263.00	0.74361
264.00	0.75226
265.00	0.76128
266.00	0.77030
267.00	0.77799
268.00	0.78534
269.00	0.79238
270.00	0.79704
271.00	0.80169
272.00	0.80450
273.00	0.80612
274.00	0.80774
275.00	0.80798
276.00	0.80658
277.00	0.80519
278.00	0.80327
279.00	0.80024
280.00	0.79722
281.00	0.79419
282.00	0.79172
283.00	0.78949
284.00	0.78726
285.00	0.78503
286.00	0.78403
287.00	0.78340
288.00	0.78277
289.00	0.78331
290.00	0.78646
291.00	0.78962
292.00	0.79278
293.00	0.79921
294.00	0.80628
295.00	0.81334
296.00	0.82040
297.00	0.83174
298.00	0.84350
299.00	0.85526
300.00	0.86702
301.00	0.87938
302.00	0.89425
303.00	0.90912
304.00	0.92399
305.00	0.93816
306.00	0.95033
307.00	0.96250
308.00	0.97312
309.00	0.98318
310.00	0.99324
311.00	0.99598
312.00	0.99799
313.00	1.0000
314.00	0.99677
315.00	0.99251
316.00	0.98388
317.00	0.97525
318.00	0.96076
319.00	0.94621
320.00	0.92755
321.00	0.90647
322.00	0.88538
323.00	0.86430
324.00	0.84218
325.00	0.81655
326.00	0.79092
327.00	0.76529
328.00	0.73966
329.00	0.71567
330.00	0.69250
331.00	0.66933
332.00	0.64673
333.00	0.62515
334.00	0.60357
335.00	0.58199
336.00	0.56040
337.00	0.54150
338.00	0.52271
339.00	0.50391
340.00	0.48479
341.00	0.46427
342.00	0.44375
343.00	0.42322
344.00	0.40479
345.00	0.38665
346.00	0.36851
347.00	0.35474
348.00	0.34250
349.00	0.33026
350.00	0.31803
351.00	0.30830
352.00	0.29919
353.00	0.29009
354.00	0.28205
355.00	0.27857
356.00	0.27509
357.00	0.27169
358.00	0.27021
359.00	0.26874
360.00	0.26726
361.00	0.26751
362.00	0.26900
363.00	0.27049
364.00	0.27199
365.00	0.27382
366.00	0.27720
367.00	0.28057
368.00	0.28395
369.00	0.28733
370.00	0.29071
371.00	0.29604
372.00	0.30138
373.00	0.30673
374.00	0.31208
375.00	0.31743
376.00	0.32441
377.00	0.33180
378.00	0.33919
379.00	0.34658
380.00	0.35397
381.00	0.36136
382.00	0.36875
383.00	0.37629
384.00	0.38537
385.00	0.39445
386.00	0.40352
387.00	0.41260
388.00	0.42168
389.00	0.43076
390.00	0.43986
391.00	0.45091
392.00	0.46195
393.00	0.47299
394.00	0.48404
395.00	0.49508
396.00	0.50644
397.00	0.51911
398.00	0.53179
399.00	0.54446
400.00	0.55713
401.00	0.56981
402.00	0.58248
403.00	0.59516
404.00	0.60856
405.00	0.62236
406.00	0.63617
407.00	0.64998
408.00	0.66379
409.00	0.67759
410.00	0.68942
411.00	0.70121
412.00	0.71300
413.00	0.72478
414.00	0.73617
415.00	0.74750
416.00	0.75883
417.00	0.77016
418.00	0.78150
419.00	0.79195
420.00	0.80166
421.00	0.81138
422.00	0.82093
423.00	0.82867
424.00	0.83640
425.00	0.84231
426.00	0.84751
427.00	0.85256
428.00	0.85469
429.00	0.85683
430.00	0.85502
431.00	0.85322
432.00	0.85088
433.00	0.84595
434.00	0.84102
435.00	0.83441
436.00	0.82688
437.00	0.81936
438.00	0.81043
439.00	0.79890
440.00	0.78736
441.00	0.77583
442.00	0.76429
443.00	0.75310
444.00	0.74200
445.00	0.73091
446.00	0.71981
447.00	0.70871
448.00	0.69761
449.00	0.68651
450.00	0.67542
451.00	0.66432
452.00	0.65328
453.00	0.64229
454.00	0.63130
455.00	0.62031
456.00	0.60932
457.00	0.59833
458.00	0.58734
459.00	0.57635
460.00	0.56393
461.00	0.55116
462.00	0.53838
463.00	0.52561
464.00	0.51283
465.00	0.50006
466.00	0.48691
467.00	0.47340
468.00	0.45989
469.00	0.44638
470.00	0.43287
471.00	0.41936
472.00	0.40585
473.00	0.39225
474.00	0.37859
475.00	0.36492
476.00	0.35126
477.00	0.33760
478.00	0.32394
479.00	0.31027
480.00	0.29661
481.00	0.28336
482.00	0.27069
483.00	0.25802
484.00	0.24536
485.00	0.23269
486.00	0.22003
487.00	0.20736
488.00	0.19567
489.00	0.18500
490.00	0.17434
491.00	0.16367
492.00	0.15300
493.00	0.14233
494.00	0.13321
495.00	0.12486
496.00	0.11651
497.00	0.10816
498.00	0.099809
499.00	0.091781
500.00	0.085448
501.00	0.079114
502.00	0.072781
503.00	0.066448
504.00	0.060115
505.00	0.055812
506.00	0.051571
