Wavelength (nm)	E01 abs e
210.00	253.20
211.00	212.23
212.00	194.11
213.00	188.76
214.00	190.64
215.00	196.40
216.00	205.04
217.00	215.09
218.00	227.18
219.00	239.51
220.00	253.21
221.00	267.94
222.00	284.88
223.00	303.22
224.00	323.22
225.00	343.95
226.00	367.40
227.00	394.21
228.00	425.01
229.00	456.35
230.00	489.93
231.00	527.80
232.00	572.26
233.00	624.35
234.00	674.90
235.00	726.14
236.00	779.31
237.00	844.24
238.00	924.85
239.00	1002.0
240.00	1069.9
241.00	1132.0
242.00	1198.2
243.00	1292.0
244.00	1396.3
245.00	1474.4
246.00	1524.1
247.00	1556.4
248.00	1601.7
249.00	1685.1
250.00	1770.0
251.00	1800.0
252.00	1775.8
253.00	1728.6
254.00	1699.4
255.00	1719.4
256.00	1754.4
257.00	1731.0
258.00	1633.7
259.00	1505.5
260.00	1392.4
261.00	1322.1
262.00	1290.2
263.00	1247.3
264.00	1148.5
265.00	1010.0
266.00	863.77
267.00	733.33
268.00	621.15
269.00	525.71
270.00	445.43
271.00	378.62
272.00	321.36
273.00	273.32
274.00	231.66
275.00	196.25
276.00	165.32
277.00	138.71
278.00	115.73
279.00	95.861
280.00	79.018
281.00	64.727
282.00	52.904
283.00	42.747
284.00	34.290
285.00	27.576
286.00	22.088
287.00	17.612
288.00	14.140
289.00	11.633
290.00	9.4099
291.00	7.5938
292.00	6.5275
293.00	6.0035
294.00	5.1317
295.00	4.7724
296.00	4.5599
297.00	3.7598
298.00	3.5843
299.00	3.6526
300.00	3.6840
301.00	3.6114
302.00	3.8998
303.00	3.6362
304.00	3.4516
305.00	3.2126
306.00	3.4969
307.00	3.7425
308.00	3.6131
309.00	3.2818
310.00	2.6251
311.00	2.9951
312.00	3.3527
313.00	3.1335
314.00	3.1591
315.00	3.2810
316.00	3.2126
317.00	3.1986
318.00	3.1912
319.00	3.2917
320.00	3.0379
321.00	2.8418
322.00	3.2027
323.00	3.0058
324.00	2.7965
325.00	2.5271
326.00	3.0643
327.00	3.0520
328.00	3.3239
329.00	3.0338
330.00	2.4867
331.00	2.4653
332.00	2.7973
333.00	2.5823
334.00	2.5056
335.00	2.7232
336.00	2.2403
337.00	2.2609
338.00	2.3499
339.00	2.4109
340.00	2.7734
341.00	2.5922
342.00	2.4554
343.00	2.8196
344.00	2.3128
345.00	2.4842
346.00	2.3573
347.00	2.1892
348.00	2.4900
349.00	2.3252
350.00	2.5378
