Wavelength (nm)	Q30 abs e
350.00	35496
350.00	35496
350.00	35496
351.00	35139
352.00	34651
353.00	34112
354.00	33530
355.00	32887
356.00	32184
357.00	31496
358.00	30712
359.00	29946
360.00	29203
361.00	28458
362.00	27743
363.00	27077
364.00	26378
365.00	25740
366.00	25162
367.00	24603
368.00	24046
369.00	23565
370.00	23182
371.00	22731
372.00	22342
373.00	21966
374.00	21624
375.00	21307
376.00	20998
377.00	20787
378.00	20585
379.00	20383
380.00	20164
381.00	20004
382.00	19870
383.00	19784
384.00	19693
385.00	19371
386.00	19269
387.00	19162
388.00	19062
389.00	18978
390.00	18909
391.00	18837
392.00	18756
393.00	18711
394.00	18683
395.00	18604
396.00	18593
397.00	18539
398.00	18542
399.00	18526
400.00	18551
401.00	18597
402.00	18644
403.00	18716
404.00	18876
405.00	19020
406.00	19241
407.00	19479
408.00	19816
409.00	20192
410.00	20693
411.00	21237
412.00	21884
413.00	22608
414.00	23447
415.00	24387
416.00	25429
417.00	26590
418.00	27878
419.00	29271
420.00	30779
421.00	32441
422.00	34180
423.00	36129
424.00	38172
425.00	40371
426.00	42817
427.00	45530
428.00	48421
429.00	51707
430.00	55373
431.00	59456
432.00	64080
433.00	69277
434.00	75096
435.00	81547
436.00	88608
437.00	96237
438.00	1.0433e+05
439.00	1.1304e+05
440.00	1.2212e+05
441.00	1.3148e+05
442.00	1.4093e+05
443.00	1.5035e+05
444.00	1.5957e+05
445.00	1.6851e+05
446.00	1.7690e+05
447.00	1.8464e+05
448.00	1.9166e+05
449.00	1.9772e+05
450.00	2.0278e+05
451.00	2.0644e+05
452.00	2.0892e+05
453.00	2.1001e+05
454.00	2.0983e+05
455.00	2.0824e+05
456.00	2.0548e+05
457.00	2.0151e+05
458.00	1.9651e+05
459.00	1.9036e+05
460.00	1.8335e+05
461.00	1.7553e+05
462.00	1.6704e+05
463.00	1.5795e+05
464.00	1.4851e+05
465.00	1.3890e+05
466.00	1.2915e+05
467.00	1.1950e+05
468.00	1.1000e+05
469.00	1.0075e+05
470.00	91794
471.00	83315
472.00	75323
473.00	67879
474.00	60872
475.00	54509
476.00	48604
477.00	43249
478.00	38332
479.00	33955
480.00	30081
481.00	26596
482.00	23511
483.00	20826
484.00	18479
485.00	16418
486.00	14619
487.00	13091
488.00	11734
489.00	10580
490.00	9613.7
491.00	8754.5
492.00	8021.9
493.00	7415.8
494.00	6867.6
495.00	6414.4
496.00	6041.9
497.00	5716.9
498.00	5453.4
499.00	5235.5
500.00	5052.8
501.00	4875.3
502.00	4720.7
503.00	4625.9
504.00	4524.0
505.00	4416.8
506.00	4353.6
507.00	4272.7
508.00	4207.7
509.00	4148.0
510.00	4093.5
511.00	4051.4
512.00	4007.4
513.00	3958.3
514.00	3928.4
515.00	3882.7
516.00	3868.7
517.00	3851.1
518.00	3819.5
519.00	3796.6
520.00	3805.4
521.00	3794.9
522.00	3787.8
523.00	3796.6
524.00	3824.7
525.00	3833.5
526.00	3833.5
527.00	3866.9
528.00	3912.6
529.00	3905.5
530.00	3968.8
531.00	3995.1
532.00	4047.9
