Wavelength (nm)	FL032 [8] 67604-48-2, Naringenin [M]
210.00	23929
211.00	24261
212.00	24534
213.00	24634
214.00	24479
215.00	24222
216.00	23887
217.00	23433
218.00	23027
219.00	22721
220.00	22587
221.00	22574
222.00	22697
223.00	22850
224.00	22950
225.00	23000
226.00	22992
227.00	22889
228.00	22676
229.00	22342
230.00	21735
231.00	20834
232.00	19503
233.00	17765
234.00	15819
235.00	14024
236.00	12414
237.00	11011
238.00	9713.8
239.00	8310.6
240.00	6800.0
241.00	5393.8
242.00	4239.0
243.00	3432.9
244.00	2910.7
245.00	2588.2
246.00	2383.1
247.00	2257.1
248.00	2181.6
249.00	2138.9
250.00	2125.7
251.00	2135.6
252.00	2164.8
253.00	2209.3
254.00	2278.3
255.00	2369.7
256.00	2485.5
257.00	2630.4
258.00	2802.4
259.00	3013.8
260.00	3246.3
261.00	3513.3
262.00	3822.1
263.00	4159.1
264.00	4541.9
265.00	4957.3
266.00	5418.4
267.00	5926.7
268.00	6481.6
269.00	7036.7
270.00	7619.0
271.00	8251.1
272.00	8909.8
273.00	9591.9
274.00	10296
275.00	10981
276.00	11671
277.00	12326
278.00	12930
279.00	13547
280.00	14136
281.00	14696
282.00	15210
283.00	15654
284.00	16024
285.00	16304
286.00	16491
287.00	16595
288.00	16637
289.00	16624
290.00	16530
291.00	16330
292.00	16014
293.00	15611
294.00	15105
295.00	14510
296.00	13861
297.00	13169
298.00	12443
299.00	11684
300.00	10978
301.00	10280
302.00	9620.5
303.00	8940.4
304.00	8321.3
305.00	7740.0
306.00	7212.6
307.00	6705.8
308.00	6265.3
309.00	5846.8
310.00	5461.6
311.00	5128.0
312.00	4829.8
313.00	4586.1
314.00	4398.4
315.00	4248.4
316.00	4117.3
317.00	4005.3
318.00	3908.2
319.00	3842.5
320.00	3789.1
321.00	3739.0
322.00	3693.8
323.00	3651.1
324.00	3606.8
325.00	3562.7
326.00	3516.3
327.00	3477.5
328.00	3438.4
329.00	3400.1
330.00	3346.6
331.00	3293.3
332.00	3226.5
333.00	3164.5
334.00	3104.4
335.00	3024.2
336.00	2936.5
337.00	2843.5
338.00	2740.1
339.00	2638.1
340.00	2528.5
341.00	2425.3
342.00	2309.1
343.00	2194.5
344.00	2091.7
345.00	1971.2
346.00	1861.3
347.00	1744.6
348.00	1618.8
349.00	1513.8
350.00	1415.3
351.00	1316.6
352.00	1222.0
353.00	1124.1
354.00	1033.8
355.00	935.51
356.00	864.78
357.00	807.44
358.00	752.94
359.00	699.37
360.00	642.01
361.00	565.74
362.00	498.11
363.00	458.27
364.00	427.10
365.00	393.33
366.00	353.58
367.00	309.15
368.00	288.30
369.00	253.08
370.00	230.42
371.00	222.76
372.00	219.16
373.00	180.41
374.00	177.29
375.00	165.16
376.00	151.41
377.00	130.32
378.00	116.12
379.00	110.92
380.00	107.80
381.00	120.51
382.00	119.13
383.00	103.67
384.00	82.678
385.00	80.456
386.00	77.434
387.00	79.219
388.00	84.800
389.00	80.034
390.00	66.257
391.00	61.252
392.00	57.822
393.00	62.784
394.00	74.116
395.00	80.274
396.00	63.698
397.00	57.456
398.00	52.114
399.00	56.978
400.00	70.826
401.00	72.682
402.00	58.792
403.00	57.161
404.00	70.685
405.00	68.239
406.00	51.973
407.00	42.427
408.00	56.205
409.00	47.756
410.00	65.287
411.00	52.184
412.00	53.351
413.00	39.644
414.00	36.944
415.00	51.861
416.00	55.516
417.00	57.428
418.00	59.734
419.00	52.578
420.00	36.284
421.00	41.429
422.00	46.518
423.00	49.316
424.00	58.862
425.00	45.801
426.00	39.587
427.00	36.762
428.00	36.284
429.00	51.298
430.00	45.408
431.00	47.137
432.00	53.843
433.00	37.226
434.00	51.748
435.00	37.830
436.00	33.683
437.00	38.027
438.00	55.221
439.00	56.992
440.00	54.940
441.00	50.174
442.00	43.355
443.00	32.389
444.00	43.032
445.00	42.076
446.00	52.620
447.00	57.737
448.00	51.130
449.00	39.152
450.00	40.712
451.00	47.109
452.00	60.647
453.00	55.727
454.00	57.569
455.00	48.009
456.00	37.141
457.00	29.015
458.00	41.626
459.00	40.065
460.00	40.347
461.00	33.472
462.00	39.081
463.00	41.654
464.00	34.667
465.00	36.045
466.00	43.355
467.00	62.236
468.00	82.678
469.00	58.511
470.00	52.971
471.00	27.848
472.00	30.309
473.00	33.936
474.00	57.920
475.00	52.493
476.00	53.337
477.00	33.598
478.00	26.977
479.00	37.338
480.00	47.938
481.00	43.805
482.00	63.712
483.00	46.687
484.00	47.111
485.00	34.219
486.00	37.599
487.00	47.840
488.00	46.111
489.00	71.923
490.00	39.491
491.00	15.575
492.00	40.993
493.00	25.824
494.00	27.597
495.00	50.387
496.00	62.798
497.00	44.199
498.00	59.565
499.00	30.716
500.00	30.997
