Wavelength (nm)	FL070 [11] 70460-18-3, 3'-Hydroxyflavone [D]
230.00	14150
231.00	14483
232.00	14816
233.00	15210
234.00	15652
235.00	16124
236.00	16558
237.00	16955
238.00	17208
239.00	17424
240.00	17602
241.00	17668
242.00	17728
243.00	17661
244.00	17560
245.00	17336
246.00	17071
247.00	16688
248.00	16327
249.00	16004
250.00	15681
251.00	15371
252.00	15084
253.00	14796
254.00	14514
255.00	14233
256.00	13950
257.00	13667
258.00	13169
259.00	12607
260.00	11968
261.00	10972
262.00	9771.3
263.00	8637.2
264.00	7810.4
265.00	7263.2
266.00	6998.7
267.00	6903.6
268.00	7011.6
269.00	7171.1
270.00	7393.4
271.00	7715.9
272.00	8128.1
273.00	8575.2
274.00	9051.0
275.00	9532.7
276.00	10014
277.00	10668
278.00	11324
279.00	11962
280.00	12560
281.00	13158
282.00	13754
283.00	14339
284.00	14924
285.00	15476
286.00	15961
287.00	16446
288.00	16931
289.00	17353
290.00	17722
291.00	18031
292.00	18307
293.00	18466
294.00	18624
295.00	18713
296.00	18761
297.00	18800
298.00	18769
299.00	18739
300.00	18708
301.00	18659
302.00	18610
303.00	18544
304.00	18430
305.00	18317
306.00	18187
307.00	18036
308.00	17826
309.00	17530
310.00	17204
311.00	16848
312.00	16492
313.00	16056
314.00	15612
315.00	15167
316.00	14725
317.00	14287
318.00	13848
319.00	13406
320.00	12946
321.00	12485
322.00	12025
323.00	11564
324.00	11137
325.00	10717
326.00	10298
327.00	9879.3
328.00	9460.2
329.00	9045.4
330.00	8631.5
331.00	8217.6
332.00	7803.7
333.00	7406.7
334.00	7018.8
335.00	6631.0
336.00	6243.1
337.00	5854.0
338.00	5464.7
339.00	5075.5
340.00	4686.3
341.00	4361.4
342.00	4047.8
343.00	3734.2
344.00	3435.5
345.00	3171.6
346.00	2907.6
347.00	2645.4
348.00	2392.7
349.00	2140.1
350.00	1904.0
351.00	1723.1
352.00	1542.1
353.00	1361.2
354.00	1209.2
355.00	1092.4
356.00	975.66
357.00	858.91
358.00	752.23
359.00	685.83
360.00	619.44
361.00	553.05
362.00	486.66
363.00	424.29
364.00	384.76
365.00	345.22
366.00	305.69
367.00	266.16
368.00	241.44
369.00	221.92
370.00	202.40
371.00	182.89
372.00	163.37
373.00	155.12
374.00	147.71
375.00	140.30
376.00	132.89
377.00	125.48
378.00	119.92
379.00	116.22
380.00	112.52
381.00	108.82
382.00	105.12
383.00	101.42
384.00	98.281
385.00	95.411
386.00	92.542
387.00	89.672
388.00	86.803
389.00	83.933
390.00	81.064
391.00	78.259
392.00	76.036
393.00	73.812
394.00	71.589
395.00	69.366
396.00	66.436
397.00	63.507
398.00	60.577
399.00	57.647
400.00	54.718
