Wavelength (nm)	J18 abs e
281.82	8682.4
285.33	8646.4
288.61	8754.3
291.45	8988.2
295.61	9509.8
299.77	10067
303.27	10697
307.00	11291
310.28	11848
314.66	12406
318.82	12892
322.76	13305
326.26	13629
329.10	13917
332.39	14133
335.67	14349
340.27	14564
343.11	14636
346.40	14636
350.12	14510
353.84	14223
358.66	13665
361.94	13161
366.10	12514
370.69	11722
374.85	10967
379.45	10229
383.61	9617.8
388.43	8952.2
392.15	8538.5
396.09	8214.7
400.46	8088.8
404.62	8214.7
409.44	8592.5
413.60	9114.1
417.98	9725.7
422.14	10373
427.17	11237
431.99	12118
436.14	12981
440.96	13953
445.56	14852
449.94	15770
454.31	16723
459.13	17694
463.29	18630
467.67	19565
472.92	20716
477.52	21580
481.02	22281
484.52	22821
487.59	23270
490.87	23666
494.59	23882
497.00	23900
498.97	23846
501.38	23684
504.88	23324
507.72	22893
511.66	22137
516.70	21022
521.14	19727
525.89	18576
530.71	17209
536.40	15662
542.53	13773
547.56	12298
551.50	10913
554.57	9869.6
557.19	8952.2
560.26	7890.9
563.32	6901.6
567.70	5588.5
572.08	4509.2
576.68	3483.9
580.62	2638.5
585.65	1901.0
588.28	1487.3
591.56	1145.5
595.72	875.73
600.76	679.85
606.23	497.99
611.70	390.07
617.83	300.13
624.18	192.20
630.09	138.24
636.44	77.892
642.35	54.239
646.94	44.726
649.57	44.211
