Wavelength (nm)	N07 abs e
200.00	52224
201.00	53095
202.00	53365
203.00	54093
204.00	52976
205.00	51315
206.00	49606
207.00	48302
208.00	47047
209.00	45741
210.00	44737
211.00	43761
212.00	42907
213.00	42196
214.00	41536
215.00	41018
216.00	40528
217.00	40051
218.00	39591
219.00	39217
220.00	38846
221.00	38479
222.00	38169
223.00	37838
224.00	37439
225.00	36980
226.00	36429
227.00	35735
228.00	35015
229.00	34204
230.00	33375
231.00	32565
232.00	31833
233.00	31197
234.00	30673
235.00	30285
236.00	30049
237.00	29930
238.00	29896
239.00	29958
240.00	30069
241.00	30185
242.00	30324
243.00	30473
244.00	30625
245.00	30796
246.00	31008
247.00	31223
248.00	31434
249.00	31612
250.00	31712
251.00	31749
252.00	31735
253.00	31759
254.00	31823
255.00	31919
256.00	32032
257.00	32134
258.00	32197
259.00	32265
260.00	32283
261.00	32294
262.00	32316
263.00	32367
264.00	32462
265.00	32487
266.00	32320
267.00	31902
268.00	31222
269.00	30177
270.00	28764
271.00	27194
272.00	25491
273.00	23736
274.00	22050
275.00	20538
276.00	19143
277.00	17862
278.00	16741
279.00	15734
280.00	14849
281.00	14095
282.00	13404
283.00	12795
284.00	12250
285.00	11754
286.00	11309
287.00	10914
288.00	10586
289.00	10310
290.00	10070
291.00	9903.3
292.00	9786.7
293.00	9722.1
294.00	9715.5
295.00	9754.0
296.00	9843.4
297.00	9974.3
298.00	10150
299.00	10357
300.00	10619
301.00	10843
302.00	11131
303.00	11411
304.00	11701
305.00	11974
306.00	12231
307.00	12514
308.00	12789
309.00	13051
310.00	13279
311.00	13516
312.00	13701
313.00	13901
314.00	14030
315.00	14085
316.00	14108
317.00	14068
318.00	13969
319.00	13827
320.00	13674
321.00	13415
322.00	13162
323.00	12887
324.00	12573
325.00	12203
326.00	11817
327.00	11416
328.00	11041
329.00	10622
330.00	10228
331.00	9827.8
332.00	9443.0
333.00	9052.2
334.00	8682.5
335.00	8320.9
336.00	7977.8
337.00	7628.4
338.00	7322.4
339.00	7043.5
340.00	6793.2
341.00	6582.3
342.00	6375.1
343.00	6222.3
344.00	6087.3
345.00	5979.6
346.00	5883.5
347.00	5792.8
348.00	5736.4
349.00	5628.7
350.00	5530.1
351.00	5408.5
352.00	5238.9
353.00	5091.8
354.00	4898.1
355.00	4669.0
356.00	4431.0
357.00	4193.2
358.00	3944.6
359.00	3691.5
360.00	3432.4
361.00	3206.9
362.00	2979.8
363.00	2771.3
364.00	2526.6
365.00	2359.1
366.00	2182.4
367.00	2068.5
368.00	1938.1
369.00	1826.2
370.00	1748.8
371.00	1678.7
372.00	1600.6
373.00	1542.2
374.00	1514.7
375.00	1488.5
376.00	1509.6
377.00	1490.5
378.00	1504.3
379.00	1505.4
380.00	1469.3
381.00	1521.4
382.00	1565.3
383.00	1581.3
384.00	1584.0
385.00	1591.6
386.00	1573.3
