Wavelength (nm)	FL033 [8] 520-33-2, Hesperetin [C]
210.00	24457
211.00	23605
212.00	22930
213.00	22314
214.00	21708
215.00	21026
216.00	20315
217.00	19571
218.00	18922
219.00	18381
220.00	17965
221.00	17692
222.00	17520
223.00	17422
224.00	17350
225.00	17262
226.00	17183
227.00	17107
228.00	17045
229.00	16928
230.00	16701
231.00	16237
232.00	15483
233.00	14425
234.00	13226
235.00	12053
236.00	10937
237.00	9860.8
238.00	8748.7
239.00	7454.1
240.00	6042.1
241.00	4693.2
242.00	3556.1
243.00	2720.3
244.00	2145.2
245.00	1771.9
246.00	1524.0
247.00	1363.9
248.00	1265.7
249.00	1213.0
250.00	1193.2
251.00	1201.9
252.00	1236.4
253.00	1287.5
254.00	1359.0
255.00	1453.1
256.00	1572.8
257.00	1714.3
258.00	1880.7
259.00	2072.7
260.00	2289.5
261.00	2533.7
262.00	2802.9
263.00	3117.0
264.00	3460.9
265.00	3836.5
266.00	4249.5
267.00	4692.4
268.00	5177.3
269.00	5695.9
270.00	6255.7
271.00	6839.7
272.00	7452.3
273.00	8086.5
274.00	8742.7
275.00	9405.3
276.00	10087
277.00	10763
278.00	11420
279.00	12052
280.00	12642
281.00	13177
282.00	13664
283.00	14096
284.00	14463
285.00	14782
286.00	15020
287.00	15171
288.00	15200
289.00	15096
290.00	14847
291.00	14481
292.00	14056
293.00	13564
294.00	13000
295.00	12419
296.00	11798
297.00	11157
298.00	10514
299.00	9876.4
300.00	9256.4
301.00	8651.2
302.00	8080.3
303.00	7522.8
304.00	7002.9
305.00	6520.6
306.00	6085.9
307.00	5661.6
308.00	5274.6
309.00	4924.1
310.00	4605.9
311.00	4325.9
312.00	4086.1
313.00	3877.9
314.00	3705.4
315.00	3564.4
316.00	3441.9
317.00	3344.4
318.00	3263.5
319.00	3199.0
320.00	3134.0
321.00	3077.6
322.00	3040.6
323.00	3001.3
324.00	2954.6
325.00	2907.7
326.00	2865.0
327.00	2818.8
328.00	2778.4
329.00	2740.4
330.00	2692.7
331.00	2640.3
332.00	2591.6
333.00	2534.3
334.00	2475.6
335.00	2408.4
336.00	2340.4
337.00	2266.9
338.00	2180.4
339.00	2095.0
340.00	2008.3
341.00	1916.4
342.00	1824.1
343.00	1736.3
344.00	1640.3
345.00	1546.9
346.00	1454.0
347.00	1360.6
348.00	1270.5
349.00	1180.8
350.00	1108.7
351.00	1024.8
352.00	948.17
353.00	876.45
354.00	810.90
355.00	740.26
356.00	692.95
357.00	629.88
358.00	587.07
359.00	543.00
360.00	499.42
361.00	441.40
362.00	394.16
363.00	353.11
364.00	324.54
365.00	304.13
366.00	279.77
367.00	258.39
368.00	241.80
369.00	217.84
370.00	205.98
371.00	194.21
372.00	184.99
373.00	179.00
374.00	170.87
375.00	159.36
376.00	145.52
377.00	158.78
378.00	146.07
379.00	136.12
380.00	128.48
381.00	136.31
382.00	114.16
383.00	105.86
384.00	110.20
385.00	99.687
386.00	100.06
387.00	106.47
388.00	95.278
389.00	96.037
390.00	107.99
391.00	96.699
392.00	100.38
393.00	90.481
394.00	83.408
395.00	87.171
396.00	83.262
397.00	73.750
398.00	73.088
399.00	69.438
400.00	84.619
401.00	82.342
402.00	74.041
403.00	66.499
404.00	63.463
405.00	62.752
406.00	58.537
407.00	74.590
408.00	65.385
409.00	66.596
410.00	72.281
411.00	74.542
412.00	62.833
413.00	63.915
414.00	66.935
415.00	65.805
416.00	62.123
417.00	69.358
418.00	69.341
419.00	63.915
420.00	61.363
421.00	53.935
422.00	56.115
423.00	64.949
424.00	62.607
425.00	65.159
426.00	65.982
427.00	61.686
428.00	59.619
429.00	60.314
430.00	46.635
431.00	54.629
432.00	76.270
433.00	67.823
434.00	51.706
435.00	64.238
436.00	56.793
437.00	51.125
438.00	56.583
439.00	59.070
440.00	69.664
441.00	56.874
442.00	58.699
443.00	73.185
444.00	70.553
445.00	77.319
446.00	74.994
447.00	75.511
448.00	82.390
449.00	76.011
450.00	74.881
451.00	82.520
452.00	82.051
453.00	77.691
454.00	79.839
455.00	74.752
456.00	64.077
457.00	68.679
458.00	67.129
459.00	70.343
460.00	69.325
461.00	58.941
462.00	68.841
463.00	46.538
464.00	52.320
465.00	65.482
466.00	64.610
467.00	67.113
468.00	60.992
469.00	68.808
470.00	83.860
471.00	67.468
472.00	54.581
473.00	46.667
474.00	50.220
475.00	54.274
476.00	61.735
477.00	49.364
478.00	49.187
479.00	52.239
480.00	46.716
481.00	51.173
482.00	53.515
483.00	58.537
484.00	54.403
485.00	34.071
486.00	16.177
487.00	94.987
488.00	98.782
489.00	53.256
490.00	47.087
491.00	55.695
492.00	36.961
493.00	30.873
494.00	41.015
495.00	45.827
496.00	48.686
497.00	37.042
498.00	40.595
499.00	32.100
500.00	46.732
