Wavelength (nm)	J Agric Food Chem 2020_7132, Ob-NCC-36 abs
200.00	0.99924
201.00	0.98500
202.00	0.97124
203.00	0.95835
204.00	0.94645
205.00	0.94059
206.00	0.93818
207.00	0.94022
208.00	0.94445
209.00	0.95277
210.00	0.96279
211.00	0.97480
212.00	0.98422
213.00	0.99232
214.00	0.99634
215.00	1.0000
216.00	0.99414
217.00	0.98827
218.00	0.97393
219.00	0.94899
220.00	0.92194
221.00	0.89546
222.00	0.86615
223.00	0.83589
224.00	0.80563
225.00	0.78047
226.00	0.75569
227.00	0.73091
228.00	0.71243
229.00	0.69583
230.00	0.67924
231.00	0.66699
232.00	0.65503
233.00	0.64599
234.00	0.63854
235.00	0.63108
236.00	0.62503
237.00	0.62040
238.00	0.61577
239.00	0.61144
240.00	0.60939
241.00	0.60733
242.00	0.60528
243.00	0.60321
244.00	0.60112
245.00	0.59903
246.00	0.59695
247.00	0.59006
248.00	0.58287
249.00	0.57568
250.00	0.56438
251.00	0.55309
252.00	0.54179
253.00	0.52821
254.00	0.51450
255.00	0.50080
256.00	0.48851
257.00	0.47727
258.00	0.46602
259.00	0.45505
260.00	0.44667
261.00	0.43829
262.00	0.42991
263.00	0.42344
264.00	0.41735
265.00	0.41126
266.00	0.40959
267.00	0.40792
268.00	0.40625
269.00	0.40458
270.00	0.40405
271.00	0.40595
272.00	0.40785
273.00	0.40976
274.00	0.41295
275.00	0.41693
276.00	0.42091
277.00	0.42489
278.00	0.43034
279.00	0.43733
280.00	0.44431
281.00	0.45129
282.00	0.45995
283.00	0.46905
284.00	0.47814
285.00	0.48869
286.00	0.50059
287.00	0.51248
288.00	0.52489
289.00	0.53823
290.00	0.55157
291.00	0.56492
292.00	0.57826
293.00	0.59547
294.00	0.61310
295.00	0.63074
296.00	0.64838
297.00	0.66728
298.00	0.68721
299.00	0.70715
300.00	0.72708
301.00	0.74682
302.00	0.76650
303.00	0.78618
304.00	0.80561
305.00	0.81901
306.00	0.83242
307.00	0.84582
308.00	0.85917
309.00	0.86735
310.00	0.87553
311.00	0.87866
312.00	0.88180
313.00	0.87984
314.00	0.87788
315.00	0.87234
316.00	0.86680
317.00	0.85639
318.00	0.84427
319.00	0.82931
320.00	0.80909
321.00	0.78886
322.00	0.76048
323.00	0.73168
324.00	0.70287
325.00	0.67229
326.00	0.64043
327.00	0.60857
328.00	0.57671
329.00	0.53978
330.00	0.49871
331.00	0.45764
332.00	0.41827
333.00	0.38060
334.00	0.34278
335.00	0.30380
336.00	0.26483
337.00	0.23297
338.00	0.20267
339.00	0.17326
340.00	0.14716
341.00	0.12106
342.00	0.098638
343.00	0.078668
344.00	0.060486
345.00	0.043310
346.00	0.029121
347.00	0.016339
348.00	0.011150
349.00	0.0089147
350.00	0.0072686
351.00	0.0057106
352.00	0.0046588
353.00	0.0041554
354.00	0.0036519
355.00	0.0032857
356.00	0.0031013
357.00	0.0029168
358.00	0.0027324
359.00	0.0025479
360.00	0.0023635
361.00	0.0021790
362.00	0.0019946
363.00	0.0018102
364.00	0.0017991
365.00	0.0017991
366.00	0.0017991
367.00	0.0017991
368.00	0.0017991
369.00	0.0017991
370.00	0.0017991
371.00	0.0017991
372.00	0.0017991
373.00	0.0017991
374.00	0.0017991
375.00	0.0017991
376.00	0.0017991
377.00	0.0017991
378.00	0.0017991
379.00	0.0017991
380.00	0.0017991
381.00	0.0017991
382.00	0.0017991
383.00	0.0017991
384.00	0.0017991
385.00	0.0017991
386.00	0.0017991
387.00	0.0017991
388.00	0.0017991
389.00	0.0017991
390.00	0.0017991
391.00	0.0017991
392.00	0.0017991
393.00	0.0017991
394.00	0.0017991
395.00	0.0017991
396.00	0.0017991
397.00	0.0017991
398.00	0.0017991
399.00	0.0017991
400.00	0.0017991
