Wavelength (nm)	FL051 [9] 18422-83-8, Dihydromorin [D]
215.00	44280
216.00	43372
217.00	42464
218.00	41557
219.00	40649
220.00	39795
221.00	38947
222.00	38099
223.00	37251
224.00	36483
225.00	35725
226.00	34967
227.00	34208
228.00	33286
229.00	32361
230.00	31436
231.00	30276
232.00	28960
233.00	27643
234.00	25806
235.00	23968
236.00	21834
237.00	19252
238.00	16671
239.00	13923
240.00	11000
241.00	8665.8
242.00	6550.1
243.00	4944.9
244.00	4056.4
245.00	3524.2
246.00	3288.0
247.00	3176.2
248.00	3088.6
249.00	3060.5
250.00	3058.0
251.00	3084.3
252.00	3131.2
253.00	3231.1
254.00	3384.4
255.00	3581.2
256.00	3806.1
257.00	4065.2
258.00	4324.4
259.00	4676.1
260.00	5145.5
261.00	5614.9
262.00	6084.4
263.00	6719.7
264.00	7375.5
265.00	8031.3
266.00	8732.1
267.00	9575.5
268.00	10419
269.00	11262
270.00	12106
271.00	12995
272.00	14041
273.00	15086
274.00	16131
275.00	17177
276.00	18210
277.00	19203
278.00	20196
279.00	21189
280.00	22149
281.00	23075
282.00	24000
283.00	24870
284.00	25610
285.00	26301
286.00	26713
287.00	27125
288.00	27297
289.00	27468
290.00	27548
291.00	27482
292.00	27229
293.00	26727
294.00	26225
295.00	25578
296.00	24709
297.00	23839
298.00	22970
299.00	22001
300.00	20932
301.00	19863
302.00	18795
303.00	17726
304.00	16784
305.00	15846
306.00	14908
307.00	14002
308.00	13141
309.00	12280
310.00	11454
311.00	10836
312.00	10285
313.00	9966.2
314.00	9647.4
315.00	9374.7
316.00	9204.4
317.00	9034.1
318.00	8863.8
319.00	8704.0
320.00	8586.3
321.00	8468.5
322.00	8350.7
323.00	8237.1
324.00	8133.8
325.00	8030.5
326.00	7927.2
327.00	7823.9
328.00	7691.9
329.00	7557.0
330.00	7422.2
331.00	7287.4
332.00	7138.6
333.00	6984.4
334.00	6830.2
335.00	6676.0
336.00	6521.8
337.00	6341.6
338.00	6158.2
339.00	5974.8
340.00	5791.5
341.00	5589.7
342.00	5350.4
343.00	5111.2
344.00	4872.0
345.00	4612.5
346.00	4344.0
347.00	4074.3
348.00	3773.3
349.00	3472.4
350.00	3187.1
