Wavelength (nm)	A29 abs e
210.00	4468.5
210.25	4028.7
210.50	3916.3
210.75	3728.6
211.00	3526.7
211.25	3420.1
211.50	3032.3
211.75	3346.7
212.00	3412.3
212.25	2811.2
212.50	3009.5
212.75	3327.3
213.00	3030.1
213.25	3024.4
213.50	2942.0
213.75	3012.6
214.00	3049.5
214.25	3021.4
214.50	3121.8
214.75	3006.9
215.00	2994.1
215.25	3070.8
215.50	3156.0
215.75	3300.2
216.00	3408.0
216.25	3143.1
216.50	3392.7
216.75	3382.5
217.00	3524.8
217.25	3630.0
217.50	3786.4
217.75	4006.5
218.00	3700.5
218.25	3716.2
218.50	3882.0
218.75	4153.3
219.00	3828.5
219.25	4065.5
219.50	4063.1
219.75	4239.0
220.00	4100.6
220.25	4464.1
220.50	4458.6
220.75	4447.5
221.00	4621.5
221.25	4498.2
221.50	4522.3
221.75	4526.7
222.00	4631.2
222.25	4965.4
222.50	4965.5
222.75	5073.6
223.00	5002.4
223.25	4976.3
223.50	5260.8
223.75	5193.2
224.00	5328.2
224.25	5391.7
224.50	5487.7
224.75	5463.8
225.00	5495.4
225.25	5407.8
225.50	5575.5
225.75	5676.4
226.00	5470.3
226.25	5609.5
226.50	5644.9
226.75	5551.8
227.00	5736.9
227.25	5626.6
227.50	5816.5
227.75	5770.5
228.00	5813.6
228.25	5906.3
228.50	5837.7
228.75	5676.6
229.00	5584.2
229.25	5660.9
229.50	5544.8
229.75	5690.8
230.00	5601.1
230.25	5582.2
230.50	5699.6
230.75	5561.1
231.00	5443.8
231.25	5375.8
231.50	5342.2
231.75	5329.6
232.00	5231.8
232.25	5105.8
232.50	5021.5
232.75	5050.5
233.00	5036.4
233.25	4906.6
233.50	4742.8
233.75	4745.3
234.00	4582.3
234.25	4623.6
234.50	4482.0
234.75	4408.7
235.00	4313.2
235.25	4130.6
235.50	3971.3
235.75	3949.2
236.00	3777.1
236.25	3666.6
236.50	3617.8
236.75	3636.0
237.00	3446.7
237.25	3334.4
237.50	3193.6
237.75	3090.8
238.00	3042.0
238.25	3028.0
238.50	3071.6
238.75	2813.4
239.00	2599.5
239.25	2729.3
239.50	2507.4
239.75	2454.8
240.00	2412.6
240.25	2325.8
240.50	2239.4
240.75	2165.0
241.00	2106.8
241.25	2069.8
241.50	1938.6
241.75	2013.2
242.00	1907.8
242.25	1789.4
242.50	1826.7
242.75	1652.1
243.00	1577.7
243.25	1621.4
243.50	1514.4
243.75	1521.4
244.00	1443.9
244.25	1441.2
244.50	1286.1
244.75	1277.2
245.00	1187.6
245.25	1309.4
245.50	1180.7
245.75	1143.2
246.00	1273.5
246.25	1090.7
246.50	1172.4
246.75	1130.8
247.00	988.32
247.25	1085.4
247.50	987.97
247.75	1070.0
248.00	1020.6
248.25	1007.4
248.50	1035.1
248.75	897.83
249.00	945.11
249.25	1000.2
249.50	872.94
249.75	937.43
250.00	920.35
250.25	795.19
250.50	886.29
250.75	756.10
251.00	891.77
251.25	835.24
251.50	839.07
251.75	760.73
252.00	817.94
252.25	818.30
252.50	795.76
252.75	770.82
253.00	813.84
253.25	713.73
253.50	694.64
