Wavelength (nm)	FL164 [13] 7622-53-9, 2',4'-dihydroxy-7-methoxyisoflavone [D]
235.00	24274
236.00	24028
237.00	23869
238.00	23832
239.00	23847
240.00	24002
241.00	24260
242.00	24617
243.00	24967
244.00	25191
245.00	25375
246.00	25441
247.00	25435
248.00	25215
249.00	24616
250.00	22862
251.00	19364
252.00	15272
253.00	12694
254.00	11754
255.00	11291
256.00	10971
257.00	10855
258.00	10742
259.00	10736
260.00	10778
261.00	10819
262.00	10910
263.00	11088
264.00	11266
265.00	11461
266.00	11690
267.00	11918
268.00	12146
269.00	12355
270.00	12561
271.00	12767
272.00	12974
273.00	13204
274.00	13439
275.00	13674
276.00	13910
277.00	14145
278.00	14383
279.00	14622
280.00	14862
281.00	15101
282.00	15341
283.00	15578
284.00	15804
285.00	16029
286.00	16254
287.00	16479
288.00	16674
289.00	16844
290.00	17014
291.00	17184
292.00	17333
293.00	17442
294.00	17530
295.00	17600
296.00	17586
297.00	17502
298.00	17327
299.00	17103
300.00	16820
301.00	16462
302.00	16046
303.00	15419
304.00	14792
305.00	14165
306.00	13521
307.00	12864
308.00	12207
309.00	11551
310.00	10840
311.00	10043
312.00	9245.2
313.00	8519.2
314.00	7915.2
315.00	7311.3
316.00	6799.4
317.00	6305.0
318.00	5810.7
319.00	5389.3
320.00	4975.2
321.00	4609.7
322.00	4275.2
323.00	3940.7
324.00	3729.8
325.00	3518.9
326.00	3307.9
327.00	3162.3
328.00	3017.4
329.00	2872.5
330.00	2743.0
331.00	2634.0
332.00	2524.9
333.00	2415.9
334.00	2331.8
335.00	2254.3
336.00	2176.9
337.00	2101.8
338.00	2029.6
339.00	1957.3
340.00	1885.1
341.00	1822.7
342.00	1779.2
343.00	1735.7
344.00	1692.3
345.00	1652.1
346.00	1623.0
347.00	1593.9
348.00	1564.9
349.00	1528.4
350.00	1490.4
